<<<<<<< HEAD
Scrap_time,Update_time_GMT,Date,Continent_id,Continent,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical
2020-10-08 23:59:00,,2020-10-08,1,North America,9376444,54054,323218,1220.0,6133756,37094,2919470,17922
2020-10-08 23:59:00,,2020-10-08,3,Asia,11515202,108446,208390,1830.0,9808616,109011,1498196,20809
2020-10-08 23:59:00,,2020-10-08,2,South America,8467012,7524,266343,656.0,7347585,2409,853084,17387
2020-10-08 23:59:00,,2020-10-08,4,Europe,5721841,98634,228524,886.0,2965052,19394,2528265,9968
2020-10-08 23:59:00,,2020-10-08,5,Africa,1553367,8258,37284,130.0,1290857,4774,225226,1592
2020-10-08 23:59:00,,2020-10-08,6,Oceania,32097,95,941,,29183,8,1973,12
2020-10-08 23:59:00,,2020-10-08,7,World,36666684,277011,1064715,4722.0,27575700,172690,8026269,67694
=======
Date,Scrap_time,Update_time_GMT,Continent_id,Continent,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical
2020-10-08,23:59,,1,North America,9376444,54054,323218,1220.0,6133756,37094,2919470,17922
2020-10-08,23:59,,3,Asia,11515202,108446,208390,1830.0,9808616,109011,1498196,20809
2020-10-08,23:59,,2,South America,8467012,7524,266343,656.0,7347585,2409,853084,17387
2020-10-08,23:59,,4,Europe,5721841,98634,228524,886.0,2965052,19394,2528265,9968
2020-10-08,23:59,,5,Africa,1553367,8258,37284,130.0,1290857,4774,225226,1592
2020-10-08,23:59,,6,Oceania,32097,95,941,,29183,8,1973,12
2020-10-08,23:59,,7,World,36666684,277011,1064715,4722.0,27575700,172690,8026269,67694
>>>>>>> parent of 6e0d6acf... Delete data directory
