<<<<<<< HEAD
Scrap_time,Update_time_GMT,Date,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-12-25 23:00:00,20:59,2020-12-25,1.0,USA,331939197.0,19195674,146571.0,337927.0,1785.0,11243713.0,75536.0,7614034.0,28753.0,57829.0,1018.0,242975192.0,731987.0
2020-12-25 23:00:00,20:59,2020-12-25,3.0,India,1386530639.0,10169804,24798.0,147379.0,282.0,9739332.0,24897.0,283093.0,8944.0,7335.0,106.0,166305762.0,119944.0
2020-12-25 23:00:00,20:59,2020-12-25,2.0,Brazil,213287772.0,7430980,56205.0,190145.0,726.0,6449822.0,44466.0,791013.0,8318.0,34840.0,891.0,28600000.0,134091.0
2020-12-25 23:00:00,20:59,2020-12-25,4.0,Russia,145964778.0,2992706,29018.0,53659.0,563.0,2398254.0,27397.0,540793.0,2300.0,20503.0,368.0,88094380.0,603532.0
2020-12-25 23:00:00,20:59,2020-12-25,19.0,France,65343395.0,2547771,20262.0,62427.0,159.0,189445.0,2173.0,2295899.0,2625.0,38990.0,955.0,33086957.0,506355.0
2020-12-25 23:00:00,20:59,2020-12-25,13.0,UK,68058157.0,2221312,32725.0,70195.0,570.0,,,,1529.0,32638.0,1031.0,52257588.0,767837.0
2020-12-25 23:00:00,20:59,2020-12-25,18.0,Turkey,84775279.0,2118255,17543.0,19371.0,256.0,1970803.0,35511.0,128081.0,4702.0,24987.0,228.0,23426941.0,276342.0
2020-12-25 23:00:00,20:59,2020-12-25,17.0,Italy,60418694.0,2028354,19037.0,71359.0,459.0,1377109.0,32324.0,579886.0,2584.0,33572.0,1181.0,25904694.0,428753.0
2020-12-25 23:00:00,20:59,2020-12-25,9.0,Spain,46763552.0,1869610,0.0,49824.0,0.0,,,,1907.0,39980.0,1065.0,25991493.0,555807.0
2020-12-25 23:00:00,20:59,2020-12-25,20.0,Germany,83913469.0,1632729,20617.0,29968.0,339.0,1206200.0,21800.0,396561.0,5354.0,19457.0,357.0,33708381.0,401704.0
2020-12-25 23:00:00,20:59,2020-12-25,12.0,Argentina,45395368.0,1571680,7815.0,42392.0,78.0,1384277.0,0.0,145011.0,3390.0,34622.0,934.0,4597960.0,101287.0
2020-12-25 23:00:00,20:59,2020-12-25,8.0,Colombia,51143594.0,1559766,14940.0,41454.0,280.0,1417316.0,13148.0,100996.0,2578.0,30498.0,811.0,7755989.0,151651.0
2020-12-25 23:00:00,20:59,2020-12-25,7.0,Mexico,129583997.0,1362564,12485.0,121172.0,861.0,1015256.0,10008.0,226136.0,3913.0,10515.0,935.0,3483572.0,26883.0
2020-12-25 23:00:00,20:59,2020-12-25,43.0,Poland,37826507.0,1249079,9081.0,26992.0,240.0,984683.0,8807.0,237404.0,1603.0,33021.0,714.0,6976460.0,184433.0
2020-12-25 23:00:00,20:59,2020-12-25,11.0,Iran,84508840.0,1189203,6021.0,54440.0,132.0,933736.0,9051.0,201027.0,5345.0,14072.0,644.0,7303238.0,86420.0
2020-12-25 23:00:00,20:59,2020-12-25,28.0,Ukraine,43605885.0,1012167,11035.0,17581.0,186.0,646772.0,15337.0,347814.0,177.0,23212.0,403.0,5348820.0,122663.0
2020-12-25 23:00:00,20:59,2020-12-25,6.0,Peru,33192054.0,1003982,1719.0,37317.0,44.0,940040.0,1699.0,26625.0,1124.0,30248.0,1124.0,5433168.0,163689.0
2020-12-25 23:00:00,20:59,2020-12-25,5.0,South Africa,59667575.0,968563,0.0,25983.0,0.0,822978.0,0.0,119602.0,546.0,16233.0,435.0,6325784.0,106017.0
2020-12-25 23:00:00,20:59,2020-12-25,42.0,Netherlands,17153216.0,744057,11487.0,10924.0,98.0,,,,600.0,43377.0,637.0,5514008.0,321456.0
2020-12-25 23:00:00,20:59,2020-12-25,23.0,Indonesia,274914051.0,700097,7259.0,20847.0,258.0,570304.0,6324.0,108946.0,,2547.0,76.0,6987576.0,25417.0
2020-12-25 23:00:00,20:59,2020-12-25,70.0,Czechia,10718596.0,664863,4402.0,10859.0,83.0,557696.0,5252.0,96308.0,618.0,62029.0,1013.0,3600093.0,335874.0
2020-12-25 23:00:00,20:59,2020-12-25,36.0,Belgium,11613988.0,634904,2583.0,19038.0,99.0,43749.0,236.0,572117.0,514.0,54667.0,1639.0,6748910.0,581102.0
2020-12-25 23:00:00,20:59,2020-12-25,38.0,Romania,19175203.0,612373,3812.0,15023.0,111.0,530308.0,6479.0,67042.0,1233.0,31936.0,783.0,4706490.0,245447.0
2020-12-25 23:00:00,20:59,2020-12-25,10.0,Chile,19195210.0,595831,2521.0,16358.0,55.0,565002.0,1545.0,14471.0,678.0,31041.0,852.0,6261315.0,326192.0
2020-12-25 23:00:00,20:59,2020-12-25,21.0,Iraq,40652114.0,589943,1140.0,12755.0,11.0,528872.0,1531.0,48316.0,192.0,14512.0,314.0,4334173.0,106616.0
2020-12-25 23:00:00,20:59,2020-12-25,24.0,Canada,37901464.0,535213,711.0,14719.0,16.0,444065.0,1493.0,76429.0,715.0,14121.0,388.0,13343345.0,352054.0
2020-12-25 23:00:00,20:59,2020-12-25,15.0,Bangladesh,165478532.0,507265,1163.0,7398.0,20.0,448803.0,2113.0,51064.0,,3065.0,45.0,3149348.0,19032.0
2020-12-25 23:00:00,20:59,2020-12-25,22.0,Philippines,110280671.0,467601,1877.0,9062.0,7.0,430791.0,301.0,27748.0,708.0,4240.0,82.0,6631160.0,60130.0
2020-12-25 23:00:00,20:59,2020-12-25,16.0,Pakistan,222939213.0,467222,2152.0,9753.0,85.0,418958.0,1824.0,38511.0,2382.0,2096.0,44.0,6482889.0,29079.0
2020-12-25 23:00:00,20:59,2020-12-25,55.0,Switzerland,8685127.0,428197,0.0,7159.0,92.0,311500.0,0.0,109538.0,428.0,49302.0,824.0,3476677.0,400302.0
2020-12-25 23:00:00,20:59,2020-12-25,49.0,Morocco,37120661.0,428193,2329.0,7170.0,40.0,391920.0,3192.0,29103.0,828.0,11535.0,193.0,4369571.0,117713.0
2020-12-25 23:00:00,20:59,2020-12-25,33.0,Sweden,10129642.0,396048,0.0,8279.0,0.0,,,,302.0,39098.0,817.0,3989420.0,393836.0
2020-12-25 23:00:00,20:59,2020-12-25,30.0,Israel,9197590.0,394391,4889.0,3186.0,16.0,357867.0,3251.0,33338.0,527.0,42880.0,346.0,7465561.0,811687.0
2020-12-25 23:00:00,20:59,2020-12-25,46.0,Portugal,10182270.0,391782,4146.0,6478.0,65.0,315126.0,2593.0,70178.0,504.0,38477.0,636.0,5323341.0,522805.0
