scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,129,Estonia,1326615,2079,,69,,1934,,76,,1567,52.0,120085,90520
2020-08-08,20:00:00,,129,Estonia,1326629,2147,68.0,63,-6.0,1961,27.0,123,,1618,47.0,125240,94405
2020-08-12,20:00:00,,129,Estonia,1326639,2174,27.0,63,0.0,1975,14.0,136,,1639,47.0,129633,97715
2020-08-16,20:00:00,,129,Estonia,1326649,2190,16.0,63,0.0,1976,1.0,151,,1651,47.0,134552,101422
2020-08-17,20:00:00,,129,Estonia,1326651,2192,2.0,63,0.0,1976,0.0,153,,1652,47.0,134863,101657
2020-08-18,20:00:00,,129,Estonia,1326654,2200,8.0,63,0.0,1990,14.0,147,,1658,47.0,136137,102617
2020-08-19,20:00:00,,129,Estonia,1326656,2207,7.0,63,0.0,2002,12.0,142,,1664,47.0,137286,103483
2020-08-20,17:53:00,,129,Estonia,1326659,2227,20.0,63,0.0,2009,7.0,155,,1679,47.0,138166,104146
2020-08-23,21:09:00,,129,Estonia,1326666,2272,45.0,63,0.0,2024,15.0,185,,1713,47.0,140666,106030
2020-08-24,17:10:00,,129,Estonia,1326668,2275,3.0,64,1.0,2025,1.0,186,,1715,48.0,140985,106270
2020-08-25,23:00:00,,129,Estonia,1326671,2294,19.0,64,0.0,2038,13.0,192,,1729,48.0,142160,107155
2020-08-26,22:59:00,,129,Estonia,1326673,2311,17.0,64,0.0,2054,16.0,193,,1742,48.0,143498,108164
2020-08-27,23:00:00,,129,Estonia,1326676,2325,14.0,64,0.0,2067,13.0,194,,1753,48.0,144868,109196
2020-08-28,23:01:00,,129,Estonia,1326678,2343,18.0,64,0.0,2076,9.0,203,,1766,48.0,146128,110146
2020-08-29,12:29:00,,129,Estonia,1326680,2363,20.0,64,0.0,2086,10.0,213,,1781,48.0,147237,110982
2020-08-30,23:00:00,,129,Estonia,1326683,2373,10.0,64,0.0,2088,2.0,221,,1789,48.0,147902,111483
2020-08-31,18:58:00,,129,Estonia,1326685,2375,2.0,64,0.0,2088,0.0,223,,1790,48.0,148131,111655
2020-09-01,23:00:00,,129,Estonia,1326688,2395,20.0,64,0.0,2112,24.0,219,,1805,48.0,150354,113330
2020-09-02,23:01:00,,129,Estonia,1326690,2415,20.0,64,0.0,2130,18.0,221,,1820,48.0,151940,114526
2020-09-03,23:01:00,,129,Estonia,1326693,2441,26.0,64,0.0,2150,20.0,227,,1840,48.0,154212,116238
