Scrap_time,Update_time_GMT,Date,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02 20:00:00,,2020-08-02,178,Eritrea,3550504,279,,,,225,,54,,79,,,
2020-08-08 20:00:00,,2020-08-08,178,Eritrea,3551309,285,6.0,,,245,20.0,40,,80,,,
2020-08-12 20:00:00,,2020-08-12,178,Eritrea,3551846,285,0.0,,,248,3.0,37,,80,,,
2020-08-16 20:00:00,,2020-08-16,178,Eritrea,3552382,285,0.0,,,248,0.0,37,,80,,,
2020-08-17 20:00:00,,2020-08-17,178,Eritrea,3552516,285,0.0,,,248,0.0,37,,80,,,
2020-08-18 20:00:00,,2020-08-18,178,Eritrea,3552650,285,0.0,,,248,0.0,37,,80,,,
2020-08-19 20:00:00,,2020-08-19,178,Eritrea,3552785,304,19.0,,,261,13.0,43,,86,,,
2020-08-20 17:53:00,,2020-08-20,178,Eritrea,3552919,304,0.0,,,261,0.0,43,,86,,,
2020-08-23 21:09:00,,2020-08-23,178,Eritrea,3553321,306,2.0,,,274,13.0,32,,86,,,
2020-08-24 17:10:00,,2020-08-24,178,Eritrea,3553455,306,0.0,,,274,0.0,32,,86,,,
2020-08-25 23:00:00,,2020-08-25,178,Eritrea,3553589,315,9.0,,,276,2.0,39,,89,,,
2020-08-26 22:59:00,,2020-08-26,178,Eritrea,3553724,315,0.0,,,276,0.0,39,,89,,,
2020-08-27 23:00:00,,2020-08-27,178,Eritrea,3553858,315,0.0,,,276,0.0,39,,89,,,
2020-08-28 23:01:00,,2020-08-28,178,Eritrea,3553992,317,2.0,,,284,8.0,33,,89,,,
2020-08-29 12:29:00,,2020-08-29,178,Eritrea,3554126,317,0.0,,,284,0.0,33,,89,,,
2020-08-30 23:00:00,,2020-08-30,178,Eritrea,3554260,318,1.0,,,284,0.0,34,,89,,,
2020-08-31 18:58:00,,2020-08-31,178,Eritrea,3554394,318,0.0,,,284,0.0,34,,89,,,
2020-09-01 23:00:00,,2020-09-01,178,Eritrea,3554528,319,1.0,,,284,0.0,35,,90,,,
2020-09-02 23:01:00,,2020-09-02,178,Eritrea,3554662,319,0.0,,,284,0.0,35,,90,,,
2020-09-03 23:01:00,,2020-09-03,178,Eritrea,3554797,330,11.0,,,295,11.0,35,,93,,,
2020-09-04 07:01:00,,2020-09-04,178,Eritrea,3554931,330,0.0,,,295,0.0,35,,93,,,
2020-09-05 23:31:00,,2020-09-05,178,Eritrea,3555065,330,0.0,,,295,0.0,35,,93,,,
2020-09-06 18:30:00,,2020-09-06,178,Eritrea,3555199,330,0.0,,,295,0.0,35,,93,,,
2020-09-07 23:39:00,,2020-09-07,178,Eritrea,3555333,330,0.0,,,295,0.0,35,,93,,,
2020-09-08 22:10:00,,2020-09-08,178,Eritrea,3555467,330,0.0,,,295,0.0,35,,93,,,
2020-09-10 22:01:00,,2020-09-10,178,Eritrea,3555736,361,31.0,,,304,9.0,57,,102,,,
2020-09-11 22:00:00,,2020-09-11,178,Eritrea,3555870,361,0.0,,,304,0.0,57,,102,,,
2020-09-12 22:22:00,,2020-09-12,178,Eritrea,3556004,361,0.0,,,304,0.0,57,,102,,,
2020-09-13 22:01:00,,2020-09-13,178,Eritrea,3556138,361,0.0,,,304,0.0,57,,102,,,
2020-09-14 22:04:00,,2020-09-14,178,Eritrea,3556272,361,0.0,,,304,0.0,57,,102,,,
2020-09-15 21:00:00,,2020-09-15,178,Eritrea,3556406,364,3.0,,,304,0.0,60,,102,,,
2020-09-16 21:01:00,,2020-09-16,178,Eritrea,3556540,364,0.0,,,305,1.0,59,,102,,,
2020-09-18 20:01:00,,2020-09-18,178,Eritrea,3556809,364,0.0,,,305,0.0,59,,102,,,
2020-09-19 21:00:00,,2020-09-19,178,Eritrea,3556943,364,0.0,,,305,0.0,59,,102,,,
2020-09-20 22:31:00,,2020-09-20,178,Eritrea,3557077,364,0.0,,,305,0.0,59,,102,,,
2020-09-21 21:01:00,,2020-09-21,178,Eritrea,3557211,364,0.0,,,305,0.0,59,,102,,,
2020-09-22 21:01:00,,2020-09-22,178,Eritrea,3557345,364,0.0,,,305,0.0,59,,102,,,
2020-09-23 19:58:00,,2020-09-23,178,Eritrea,3557479,364,0.0,,,309,4.0,55,,102,,,
2020-09-24 21:00:00,,2020-09-24,178,Eritrea,3557614,364,0.0,,,309,0.0,55,,102,,,
2020-09-25 21:00:00,,2020-09-25,178,Eritrea,3557748,369,5.0,,,330,21.0,39,,104,,,
2020-09-26 21:00:00,,2020-09-26,178,Eritrea,3557882,375,6.0,,,341,11.0,34,,105,,,
2020-09-27 22:45:00,,2020-09-27,178,Eritrea,3558016,375,0.0,,,341,0.0,34,,105,,,
2020-09-28 22:00:00,,2020-09-28,178,Eritrea,3558150,375,0.0,,,341,0.0,34,,105,,,
2020-09-29 21:35:00,,2020-09-29,178,Eritrea,3558284,375,0.0,,,341,0.0,34,,105,,,
2020-09-30 22:00:00,,2020-09-30,178,Eritrea,3558418,375,0.0,,,341,0.0,34,,105,,,
2020-10-01 21:31:00,,2020-10-01,178,Eritrea,3558553,381,6.0,,,353,12.0,28,,107,,,
2020-10-02 22:36:00,,2020-10-02,178,Eritrea,3558687,381,0.0,,,353,0.0,28,,107,,,
2020-10-03 22:24:00,,2020-10-03,178,Eritrea,3558821,398,17.0,,,358,5.0,40,,112,,,
2020-10-04 21:01:00,,2020-10-04,178,Eritrea,3558955,398,0.0,,,358,0.0,40,,112,,,
2020-10-05 22:13:00,,2020-10-05,178,Eritrea,3559089,398,0.0,,,358,0.0,40,,112,,,
2020-10-06 23:01:00,,2020-10-06,178,Eritrea,3559223,398,0.0,,,358,0.0,40,,112,,,
2020-10-07 23:01:00,,2020-10-07,178,Eritrea,3559357,398,0.0,,,358,0.0,40,,112,,,
2020-10-08 23:59:00,,2020-10-08,178,Eritrea,3559491,405,7.0,,,364,6.0,41,,114,,,
2020-10-09 23:00:00,,2020-10-09,178,Eritrea,3559626,405,0.0,,,364,0.0,41,,114,,,
2020-10-10 23:00:00,,2020-10-10,178,Eritrea,3559760,414,9.0,,,372,8.0,42,,116,,,
2020-10-12 23:10:00,,2020-10-12,178,Eritrea,3560028,414,0.0,,,372,0.0,42,,116,,,
2020-10-13 23:01:00,,2020-10-13,178,Eritrea,3560162,414,0.0,,,372,0.0,42,,116,,,
2020-10-14 23:01:00,,2020-10-14,178,Eritrea,3560296,414,0.0,,,372,0.0,42,,116,,,
2020-10-15 14:09:00,11:06:00,2020-10-15,178,Eritrea,3560430,414,0.0,,,372,0.0,42,,116,,,
2020-10-16 22:08:00,19:06:00,2020-10-16,178,Eritrea,3560565,422,8.0,,,376,4.0,46,,119,,,
2020-10-17 23:01:00,19:58:00,2020-10-17,178,Eritrea,3560699,452,30.0,,,388,12.0,64,,127,,,
2020-10-18 22:05:00,19:03:00,2020-10-18,178,Eritrea,3560833,452,0.0,,,388,0.0,64,,127,,,
2020-10-19 22:05:00,18:59:00,2020-10-19,178,Eritrea,3560967,452,0.0,,,388,0.0,64,,127,,,
2020-10-20 22:05:00,19:04:00,2020-10-20,178,Eritrea,3561101,452,0.0,,,388,0.0,64,,127,,,
2020-10-21 22:05:00,19:03:00,2020-10-21,178,Eritrea,3561235,452,0.0,,,388,0.0,64,,127,,,
2020-10-22 22:05:00,19:04:00,2020-10-22,178,Eritrea,3561369,457,5.0,,,391,3.0,66,,128,,,
2020-10-23 22:05:00,19:02:00,2020-10-23,178,Eritrea,3561504,461,4.0,,,405,14.0,56,,129,,,
2020-10-24 23:41:00,20:40:00,2020-10-24,178,Eritrea,3561638,461,0.0,,,405,0.0,56,,129,,,
2020-10-25 23:00:00,20:58:00,2020-10-25,178,Eritrea,3561772,461,0.0,,,405,0.0,56,,129,,,
2020-10-26 23:00:00,20:56:00,2020-10-26,178,Eritrea,3561906,461,0.0,,,405,0.0,56,,129,,,
2020-10-27 23:00:00,20:58:00,2020-10-27,178,Eritrea,3562040,461,0.0,,,405,0.0,56,,129,,,
2020-10-28 23:00:00,20:58:00,2020-10-28,178,Eritrea,3562174,461,0.0,,,405,0.0,56,,129,,,
2020-10-29 23:00:00,20:57:00,2020-10-29,178,Eritrea,3562308,461,0.0,,,405,0.0,56,,129,,,
2020-10-30 23:00:00,20:58:00,2020-10-30,178,Eritrea,3562443,463,2.0,,,412,7.0,51,,130,,,
2020-10-31 23:00:00,20:59:00,2020-10-31,178,Eritrea,3562577,463,0.0,,,412,0.0,51,,130,,,
2020-11-01 23:00:00,20:59:00,2020-11-01,178,Eritrea,3562711,463,0.0,,,412,0.0,51,,130,,,
2020-11-02 23:00:00,20:57:00,2020-11-02,178,Eritrea,3562845,463,0.0,,,412,0.0,51,,130,,,
2020-11-03 23:00:00,20:59:00,2020-11-03,178,Eritrea,3562979,480,17.0,,,426,14.0,54,,135,,,
2020-11-04 23:00:00,20:57:00,2020-11-04,178,Eritrea,3563113,480,0.0,,,426,0.0,54,,135,,,
2020-11-05 23:00:00,20:59:00,2020-11-05,178,Eritrea,3563247,484,4.0,,,429,3.0,55,,136,,,
2020-11-06 23:00:00,20:58:00,2020-11-06,178,Eritrea,3563382,484,0.0,,,429,0.0,55,,136,,,
2020-11-07 23:00:00,20:57:00,2020-11-07,178,Eritrea,3563516,484,0.0,,,429,0.0,55,,136,,,
2020-11-08 23:00:00,20:49:00,2020-11-08,178,Eritrea,3563650,491,7.0,,,438,9.0,53,,138,,,
2020-11-09 23:00:00,20:59:00,2020-11-09,178,Eritrea,3563784,491,0.0,,,438,0.0,53,,138,,,
2020-11-10 23:00:00,20:59:00,2020-11-10,178,Eritrea,3563918,491,0.0,,,438,0.0,53,,138,,,
2020-11-11 23:00:00,20:56:00,2020-11-11,178,Eritrea,3564052,491,0.0,,,438,0.0,53,,138,,,
2020-11-12 23:00:00,20:59:00,2020-11-12,178,Eritrea,3564186,493,2.0,,,444,6.0,49,,138,,,
2020-11-13 23:00:00,20:58:00,2020-11-13,178,Eritrea,3564320,493,0.0,,,444,0.0,49,,138,,,
2020-11-14 23:00:00,20:57:00,2020-11-14,178,Eritrea,3564455,493,0.0,,,444,0.0,49,,138,,,
2020-11-15 23:00:00,20:53:00,2020-11-15,178,Eritrea,3564589,493,0.0,,,444,0.0,49,,138,,,
2020-11-16 23:00:00,20:59:00,2020-11-16,178,Eritrea,3564723,518,25.0,,,451,7.0,67,,145,,,
2020-11-17 23:00:00,20:58:00,2020-11-17,178,Eritrea,3564857,518,0.0,,,451,0.0,67,,145,,,
2020-11-18 23:00:00,20:57:00,2020-11-18,178,Eritrea,3564991,518,0.0,,,451,0.0,67,,145,,,
2020-11-19 23:00:00,20:59:00,2020-11-19,178,Eritrea,3565125,527,9.0,,,456,5.0,71,,148,,21655.0,6074.0
2020-11-20 23:00:00,20:59:00,2020-11-20,178,Eritrea,3565259,527,0.0,,,456,0.0,71,,148,,21655.0,6074.0
2020-11-21 23:00:00,20:58:00,2020-11-21,178,Eritrea,3565394,551,24.0,,,473,17.0,78,,155,,21655.0,6074.0
2020-11-22 23:00:00,20:59:00,2020-11-22,178,Eritrea,3565528,551,0.0,,,473,0.0,78,,155,,21655.0,6073.0
2020-11-23 23:00:00,20:58:00,2020-11-23,178,Eritrea,3565662,558,7.0,,,473,0.0,85,,156,,21655.0,6073.0
2020-11-24 23:00:00,20:57:00,2020-11-24,178,Eritrea,3565796,558,0.0,,,473,0.0,85,,156,,21655.0,6073.0
2020-11-25 23:00:00,20:58:00,2020-11-25,178,Eritrea,3565930,558,0.0,,,473,0.0,85,,156,,21655.0,6073.0
2020-11-26 23:00:00,20:47:00,2020-11-26,178,Eritrea,3566064,566,8.0,,,477,4.0,89,,159,,21655.0,6073.0
2020-11-27 23:00:00,20:59:00,2020-11-27,178,Eritrea,3566198,566,0.0,,,477,0.0,89,,159,,21655.0,6072.0
2020-11-28 23:00:00,20:46:00,2020-11-28,178,Eritrea,3566333,577,11.0,,,498,21.0,79,,162,,21655.0,6072.0
2020-11-29 23:00:00,20:51:00,2020-11-29,178,Eritrea,3566467,577,0.0,,,498,0.0,79,,162,,21655.0,6072.0
2020-11-30 23:00:00,20:57:00,2020-11-30,178,Eritrea,3566601,577,0.0,,,498,0.0,79,,162,,21655.0,6072.0
2020-12-01 23:00:00,20:55:00,2020-12-01,178,Eritrea,3566735,577,0.0,,,498,0.0,79,,162,,21655.0,6071.0
