Date,Scrap_time,Update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,142,Aruba,106806,121,,3,,105,,13,,1133,28.0,11795,110434
2020-08-08,20:00:00,,142,Aruba,106813,396,275.0,3,0.0,114,9.0,279,,3707,28.0,14047,131510
2020-08-12,20:00:00,,142,Aruba,106818,717,321.0,3,0.0,114,0.0,600,,6712,28.0,14047,131504
2020-08-16,20:00:00,,142,Aruba,106823,1048,331.0,4,1.0,193,79.0,851,,9811,37.0,14047,131498
2020-08-17,20:00:00,,142,Aruba,106824,1102,54.0,4,0.0,200,7.0,898,,10316,37.0,16261,152222
2020-08-18,20:00:00,,142,Aruba,106826,1121,19.0,4,0.0,212,12.0,905,,10494,37.0,16261,152219
2020-08-19,20:00:00,,142,Aruba,106827,1205,84.0,4,0.0,277,65.0,924,,11280,37.0,16919,158378
2020-08-20,17:53:00,,142,Aruba,106828,1296,91.0,5,1.0,277,0.0,1014,,12132,47.0,17278,161737
2020-08-23,21:09:00,,142,Aruba,106832,1534,238.0,7,2.0,446,169.0,1081,2.0,14359,66.0,18402,172252
2020-08-24,17:10:00,,142,Aruba,106833,1568,34.0,7,0.0,455,9.0,1106,5.0,14677,66.0,18756,175564
2020-08-25,23:00:00,,142,Aruba,106834,1628,60.0,7,0.0,461,6.0,1160,5.0,15239,66.0,19314,180785
2020-08-26,22:59:00,,142,Aruba,106835,1670,42.0,8,1.0,565,104.0,1097,7.0,15632,75.0,19604,183498
2020-08-27,23:00:00,,142,Aruba,106837,1848,178.0,8,0.0,608,43.0,1232,7.0,17297,75.0,20212,189185
2020-08-28,23:01:00,,142,Aruba,106838,1906,58.0,9,1.0,743,135.0,1154,7.0,17840,84.0,20472,191617
2020-08-29,12:29:00,,142,Aruba,106839,1906,0.0,9,0.0,743,0.0,1154,7.0,17840,84.0,20472,191615
2020-08-30,23:00:00,,142,Aruba,106840,1997,91.0,10,1.0,765,22.0,1222,7.0,18692,94.0,21114,197623
2020-08-31,18:58:00,,142,Aruba,106842,1997,0.0,10,0.0,765,0.0,1222,7.0,18691,94.0,21114,197619
2020-09-01,23:00:00,,142,Aruba,106843,2006,9.0,10,0.0,768,3.0,1228,7.0,18775,94.0,21266,199040
2020-09-02,23:01:00,,142,Aruba,106844,2104,98.0,10,0.0,857,89.0,1237,7.0,19692,94.0,21523,201443
2020-09-03,23:01:00,,142,Aruba,106845,2292,188.0,13,3.0,1031,174.0,1248,7.0,21452,122.0,22271,208442
2020-09-04,07:01:00,,142,Aruba,106847,2292,0.0,13,0.0,1031,0.0,1248,7.0,21451,122.0,22271,208438
