scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,46,Portugal,10193998,51463,,1738,,36984,,12741,41,5048,170.0,1622951,159207
2020-08-08,20:00:00,,46,Portugal,10193512,52537,1074.0,1750,12.0,38364,1380.0,12423,33,5154,172.0,1705474,167310
2020-08-12,20:00:00,,46,Portugal,10193189,52945,408.0,1761,11.0,38760,396.0,12424,29,5194,173.0,1766454,173297
2020-08-16,20:00:00,,46,Portugal,10192865,53981,1036.0,1775,14.0,39585,825.0,12621,37,5296,174.0,1799226,176518
2020-08-17,20:00:00,,46,Portugal,10192784,54234,253.0,1779,4.0,39800,215.0,12655,39,5321,175.0,1799226,176520
2020-08-18,20:00:00,,46,Portugal,10192704,54448,214.0,1784,5.0,39936,136.0,12728,38,5342,175.0,1799226,176521
2020-08-19,20:00:00,,46,Portugal,10192623,54448,0.0,1784,0.0,39936,0.0,12728,38,5342,175.0,1799226,176522
2020-08-20,17:53:00,,46,Portugal,10192542,54992,544.0,1788,4.0,40264,328.0,12940,39,5395,175.0,1861876,182670
2020-08-23,21:09:00,,46,Portugal,10192299,55597,605.0,1796,8.0,40774,510.0,13027,47,5455,176.0,1896675,186089
2020-08-24,17:10:00,,46,Portugal,10192218,55720,123.0,1801,5.0,40880,106.0,13039,44,5467,177.0,1896675,186091
2020-08-25,23:00:00,,46,Portugal,10192137,55912,192.0,1805,4.0,41021,141.0,13086,41,5486,177.0,1945123,190845
2020-08-26,22:59:00,,46,Portugal,10192057,56274,362.0,1807,2.0,41184,163.0,13283,38,5521,177.0,1958651,192174
2020-08-27,23:00:00,,46,Portugal,10191976,56673,399.0,1809,2.0,41357,173.0,13507,35,5561,177.0,1958651,192176
2020-08-28,23:01:00,,46,Portugal,10191895,57074,401.0,1815,6.0,41556,199.0,13703,38,5600,178.0,1976482,193927
2020-08-29,12:29:00,,46,Portugal,10191814,57074,0.0,1815,0.0,41556,0.0,13703,38,5600,178.0,1976482,193928
2020-08-30,23:00:00,,46,Portugal,10191733,57768,694.0,1819,4.0,41885,329.0,14064,41,5668,178.0,1976482,193930
2020-08-31,18:58:00,,46,Portugal,10191652,58012,244.0,1822,3.0,41961,76.0,14229,41,5692,179.0,1976482,193931
2020-09-01,23:00:00,,46,Portugal,10191571,58243,231.0,1824,2.0,42104,143.0,14315,44,5715,179.0,2042805,200441
2020-09-02,23:01:00,,46,Portugal,10191490,58633,390.0,1827,3.0,42233,129.0,14573,41,5753,179.0,2058544,201987
2020-09-03,23:01:00,,46,Portugal,10191409,59051,418.0,1829,2.0,42427,194.0,14795,44,5794,179.0,2058544,201988
2020-09-04,07:01:00,,46,Portugal,10191329,59051,0.0,1829,0.0,42427,0.0,14795,44,5794,179.0,2058544,201990
2020-09-05,23:31:00,,46,Portugal,10191248,59943,892.0,1838,9.0,42793,366.0,15312,41,5882,180.0,2092057,205280
2020-09-06,18:30:00,,46,Portugal,10191167,60258,315.0,1840,2.0,42953,160.0,15465,43,5913,181.0,2092057,205281
2020-09-07,23:39:00,,46,Portugal,10191086,60507,249.0,1843,3.0,43016,63.0,15648,49,5937,181.0,2092057,205283
2020-09-08,22:10:00,,46,Portugal,10191005,60895,388.0,1846,3.0,43146,130.0,15903,50,5975,181.0,2153615,211325
2020-09-09,22:01:00,,46,Portugal,10190924,61541,646.0,1849,3.0,43284,138.0,16408,52,6039,181.0,2168419,212779
2020-09-10,22:01:00,,46,Portugal,10190843,62126,585.0,1852,3.0,43441,157.0,16833,57,6096,182.0,2186824,214587
2020-09-11,22:00:00,,46,Portugal,10190762,62813,687.0,1855,3.0,43644,203.0,17314,54,6164,182.0,2210452,216907
2020-09-12,22:22:00,,46,Portugal,10190682,63310,497.0,1860,5.0,43894,250.0,17556,59,6213,183.0,2229753,218803
2020-09-13,22:01:00,,46,Portugal,10190601,63983,673.0,1867,7.0,44069,175.0,18047,57,6279,183.0,2229753,218805
2020-09-14,22:04:00,,46,Portugal,10190520,64596,613.0,1871,4.0,44185,116.0,18540,61,6339,184.0,2267663,222527
2020-09-15,21:00:00,,46,Portugal,10190439,65021,425.0,1875,4.0,44362,177.0,18784,59,6381,184.0,2280220,223761
2020-09-16,21:01:00,,46,Portugal,10190358,65626,605.0,1878,3.0,44528,166.0,19220,61,6440,184.0,2280220,223763
2020-09-18,20:01:00,,46,Portugal,10190196,67176,1550.0,1894,16.0,45053,525.0,20229,57,6592,186.0,2345680,230190
2020-09-19,21:00:00,,46,Portugal,10190115,68025,849.0,1899,5.0,45404,351.0,20722,64,6676,186.0,2345680,230192
