scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,1969-12-31 23:59:59.999999999,163,San Marino,33937,699,,42,,657,,0,,20597,1238.0,6068,178802
2020-08-08,20:00:00,1969-12-31 23:59:59.999999999,163,San Marino,33939,699,,42,,657,,0,,20596,1238.0,6068,178791
2020-08-12,20:00:00,1969-12-31 23:59:59.999999999,163,San Marino,33939,699,,42,,657,,0,,20596,1238.0,6068,178791
2020-08-16,20:00:00,1969-12-31 23:59:59.999999999,163,San Marino,33940,699,,42,,657,,0,,20595,1237.0,6068,178786
2020-08-17,20:00:00,1969-12-31 23:59:59.999999999,163,San Marino,33940,699,,42,,657,,0,,20595,1237.0,6068,178786
2020-08-18,20:00:00,1969-12-31 23:59:59.999999999,163,San Marino,33940,702,3.0,42,,657,,3,,20684,1237.0,6399,188539
2020-08-19,20:00:00,1969-12-31 23:59:59.999999999,163,San Marino,33941,702,,42,,657,,3,,20683,1237.0,6399,188533
2020-08-20,17:53:00,1969-12-31 23:59:59.999999999,163,San Marino,33941,704,,42,,657,,5,,20742,1237.0,6511,191833
2020-08-23,21:09:00,1969-12-31 23:59:59.999999999,163,San Marino,33941,704,,42,,657,,5,,20742,1237.0,6511,191833
2020-08-24,17:10:00,1969-12-31 23:59:59.999999999,163,San Marino,33942,704,,42,,657,,5,,20741,1237.0,6511,191827
2020-08-25,23:00:00,1969-12-31 23:59:59.999999999,163,San Marino,33942,710,6.0,42,,658,1.0,10,,20918,1237.0,6678,196747
2020-08-26,22:59:00,1969-12-31 23:59:59.999999999,163,San Marino,33942,710,,42,,658,,10,,20918,1237.0,6678,196747
2020-08-27,23:00:00,1969-12-31 23:59:59.999999999,163,San Marino,33942,710,,42,,658,,10,,20918,1237.0,6678,196747
2020-08-28,23:01:00,1969-12-31 23:59:59.999999999,163,San Marino,33942,710,,42,,658,,10,,20918,1237.0,6678,196747
2020-08-29,12:29:00,1969-12-31 23:59:59.999999999,163,San Marino,33943,710,,42,,658,,10,,20917,1237.0,6678,196742
2020-08-30,23:00:00,1969-12-31 23:59:59.999999999,163,San Marino,33943,710,,42,,658,,10,,20917,1237.0,6678,196742
2020-08-31,18:58:00,1969-12-31 23:59:59.999999999,163,San Marino,33943,710,,42,,658,,10,,20917,1237.0,6678,196742
2020-09-01,23:00:00,1969-12-31 23:59:59.999999999,163,San Marino,33943,715,,42,,660,,13,,21065,1237.0,6865,202251
2020-09-02,23:01:00,1969-12-31 23:59:59.999999999,163,San Marino,33943,715,,42,,660,,13,,21065,1237.0,6865,202251
2020-09-03,23:01:00,1969-12-31 23:59:59.999999999,163,San Marino,33944,735,,42,,660,,33,,21653,1237.0,6865,202245
2020-09-04,07:01:00,1969-12-31 23:59:59.999999999,163,San Marino,33944,735,,42,,660,,33,,21653,1237.0,6865,202245
2020-09-05,23:31:00,1969-12-31 23:59:59.999999999,163,San Marino,33944,735,,42,,660,,33,,21653,1237.0,6865,202245
2020-09-06,18:30:00,1969-12-31 23:59:59.999999999,163,San Marino,33944,716,,42,,660,,14,1.0,21094,1237.0,6865,202245
2020-09-07,23:39:00,1969-12-31 23:59:59.999999999,163,San Marino,33944,716,,42,,660,,14,1.0,21094,1237.0,6865,202245
2020-09-08,22:10:00,1969-12-31 23:59:59.999999999,163,San Marino,33945,716,,42,,660,,14,1.0,21093,1237.0,6865,202239
2020-09-10,22:01:00,1969-12-31 23:59:59.999999999,163,San Marino,33945,722,,42,,662,,18,1.0,21270,1237.0,7176,211401
2020-09-11,22:00:00,1969-12-31 23:59:59.999999999,163,San Marino,33945,722,,42,,662,,18,1.0,21270,1237.0,7176,211401
2020-09-12,22:22:00,1969-12-31 23:59:59.999999999,163,San Marino,33945,722,,42,,662,,18,1.0,21270,1237.0,7176,211401
2020-09-13,22:01:00,1969-12-31 23:59:59.999999999,163,San Marino,33945,722,,42,,662,,18,1.0,21270,1237.0,7176,211401
2020-09-14,22:04:00,1969-12-31 23:59:59.999999999,163,San Marino,33946,722,,42,,662,,18,1.0,21269,1237.0,7176,211395
2020-09-15,21:00:00,1969-12-31 23:59:59.999999999,163,San Marino,33946,723,1.0,42,,663,1.0,18,3.0,21299,1237.0,7377,217316
2020-09-16,21:01:00,1969-12-31 23:59:59.999999999,163,San Marino,33946,723,,42,,663,,18,3.0,21299,1237.0,7377,217316
2020-09-18,20:01:00,1969-12-31 23:59:59.999999999,163,San Marino,33946,723,,42,,663,,18,3.0,21299,1237.0,7377,217316
2020-09-19,21:00:00,1969-12-31 23:59:59.999999999,163,San Marino,33947,723,,42,,669,,12,3.0,21298,1237.0,7470,220049
2020-09-20,22:31:00,1969-12-31 23:59:59.999999999,163,San Marino,33947,723,,42,,669,,12,3.0,21298,1237.0,7470,220049
2020-09-21,21:01:00,1969-12-31 23:59:59.999999999,163,San Marino,33947,723,,42,,669,,12,3.0,21298,1237.0,7470,220049
2020-09-22,21:01:00,1969-12-31 23:59:59.999999999,163,San Marino,33947,723,,42,,669,,12,3.0,21298,1237.0,7470,220049
2020-09-23,19:58:00,1969-12-31 23:59:59.999999999,163,San Marino,33947,723,,42,,669,,12,3.0,21298,1237.0,7470,220049
2020-09-24,21:00:00,1969-12-31 23:59:59.999999999,163,San Marino,33948,723,,42,,669,,12,3.0,21297,1237.0,7470,220042
2020-09-25,21:00:00,1969-12-31 23:59:59.999999999,163,San Marino,33948,727,,42,,676,,9,3.0,21415,1237.0,7602,223931
2020-09-26,21:00:00,1969-12-31 23:59:59.999999999,163,San Marino,33948,727,,42,,676,,9,3.0,21415,1237.0,7602,223931
2020-09-27,22:45:00,1969-12-31 23:59:59.999999999,163,San Marino,33948,727,,42,,676,,9,3.0,21415,1237.0,7602,223931
2020-09-28,22:00:00,1969-12-31 23:59:59.999999999,163,San Marino,33948,727,,42,,676,,9,3.0,21415,1237.0,7602,223931
2020-09-29,21:35:00,1969-12-31 23:59:59.999999999,163,San Marino,33949,727,,42,,676,,9,3.0,21414,1237.0,7602,223924
2020-09-30,22:00:00,1969-12-31 23:59:59.999999999,163,San Marino,33949,732,5.0,42,,680,4.0,10,3.0,21562,1237.0,7755,228431
2020-10-01,21:31:00,1969-12-31 23:59:59.999999999,163,San Marino,33949,732,,42,,680,,10,3.0,21562,1237.0,7755,228431
2020-10-02,22:36:00,1969-12-31 23:59:59.999999999,163,San Marino,33949,732,,42,,680,,10,3.0,21562,1237.0,7755,228431
2020-10-03,22:24:00,1969-12-31 23:59:59.999999999,163,San Marino,33949,732,,42,,680,,10,3.0,21562,1237.0,7755,228431
2020-10-04,21:01:00,1969-12-31 23:59:59.999999999,163,San Marino,33950,732,,42,,680,,10,3.0,21561,1237.0,7755,228424
2020-10-05,22:13:00,1969-12-31 23:59:59.999999999,163,San Marino,33950,732,,42,,680,,10,3.0,21561,1237.0,7755,228424
