scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,208,Caribbean Netherlands,26244,13,,,,7,,6,,495,,424,16156
2020-08-08,20:00:00,,208,Caribbean Netherlands,26248,13,0.0,,,7,0.0,6,,495,,424,16154
2020-08-12,20:00:00,,208,Caribbean Netherlands,26250,13,0.0,,,7,0.0,6,,495,,424,16152
2020-08-16,20:00:00,,208,Caribbean Netherlands,26253,13,0.0,,,7,0.0,6,,495,,424,16151
2020-08-17,20:00:00,,208,Caribbean Netherlands,26254,13,0.0,,,7,0.0,6,,495,,424,16150
2020-08-18,20:00:00,,208,Caribbean Netherlands,26254,13,0.0,,,7,0.0,6,,495,,424,16150
2020-08-19,20:00:00,,208,Caribbean Netherlands,26255,13,0.0,,,7,0.0,6,,495,,424,16149
2020-08-20,17:53:00,,208,Caribbean Netherlands,26256,13,0.0,,,7,0.0,6,,495,,424,16149
2020-08-23,21:09:00,,208,Caribbean Netherlands,26258,13,0.0,,,7,0.0,6,,495,,424,16147
2020-08-24,17:10:00,,208,Caribbean Netherlands,26258,13,0.0,,,7,0.0,6,,495,,424,16147
2020-08-25,23:00:00,,208,Caribbean Netherlands,26259,13,0.0,,,7,0.0,6,,495,,424,16147
2020-08-26,22:59:00,,208,Caribbean Netherlands,26260,13,0.0,,,7,0.0,6,,495,,424,16146
2020-08-27,23:00:00,,208,Caribbean Netherlands,26260,13,0.0,,,7,0.0,6,,495,,424,16146
2020-08-28,23:01:00,,208,Caribbean Netherlands,26261,14,1.0,,,7,0.0,7,,533,,424,16146
2020-08-29,12:29:00,,208,Caribbean Netherlands,26262,14,0.0,,,7,0.0,7,,533,,424,16145
2020-08-30,23:00:00,,208,Caribbean Netherlands,26262,15,1.0,,,7,0.0,8,,571,,900,34270
2020-08-31,18:58:00,,208,Caribbean Netherlands,26263,15,0.0,,,7,0.0,8,,571,,900,34269
2020-09-01,23:00:00,,208,Caribbean Netherlands,26264,15,0.0,,,7,0.0,8,,571,,900,34267
2020-09-02,23:01:00,,208,Caribbean Netherlands,26264,16,1.0,,,7,0.0,9,,609,,900,34267
2020-09-03,23:01:00,,208,Caribbean Netherlands,26265,18,2.0,,,7,0.0,11,,685,,900,34266
2020-09-04,07:01:00,,208,Caribbean Netherlands,26266,18,0.0,,,7,0.0,11,,685,,900,34265
2020-09-05,23:31:00,,208,Caribbean Netherlands,26266,18,0.0,,,7,0.0,11,,685,,900,34265
2020-09-06,18:30:00,,208,Caribbean Netherlands,26267,18,0.0,,,7,0.0,11,,685,,900,34264
2020-09-07,23:39:00,,208,Caribbean Netherlands,26268,18,0.0,,,7,0.0,11,,685,,900,34262
