Scrap_time,Update_time_GMT,Date,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02 20:00:00,,2020-08-02,52,Kyrgyzstan,6533007,36719,,1409,,27274,,8036,24,5621,216.0,267718,40979
2020-08-08 20:00:00,,2020-08-08,52,Kyrgyzstan,6534773,39571,2852.0,1459,50.0,31062,3788.0,7050,24,6055,223.0,267718,40968
2020-08-12 20:00:00,,2020-08-12,52,Kyrgyzstan,6535950,40759,1188.0,1484,25.0,32997,1935.0,6278,24,6236,227.0,267718,40961
2020-08-16 20:00:00,,2020-08-16,52,Kyrgyzstan,6537128,41856,1097.0,1495,11.0,34276,1279.0,6085,24,6403,229.0,267718,40953
2020-08-17 20:00:00,,2020-08-17,52,Kyrgyzstan,6537422,41991,135.0,1496,1.0,34537,261.0,5958,24,6423,229.0,267718,40952
2020-08-18 20:00:00,,2020-08-18,52,Kyrgyzstan,6537717,42146,155.0,1498,2.0,34855,318.0,5793,24,6447,229.0,267718,40950
2020-08-19 20:00:00,,2020-08-19,52,Kyrgyzstan,6538011,42146,0.0,1498,0.0,34855,0.0,5793,24,6446,229.0,267718,40948
2020-08-20 17:53:00,,2020-08-20,52,Kyrgyzstan,6538305,42507,361.0,1498,0.0,35486,631.0,5523,24,6501,229.0,267718,40946
2020-08-23 21:09:00,,2020-08-23,52,Kyrgyzstan,6539188,43023,516.0,1056,-442.0,36397,911.0,5570,24,6579,161.0,267718,40941
2020-08-24 17:10:00,,2020-08-24,52,Kyrgyzstan,6539483,43126,103.0,1057,1.0,36615,218.0,5454,24,6595,162.0,267718,40939
2020-08-25 23:00:00,,2020-08-25,52,Kyrgyzstan,6539777,43245,119.0,1057,0.0,36925,310.0,5263,24,6613,162.0,267718,40937
2020-08-26 22:59:00,,2020-08-26,52,Kyrgyzstan,6540072,43358,113.0,1057,0.0,37217,292.0,5084,24,6630,162.0,267718,40935
2020-08-27 23:00:00,,2020-08-27,52,Kyrgyzstan,6540366,43459,101.0,1057,0.0,37492,275.0,4910,24,6645,162.0,267718,40933
2020-08-28 23:01:00,,2020-08-28,52,Kyrgyzstan,6540660,43587,128.0,1057,0.0,37726,234.0,4804,24,6664,162.0,267718,40931
2020-08-29 12:29:00,,2020-08-29,52,Kyrgyzstan,6540955,43712,125.0,1057,0.0,37973,247.0,4682,24,6683,162.0,267718,40929
2020-08-30 23:00:00,,2020-08-30,52,Kyrgyzstan,6541249,43820,108.0,1058,1.0,38198,225.0,4564,24,6699,162.0,267718,40928
2020-08-31 18:58:00,,2020-08-31,52,Kyrgyzstan,6541543,43898,78.0,1058,0.0,38459,261.0,4381,24,6711,162.0,267718,40926
2020-09-01 23:00:00,,2020-09-01,52,Kyrgyzstan,6541838,43958,60.0,1059,1.0,38649,190.0,4250,24,6720,162.0,267718,40924
2020-09-02 23:01:00,,2020-09-02,52,Kyrgyzstan,6542132,44036,78.0,1059,0.0,38895,246.0,4082,24,6731,162.0,267718,40922
2020-09-03 23:01:00,,2020-09-03,52,Kyrgyzstan,6542426,44135,99.0,1059,0.0,39174,279.0,3902,24,6746,162.0,267718,40920
2020-09-04 07:01:00,,2020-09-04,52,Kyrgyzstan,6542721,44135,0.0,1059,0.0,39174,0.0,3902,24,6746,162.0,267718,40918
2020-09-05 23:31:00,,2020-09-05,52,Kyrgyzstan,6543015,44293,158.0,1060,1.0,39599,425.0,3634,24,6770,162.0,267718,40917
2020-09-06 18:30:00,,2020-09-06,52,Kyrgyzstan,6543310,44403,110.0,1060,0.0,39826,227.0,3517,24,6786,162.0,267718,40915
2020-09-07 23:39:00,,2020-09-07,52,Kyrgyzstan,6543604,44458,55.0,1060,0.0,39960,134.0,3438,24,6794,162.0,267718,40913
2020-09-08 22:10:00,,2020-09-08,52,Kyrgyzstan,6543898,44487,29.0,1060,0.0,40092,132.0,3335,24,6798,162.0,267718,40911
2020-09-09 22:01:00,,2020-09-09,52,Kyrgyzstan,6544193,44613,126.0,1061,1.0,40336,244.0,3216,24,6817,162.0,267718,40909
2020-09-10 22:01:00,,2020-09-10,52,Kyrgyzstan,6544487,44684,71.0,1061,0.0,40487,151.0,3136,24,6828,162.0,267718,40907
2020-09-11 22:00:00,,2020-09-11,52,Kyrgyzstan,6544781,44761,77.0,1063,2.0,40631,144.0,3067,24,6839,162.0,267718,40906
2020-09-12 22:22:00,,2020-09-12,52,Kyrgyzstan,6545076,44828,67.0,1063,0.0,40779,148.0,2986,24,6849,162.0,267718,40904
2020-09-13 22:01:00,,2020-09-13,52,Kyrgyzstan,6545370,44828,0.0,1063,0.0,40779,0.0,2986,24,6849,162.0,267718,40902
2020-09-14 22:04:00,,2020-09-14,52,Kyrgyzstan,6545664,44928,100.0,1063,0.0,41023,244.0,2842,24,6864,162.0,267718,40900
2020-09-15 21:00:00,,2020-09-15,52,Kyrgyzstan,6545959,44999,71.0,1063,0.0,41103,80.0,2833,24,6874,162.0,267718,40898
2020-09-16 21:01:00,,2020-09-16,52,Kyrgyzstan,6546253,45072,73.0,1063,0.0,41210,107.0,2799,24,6885,162.0,267718,40896
2020-09-18 20:01:00,,2020-09-18,52,Kyrgyzstan,6546842,45244,172.0,1063,0.0,41415,205.0,2766,24,6911,162.0,267718,40893
2020-09-19 21:00:00,,2020-09-19,52,Kyrgyzstan,6547136,45335,91.0,1063,0.0,41484,69.0,2788,24,6924,162.0,267718,40891
2020-09-20 22:31:00,,2020-09-20,52,Kyrgyzstan,6547431,45335,0.0,1063,0.0,41484,0.0,2788,24,6924,162.0,267718,40889
2020-09-21 21:01:00,,2020-09-21,52,Kyrgyzstan,6547725,45471,136.0,1063,0.0,41682,198.0,2726,24,6945,162.0,267718,40887
2020-09-22 21:01:00,,2020-09-22,52,Kyrgyzstan,6548019,45542,71.0,1063,0.0,41796,114.0,2683,24,6955,162.0,267718,40885
2020-09-23 19:58:00,,2020-09-23,52,Kyrgyzstan,6548314,45630,88.0,1063,0.0,41904,108.0,2663,24,6968,162.0,267718,40884
