Date,Scrap_time,Update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,197,Saint Lucia,183701,25,,,,22,,3,,136,,3348,18225
2020-08-08,20:00:00,,197,Saint Lucia,183714,25,0.0,,,24,2.0,1,,136,,3973,21626
2020-08-12,20:00:00,,197,Saint Lucia,183723,25,0.0,,,25,1.0,0,,136,,4274,23263
2020-08-16,20:00:00,,197,Saint Lucia,183733,25,0.0,,,25,0.0,0,,136,,4465,24302
2020-08-17,20:00:00,,197,Saint Lucia,183735,25,0.0,,,25,0.0,0,,136,,4616,25123
2020-08-18,20:00:00,,197,Saint Lucia,183737,25,0.0,,,25,0.0,0,,136,,4768,25950
2020-08-19,20:00:00,,197,Saint Lucia,183739,26,1.0,,,25,0.0,1,,142,,4801,26129
2020-08-20,17:53:00,,197,Saint Lucia,183742,26,0.0,,,25,0.0,1,,142,,4801,26129
2020-08-23,21:09:00,,197,Saint Lucia,183749,26,0.0,,,25,0.0,1,,141,,4946,26917
2020-08-24,17:10:00,,197,Saint Lucia,183751,26,0.0,,,25,0.0,1,,141,,4946,26917
2020-08-25,23:00:00,,197,Saint Lucia,183753,26,0.0,,,25,0.0,1,,141,,4946,26917
2020-08-26,22:59:00,,197,Saint Lucia,183756,26,0.0,,,25,0.0,1,,141,,4946,26916
2020-08-27,23:00:00,,197,Saint Lucia,183758,26,0.0,,,25,0.0,1,,141,,5269,28674
2020-08-28,23:01:00,,197,Saint Lucia,183760,26,0.0,,,25,0.0,1,,141,,5323,28967
2020-08-29,12:29:00,,197,Saint Lucia,183762,26,0.0,,,25,0.0,1,,141,,5323,28967
2020-08-30,23:00:00,,197,Saint Lucia,183765,26,0.0,,,25,0.0,1,,141,,5323,28966
2020-08-31,18:58:00,,197,Saint Lucia,183767,26,0.0,,,25,0.0,1,,141,,5471,29771
2020-09-01,23:00:00,,197,Saint Lucia,183769,26,0.0,,,25,0.0,1,,141,,5542,30157
2020-09-02,23:01:00,,197,Saint Lucia,183772,26,0.0,,,26,1.0,0,,141,,5651,30750
2020-09-03,23:01:00,,197,Saint Lucia,183774,26,0.0,,,26,0.0,0,,141,,5730,31180
2020-09-04,07:01:00,,197,Saint Lucia,183776,26,0.0,,,26,0.0,0,,141,,5730,31179
2020-09-05,23:31:00,,197,Saint Lucia,183778,26,0.0,,,26,0.0,0,,141,,5835,31750
2020-09-06,18:30:00,,197,Saint Lucia,183781,26,0.0,,,26,0.0,0,,141,,5875,31967
2020-09-07,23:39:00,,197,Saint Lucia,183783,26,0.0,,,26,0.0,0,,141,,5977,32522
2020-09-08,22:10:00,,197,Saint Lucia,183785,26,0.0,,,26,0.0,0,,141,,5977,32522
2020-09-10,22:01:00,,197,Saint Lucia,183790,27,1.0,,,26,0.0,1,,147,,6130,33353
2020-09-11,22:00:00,,197,Saint Lucia,183792,27,0.0,,,26,0.0,1,,147,,7107,38669
2020-09-12,22:22:00,,197,Saint Lucia,183794,27,0.0,,,26,0.0,1,,147,,7160,38957
2020-09-13,22:01:00,,197,Saint Lucia,183797,27,0.0,,,26,0.0,1,,147,,7221,39288
2020-09-14,22:04:00,,197,Saint Lucia,183799,27,0.0,,,26,0.0,1,,147,,7221,39287
2020-09-15,21:00:00,,197,Saint Lucia,183801,27,0.0,,,26,0.0,1,,147,,7221,39287
2020-09-16,21:01:00,,197,Saint Lucia,183804,27,0.0,,,26,0.0,1,,147,,7419,40364
2020-09-18,20:01:00,,197,Saint Lucia,183808,27,0.0,,,26,0.0,1,,147,,7547,41059
2020-09-19,21:00:00,,197,Saint Lucia,183810,27,0.0,,,26,0.0,1,,147,,7616,41434
2020-09-20,22:31:00,,197,Saint Lucia,183813,27,0.0,,,26,0.0,1,,147,,7672,41738
2020-09-21,21:01:00,,197,Saint Lucia,183815,27,0.0,,,26,0.0,1,,147,,7766,42249
2020-09-22,21:01:00,,197,Saint Lucia,183817,27,0.0,,,26,0.0,1,,147,,7766,42249
2020-09-23,19:58:00,,197,Saint Lucia,183820,27,0.0,,,26,0.0,1,,147,,7766,42248
2020-09-24,21:00:00,,197,Saint Lucia,183822,27,0.0,,,26,0.0,1,,147,,7766,42247
2020-09-25,21:00:00,,197,Saint Lucia,183824,27,0.0,,,26,0.0,1,,147,,7766,42247
2020-09-26,21:00:00,,197,Saint Lucia,183826,27,0.0,,,27,1.0,0,,147,,7994,43487
2020-09-27,22:45:00,,197,Saint Lucia,183829,27,0.0,,,27,0.0,0,,147,,7994,43486
2020-09-28,22:00:00,,197,Saint Lucia,183831,27,0.0,,,27,0.0,0,,147,,7994,43486
2020-09-29,21:35:00,,197,Saint Lucia,183833,27,0.0,,,27,0.0,0,,147,,8120,44171
2020-09-30,22:00:00,,197,Saint Lucia,183836,27,0.0,,,27,0.0,0,,147,,8120,44170
2020-10-01,21:31:00,,197,Saint Lucia,183838,27,0.0,,,27,0.0,0,,147,,8120,44169
2020-10-02,22:36:00,,197,Saint Lucia,183840,27,0.0,,,27,0.0,0,,147,,8120,44169
2020-10-03,22:24:00,,197,Saint Lucia,183842,27,0.0,,,27,0.0,0,,147,,8120,44168
2020-10-04,21:01:00,,197,Saint Lucia,183845,27,0.0,,,27,0.0,0,,147,,8120,44168
2020-10-05,22:13:00,,197,Saint Lucia,183847,27,0.0,,,27,0.0,0,,147,,8439,45902
2020-10-06,23:01:00,,197,Saint Lucia,183849,27,0.0,,,27,0.0,0,,147,,8439,45902
2020-10-07,23:01:00,,197,Saint Lucia,183852,27,0.0,,,27,0.0,0,,147,,8439,45901
2020-10-08,23:59:00,,197,Saint Lucia,183854,28,1.0,,,27,0.0,1,,152,,8591,46727
2020-10-09,23:00:00,,197,Saint Lucia,183856,28,0.0,,,27,0.0,1,,152,,8591,46727
2020-10-10,23:00:00,,197,Saint Lucia,183858,28,0.0,,,27,0.0,1,,152,,8591,46726
2020-10-12,23:10:00,,197,Saint Lucia,183863,29,1.0,,,27,0.0,2,,158,,8715,47399
2020-10-13,23:01:00,,197,Saint Lucia,183865,29,0.0,,,27,0.0,2,,158,,8801,47867
2020-10-14,23:01:00,,197,Saint Lucia,183868,29,0.0,,,27,0.0,2,,158,,8827,48007
2020-10-15,14:09:00,11:06:00,197,Saint Lucia,183870,31,2.0,,,27,0.0,4,,169,,8907,48442
2020-10-16,22:08:00,19:06:00,197,Saint Lucia,183872,31,0.0,,,27,0.0,4,,169,,8957,48713
2020-10-17,23:01:00,19:58:00,197,Saint Lucia,183874,33,2.0,,,27,0.0,6,,179,,9027,49093
2020-10-18,22:05:00,19:03:00,197,Saint Lucia,183877,33,0.0,,,27,0.0,6,,179,,9107,49528
2020-10-19,22:05:00,18:59:00,197,Saint Lucia,183879,36,3.0,,,27,0.0,9,,196,,9132,49663
2020-10-20,22:05:00,19:04:00,197,Saint Lucia,183881,36,0.0,,,27,0.0,9,,196,,9132,49663
2020-10-21,22:05:00,19:03:00,197,Saint Lucia,183884,38,2.0,,,27,0.0,11,,207,,9472,51511
2020-10-22,22:05:00,19:04:00,197,Saint Lucia,183886,42,4.0,,,27,0.0,15,,228,,9597,52190
2020-10-23,22:05:00,19:02:00,197,Saint Lucia,183888,42,0.0,,,27,0.0,15,,228,,9597,52189
2020-10-24,23:41:00,20:40:00,197,Saint Lucia,183890,52,10.0,,,27,0.0,25,,283,,9852,53576
2020-10-25,23:00:00,20:58:00,197,Saint Lucia,183893,54,2.0,,,27,0.0,27,,294,,10177,55342
2020-10-26,23:00:00,20:56:00,197,Saint Lucia,183895,54,0.0,,,27,0.0,27,,294,,10177,55341
2020-10-27,23:00:00,20:58:00,197,Saint Lucia,183897,63,9.0,,,27,0.0,36,,343,,10291,55961
2020-10-28,23:00:00,20:58:00,197,Saint Lucia,183900,67,4.0,,,27,0.0,40,,364,,10617,57732
2020-10-29,23:00:00,20:57:00,197,Saint Lucia,183902,76,9.0,,,27,0.0,49,,413,,10686,58107
2020-10-30,23:00:00,20:58:00,197,Saint Lucia,183904,76,0.0,,,27,0.0,49,,413,,10686,58106
2020-10-31,23:00:00,20:59:00,197,Saint Lucia,183907,78,2.0,,,28,1.0,50,,424,,10794,58693
2020-11-01,23:00:00,20:59:00,197,Saint Lucia,183909,84,6.0,,,28,0.0,56,,457,,10951,59546
2020-11-02,23:00:00,20:57:00,197,Saint Lucia,183911,84,0.0,,,28,0.0,56,,457,,10951,59545
2020-11-03,23:00:00,20:59:00,197,Saint Lucia,183913,94,10.0,,,32,4.0,62,,511,,11535,62720
2020-11-04,23:00:00,20:57:00,197,Saint Lucia,183916,105,11.0,,,32,0.0,73,,571,,11642,63301
2020-11-05,23:00:00,20:59:00,197,Saint Lucia,183918,106,1.0,,,32,0.0,74,,576,,11864,64507
2020-11-06,23:00:00,20:58:00,197,Saint Lucia,183920,110,4.0,,,32,0.0,78,,598,,12088,65724
2020-11-07,23:00:00,20:57:00,197,Saint Lucia,183923,110,0.0,,,32,0.0,78,,598,,12088,65723
2020-11-08,23:00:00,20:49:00,197,Saint Lucia,183925,123,13.0,,,32,0.0,91,,669,,12218,66429
