scrap_date,scrap_time,update_time_GMT,Continent_id,Continent,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical
2020-08-02,20:00:00,,2,South America,4192732,,145644,,2839117,,1207971,14322
2020-08-08,20:00:00,,2,South America,4650987,458255.0,157452,11808.0,3161055,321938.0,1332480,14439
2020-08-12,20:00:00,,2,South America,4887320,236333.0,163440,5988.0,3486335,325280.0,1237545,14735
2020-08-16,20:00:00,,2,South America,5228818,341498.0,174840,11400.0,3755101,268766.0,1298877,14863
2020-08-17,20:00:00,,2,South America,5289715,60897.0,176416,1576.0,3827422,72321.0,1285877,14805
2020-08-18,20:00:00,,2,South America,5332348,42633.0,177755,1339.0,3902836,75414.0,1251757,14858
2020-08-19,20:00:00,,2,South America,5411507,79159.0,179797,2042.0,3995108,92272.0,1236602,14908
2020-08-20,17:53:00,,2,South America,5495521,84014.0,182008,2211.0,4088142,93034.0,1225371,14855
2020-08-23,21:09:00,,2,South America,5725227,229706.0,188141,6133.0,4270082,181940.0,1267004,14878
2020-08-24,17:10:00,,2,South America,5765689,40462.0,189221,1080.0,4301362,31280.0,1275106,14910
2020-08-25,23:00:00,,2,South America,5828382,62693.0,191122,1901.0,4401625,100263.0,1235635,14971
2020-08-26,22:59:00,,2,South America,5906882,78500.0,193344,2222.0,4500443,98818.0,1213095,14971
2020-08-27,23:00:00,,2,South America,5986465,79583.0,195309,1965.0,4590130,89687.0,1201026,14999
2020-08-28,23:01:00,,2,South America,6062205,75740.0,197111,1802.0,4658090,67960.0,1207004,15083
2020-08-29,12:29:00,,2,South America,6132988,70783.0,198433,1322.0,4711397,53307.0,1223158,15117
2020-08-30,23:00:00,,2,South America,6204520,71532.0,200228,1795.0,4787674,76277.0,1216618,15155
2020-08-31,18:58:00,,2,South America,6246073,41553.0,201250,1022.0,4842836,55162.0,1201987,15210
2020-09-01,23:00:00,,2,South America,6328936,82863.0,202909,1659.0,4937355,94519.0,1188672,15214
2020-09-02,23:01:00,,2,South America,6400791,71855.0,205053,2144.0,5030288,92933.0,1165450,15224
2020-09-03,23:01:00,,2,South America,6478681,77890.0,207066,2013.0,5112307,82019.0,1159308,15257
2020-09-04,07:01:00,,2,South America,6547061,68380.0,208468,1402.0,5171622,59315.0,1166971,15305
2020-09-05,23:31:00,,2,South America,6628705,81644.0,210440,1972.0,5244755,73133.0,1173510,15355
2020-09-06,18:30:00,,2,South America,6686503,57798.0,211615,1175.0,5292368,47613.0,1182520,14753
2020-09-07,23:39:00,,2,South America,6722318,35815.0,218235,6620.0,5334292,41924.0,1169791,14857
2020-09-08,22:10:00,,2,South America,6753662,31344.0,219296,1061.0,5405970,71678.0,1128396,15038
2020-09-09,22:01:00,,2,South America,6813630,59968.0,221169,1873.0,5488247,82277.0,1104214,15039
2020-09-10,22:01:00,,2,South America,6876844,63214.0,222709,1540.0,5575863,87616.0,1078272,15028
2020-09-11,22:00:00,,2,South America,6949277,72433.0,224465,1756.0,5659694,83831.0,1065118,15152
2020-09-12,22:22:00,,2,South America,7027729,78452.0,226262,1797.0,5728348,68654.0,1073119,15373
2020-09-13,22:01:00,,2,South America,7079301,51572.0,227398,1136.0,5782473,54125.0,1069430,15239
2020-09-14,22:04:00,,2,South America,7124841,45540.0,228328,930.0,5836845,54372.0,1059668,15286
