Scrap_time,Update_time_GMT,Date,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02 20:00:00,,2020-08-02,152,Niger,24269389,1136,,69,,1028,,39,,47,3.0,9052,373
2020-08-08 20:00:00,,2020-08-08,152,Niger,24283842,1153,17.0,69,0.0,1057,29.0,27,,47,3.0,9052,373
2020-08-12 20:00:00,,2020-08-12,152,Niger,24293476,1158,5.0,69,0.0,1065,8.0,24,,48,3.0,9052,373
2020-08-16 20:00:00,,2020-08-16,152,Niger,24303111,1165,7.0,69,0.0,1077,12.0,19,,48,3.0,9052,372
2020-08-17 20:00:00,,2020-08-17,152,Niger,24305520,1167,2.0,69,0.0,1078,1.0,20,,48,3.0,9052,372
2020-08-18 20:00:00,,2020-08-18,152,Niger,24307929,1167,0.0,69,0.0,1078,0.0,20,,48,3.0,9052,372
2020-08-19 20:00:00,,2020-08-19,152,Niger,24310338,1167,0.0,69,0.0,1079,1.0,19,,48,3.0,9052,372
2020-08-20 17:53:00,,2020-08-20,152,Niger,24312746,1167,0.0,69,0.0,1079,0.0,19,,48,3.0,9052,372
2020-08-23 21:09:00,,2020-08-23,152,Niger,24319972,1172,5.0,69,0.0,1083,4.0,20,,48,3.0,9052,372
2020-08-24 17:10:00,,2020-08-24,152,Niger,24322381,1172,0.0,69,0.0,1083,0.0,20,,48,3.0,9052,372
2020-08-25 23:00:00,,2020-08-25,152,Niger,24324790,1172,0.0,69,0.0,1084,1.0,19,,48,3.0,9052,372
2020-08-26 22:59:00,,2020-08-26,152,Niger,24327199,1173,1.0,69,0.0,1084,0.0,20,,48,3.0,9052,372
2020-08-27 23:00:00,,2020-08-27,152,Niger,24329607,1173,0.0,69,0.0,1084,0.0,20,,48,3.0,9052,372
2020-08-28 23:01:00,,2020-08-28,152,Niger,24332016,1173,0.0,69,0.0,1084,0.0,20,,48,3.0,9052,372
2020-08-29 12:29:00,,2020-08-29,152,Niger,24334425,1175,2.0,69,0.0,1085,1.0,21,,48,3.0,9052,372
2020-08-30 23:00:00,,2020-08-30,152,Niger,24336834,1175,0.0,69,0.0,1085,0.0,21,,48,3.0,9052,372
2020-08-31 18:58:00,,2020-08-31,152,Niger,24339242,1175,0.0,69,0.0,1085,0.0,21,,48,3.0,9052,372
2020-09-01 23:00:00,,2020-09-01,152,Niger,24341651,1176,1.0,69,0.0,1088,3.0,19,,48,3.0,9052,372
2020-09-02 23:01:00,,2020-09-02,152,Niger,24344060,1176,0.0,69,0.0,1088,0.0,19,,48,3.0,9052,372
2020-09-03 23:01:00,,2020-09-03,152,Niger,24346468,1176,0.0,69,0.0,1088,0.0,19,,48,3.0,9052,372
2020-09-04 07:01:00,,2020-09-04,152,Niger,24348877,1177,1.0,69,0.0,1091,3.0,17,,48,3.0,9052,372
2020-09-05 23:31:00,,2020-09-05,152,Niger,24351286,1177,0.0,69,0.0,1091,0.0,17,,48,3.0,9052,372
2020-09-06 18:30:00,,2020-09-06,152,Niger,24353695,1177,0.0,69,0.0,1091,0.0,17,,48,3.0,9052,372
2020-09-07 23:39:00,,2020-09-07,152,Niger,24356103,1177,0.0,69,0.0,1091,0.0,17,,48,3.0,9052,372
2020-09-08 22:10:00,,2020-09-08,152,Niger,24358512,1177,0.0,69,0.0,1091,0.0,17,,48,3.0,9052,372
2020-09-10 22:01:00,,2020-09-10,152,Niger,24363330,1178,1.0,69,0.0,1099,8.0,10,,48,3.0,9052,372
2020-09-11 22:00:00,,2020-09-11,152,Niger,24365738,1178,0.0,69,0.0,1099,0.0,10,,48,3.0,9052,372
2020-09-12 22:22:00,,2020-09-12,152,Niger,24368147,1178,0.0,69,0.0,1100,1.0,9,,48,3.0,9052,371
2020-09-13 22:01:00,,2020-09-13,152,Niger,24370556,1178,0.0,69,0.0,1100,0.0,9,,48,3.0,9052,371
2020-09-14 22:04:00,,2020-09-14,152,Niger,24372964,1180,2.0,69,0.0,1104,4.0,7,,48,3.0,9052,371
2020-09-15 21:00:00,,2020-09-15,152,Niger,24375373,1180,0.0,69,0.0,1104,0.0,7,,48,3.0,9052,371
2020-09-16 21:01:00,,2020-09-16,152,Niger,24377782,1182,2.0,69,0.0,1104,0.0,9,,48,3.0,19543,802
2020-09-18 20:01:00,,2020-09-18,152,Niger,24382599,1183,1.0,69,0.0,1104,0.0,10,,49,3.0,19794,812
2020-09-19 21:00:00,,2020-09-19,152,Niger,24385008,1183,0.0,69,0.0,1104,0.0,10,,49,3.0,19989,820
2020-09-20 22:31:00,,2020-09-20,152,Niger,24387417,1183,0.0,69,0.0,1104,0.0,10,,49,3.0,20530,842
2020-09-21 21:01:00,,2020-09-21,152,Niger,24389826,1188,5.0,69,0.0,1104,0.0,15,,49,3.0,20589,844
2020-09-22 21:01:00,,2020-09-22,152,Niger,24392234,1189,1.0,69,0.0,1104,0.0,16,,49,3.0,20589,844
2020-09-23 19:58:00,,2020-09-23,152,Niger,24394643,1193,4.0,69,0.0,1104,0.0,20,,49,3.0,20589,844
2020-09-24 21:00:00,,2020-09-24,152,Niger,24397052,1193,0.0,69,0.0,1107,3.0,17,,49,3.0,21016,861
2020-09-25 21:00:00,,2020-09-25,152,Niger,24399460,1194,1.0,69,0.0,1107,0.0,18,,49,3.0,21016,861
2020-09-26 21:00:00,,2020-09-26,152,Niger,24401869,1194,0.0,69,0.0,1107,0.0,18,,49,3.0,21482,880
2020-09-27 22:45:00,,2020-09-27,152,Niger,24404278,1194,0.0,69,0.0,1107,0.0,18,,49,3.0,21905,898
2020-09-28 22:00:00,,2020-09-28,152,Niger,24406687,1196,2.0,69,0.0,1107,0.0,20,,49,3.0,22022,902
2020-09-29 21:35:00,,2020-09-29,152,Niger,24409095,1196,0.0,69,0.0,1110,3.0,17,,49,3.0,24769,1015
2020-09-30 22:00:00,,2020-09-30,152,Niger,24411504,1196,0.0,69,0.0,1110,0.0,17,,49,3.0,25024,1025
2020-10-01 21:31:00,,2020-10-01,152,Niger,24413913,1197,1.0,69,0.0,1114,4.0,14,,49,3.0,25024,1025
2020-10-02 22:36:00,,2020-10-02,152,Niger,24416322,1197,0.0,69,0.0,1114,0.0,14,,49,3.0,25447,1042
2020-10-03 22:24:00,,2020-10-03,152,Niger,24418730,1198,1.0,69,0.0,1115,1.0,14,,49,3.0,25579,1048
2020-10-04 21:01:00,,2020-10-04,152,Niger,24421139,1200,2.0,69,0.0,1115,0.0,16,,49,3.0,25889,1060
2020-10-05 22:13:00,,2020-10-05,152,Niger,24423548,1200,0.0,69,0.0,1115,0.0,16,,49,3.0,26062,1067
2020-10-06 23:01:00,,2020-10-06,152,Niger,24425957,1200,0.0,69,0.0,1115,0.0,16,,49,3.0,26229,1074
2020-10-07 23:01:00,,2020-10-07,152,Niger,24428365,1200,0.0,69,0.0,1115,0.0,16,,49,3.0,26746,1095
2020-10-08 23:59:00,,2020-10-08,152,Niger,24430774,1200,0.0,69,0.0,1122,7.0,9,,49,3.0,26937,1103
2020-10-09 23:00:00,,2020-10-09,152,Niger,24433183,1201,1.0,69,0.0,1122,0.0,10,,49,3.0,27129,1110
2020-10-10 23:00:00,,2020-10-10,152,Niger,24435591,1201,0.0,69,0.0,1123,1.0,9,9.0,49,3.0,27584,1129
2020-10-12 23:10:00,,2020-10-12,152,Niger,24440409,1201,0.0,69,0.0,1123,0.0,9,9.0,49,3.0,28191,1153
2020-10-13 23:01:00,,2020-10-13,152,Niger,24442818,1202,1.0,69,0.0,1124,1.0,9,9.0,49,3.0,28347,1160
2020-10-14 23:01:00,,2020-10-14,152,Niger,24445226,1203,1.0,69,0.0,1124,0.0,10,9.0,49,3.0,28347,1160
2020-10-15 14:09:00,11:06:00,2020-10-15,152,Niger,24447635,1205,2.0,69,0.0,1124,0.0,12,9.0,49,3.0,28347,1159
2020-10-16 22:08:00,19:06:00,2020-10-16,152,Niger,24450044,1207,2.0,69,0.0,1124,0.0,14,9.0,49,3.0,30162,1234
2020-10-17 23:01:00,19:58:00,2020-10-17,152,Niger,24452453,1209,2.0,69,0.0,1126,2.0,14,9.0,49,3.0,30162,1233
2020-10-18 22:05:00,19:03:00,2020-10-18,152,Niger,24454861,1209,0.0,69,0.0,1126,0.0,14,9.0,49,3.0,30663,1254
2020-10-19 22:05:00,18:59:00,2020-10-19,152,Niger,24457270,1210,1.0,69,0.0,1126,0.0,15,9.0,49,3.0,30663,1254
2020-10-20 22:05:00,19:04:00,2020-10-20,152,Niger,24459679,1211,1.0,69,0.0,1128,2.0,14,9.0,50,3.0,30663,1254
2020-10-21 22:05:00,19:03:00,2020-10-21,152,Niger,24462087,1212,1.0,69,0.0,1128,0.0,15,9.0,50,3.0,33958,1388
2020-10-22 22:05:00,19:04:00,2020-10-22,152,Niger,24464496,1214,2.0,69,0.0,1128,0.0,17,9.0,50,3.0,34414,1407
2020-10-23 22:05:00,19:02:00,2020-10-23,152,Niger,24466905,1215,1.0,69,0.0,1128,0.0,18,9.0,50,3.0,34670,1417
2020-10-24 23:41:00,20:40:00,2020-10-24,152,Niger,24469314,1215,0.0,69,0.0,1128,0.0,18,9.0,50,3.0,34823,1423
2020-10-25 23:00:00,20:58:00,2020-10-25,152,Niger,24471722,1215,0.0,69,0.0,1128,0.0,18,9.0,50,3.0,35103,1434
2020-10-26 23:00:00,20:56:00,2020-10-26,152,Niger,24474131,1215,0.0,69,0.0,1129,1.0,17,9.0,50,3.0,35257,1441
2020-10-27 23:00:00,20:58:00,2020-10-27,152,Niger,24476540,1215,0.0,69,0.0,1129,0.0,17,9.0,50,3.0,35257,1440
2020-10-28 23:00:00,20:58:00,2020-10-28,152,Niger,24478949,1218,3.0,69,0.0,1132,3.0,17,9.0,50,3.0,36531,1492
