scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,12,Argentina,45231224,196543,,3612,,89026,,103905,1128,4345,80.0,736007,16272
2020-08-08,20:00:00,,12,Argentina,45238016,235677,39134.0,4450,838.0,108242,19216.0,122985,1293,5210,98.0,830057,18349
2020-08-12,20:00:00,,12,Argentina,45242544,260911,25234.0,5004,554.0,181389,73147.0,74518,1585,5767,111.0,872643,19288
2020-08-16,20:00:00,,12,Argentina,45247072,289100,28189.0,5637,633.0,205697,24308.0,77766,1716,6389,125.0,949170,20977
2020-08-17,20:00:00,,12,Argentina,45248204,294569,5469.0,5750,113.0,217850,12153.0,70969,1708,6510,127.0,966926,21369
2020-08-18,20:00:00,,12,Argentina,45249337,299126,4557.0,5877,127.0,223531,5681.0,69718,1749,6611,130.0,994942,21988
2020-08-19,20:00:00,,12,Argentina,45250469,305966,6840.0,6048,171.0,223531,0.0,76387,1799,6762,134.0,994942,21987
2020-08-20,17:53:00,,12,Argentina,45251601,312659,6693.0,6406,358.0,233651,10120.0,72602,1795,6909,142.0,1030992,22784
2020-08-23,21:09:00,,12,Argentina,45254997,336802,24143.0,6947,541.0,251400,17749.0,78455,1907,7442,154.0,1092556,24142
2020-08-24,17:10:00,,12,Argentina,45256129,342154,5352.0,7079,132.0,256789,5389.0,78286,1922,7560,156.0,1105878,24436
2020-08-25,23:00:00,,12,Argentina,45257261,350867,8713.0,7402,323.0,263202,6413.0,80263,1960,7753,164.0,1127098,24904
2020-08-26,22:59:00,,12,Argentina,45258393,359638,8771.0,7661,259.0,268801,5599.0,83176,1990,7946,169.0,1148574,25378
2020-08-27,23:00:00,,12,Argentina,45259525,370188,10550.0,7944,283.0,274458,5657.0,87786,2022,8179,176.0,1172811,25913
2020-08-28,23:01:00,,12,Argentina,45260657,380292,10104.0,8129,185.0,280165,5707.0,91998,2075,8402,180.0,1196878,26444
2020-08-29,12:29:00,,12,Argentina,45261789,392009,11717.0,8271,142.0,280165,0.0,103573,2114,8661,183.0,1196878,26443
2020-08-30,23:00:00,,12,Argentina,45262921,401239,9230.0,8401,130.0,294007,13842.0,98831,2192,8865,186.0,1242269,27446
2020-08-31,18:58:00,,12,Argentina,45264053,408426,7187.0,8498,97.0,301195,7188.0,98733,2232,9023,188.0,1257906,27790
