Date,Scrap_time,Update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,8,Colombia,50928858,306181,,10330,,160708,,135143,1493,6012,203.0,1609729,31607
2020-08-08,20:00:00,,8,Colombia,50937743,367196,61015.0,12250,1920.0,198495,37787.0,156451,1493,7209,240.0,1842292,36168
2020-08-12,20:00:00,,8,Colombia,50943667,410453,43257.0,13475,1225.0,230427,31932.0,166551,1493,8057,265.0,1982831,38922
2020-08-16,20:00:00,,8,Colombia,50949591,456689,46236.0,14810,1335.0,274420,43993.0,167459,1493,8964,291.0,2143097,42063
2020-08-17,20:00:00,,8,Colombia,50951072,468332,11643.0,15097,287.0,287436,13016.0,165799,1493,9192,296.0,2225388,43677
2020-08-18,20:00:00,,8,Colombia,50952553,476660,8328.0,15372,275.0,301525,14089.0,159763,1493,9355,302.0,2259743,44350
2020-08-19,20:00:00,,8,Colombia,50954033,489122,12462.0,15619,247.0,312323,10798.0,161180,1493,9599,307.0,2299226,45124
2020-08-20,17:53:00,,8,Colombia,50955514,502178,13056.0,15979,360.0,326298,13975.0,159901,1493,9855,314.0,2337241,45868
2020-08-23,21:09:00,,8,Colombia,50959957,533103,30925.0,16968,989.0,359792,33494.0,156343,1493,10461,333.0,2450441,48086
2020-08-24,17:10:00,,8,Colombia,50961438,541147,8044.0,17316,348.0,374030,14238.0,149801,1493,10619,340.0,2474417,48555
2020-08-25,23:00:00,,8,Colombia,50962919,551696,10549.0,17612,296.0,384171,10141.0,149913,1493,10825,346.0,2508972,49231
2020-08-26,22:59:00,,8,Colombia,50964400,562128,10432.0,17889,277.0,395470,11299.0,148769,1493,11030,351.0,2546147,49959
2020-08-27,23:00:00,,8,Colombia,50965881,572270,10142.0,18184,295.0,407121,11651.0,146965,1493,11228,357.0,2582612,50673
2020-08-28,23:01:00,,8,Colombia,50967362,582022,9752.0,18468,284.0,417793,10672.0,145761,1493,11420,362.0,2619712,51400
2020-08-29,12:29:00,,8,Colombia,50968843,590520,8498.0,18767,299.0,429620,11827.0,142133,1493,11586,368.0,2654983,52090
2020-08-30,23:00:00,,8,Colombia,50970324,599914,9394.0,19064,297.0,440574,10954.0,140276,1493,11770,374.0,2685355,52685
2020-08-31,18:58:00,,8,Colombia,50971805,607938,8024.0,19364,300.0,450621,10047.0,137953,1493,11927,380.0,2715591,53276
2020-09-01,23:00:00,,8,Colombia,50973286,615168,7230.0,19663,299.0,459475,8854.0,136030,1493,12068,386.0,2746217,53876
2020-09-02,23:01:00,,8,Colombia,50974767,624069,8901.0,20052,389.0,469557,10082.0,134460,1493,12243,393.0,2777107,54480
2020-09-03,23:01:00,,8,Colombia,50976248,633339,9270.0,20348,296.0,479568,10011.0,133423,1493,12424,399.0,2810137,55126
2020-09-04,07:01:00,,8,Colombia,50977729,641574,8235.0,20618,270.0,489151,9583.0,131805,1493,12585,404.0,2844145,55792
2020-09-05,23:31:00,,8,Colombia,50979209,650062,8488.0,20888,270.0,498221,9070.0,130953,1493,12752,410.0,2880158,56497
2020-09-06,18:30:00,,8,Colombia,50980690,658456,8394.0,21156,268.0,507770,9549.0,129530,863,12916,415.0,2906270,57007
2020-09-07,23:39:00,,8,Colombia,50982171,666521,8065.0,21412,256.0,518229,10459.0,126880,863,13074,420.0,2936517,57599
2020-09-08,22:10:00,,8,Colombia,50983652,671848,5327.0,21615,203.0,529279,11050.0,120954,863,13178,424.0,2964722,58150
2020-09-09,22:01:00,,8,Colombia,50985133,679513,7665.0,21817,202.0,541462,12183.0,116234,863,13328,428.0,2996911,58780
2020-09-10,22:01:00,,8,Colombia,50986614,686856,7343.0,22053,236.0,552885,11423.0,111918,863,13471,433.0,3028754,59403
2020-09-11,22:00:00,,8,Colombia,50988095,694664,7808.0,22275,222.0,569479,16594.0,102910,863,13624,437.0,3062852,60070
2020-09-12,22:22:00,,8,Colombia,50989576,702088,7424.0,22518,243.0,582694,13215.0,96876,863,13769,442.0,3100659,60810
2020-09-13,22:01:00,,8,Colombia,50991057,708964,6876.0,22734,216.0,592820,10126.0,93410,863,13904,446.0,3132861,61439
2020-09-14,22:04:00,,8,Colombia,50992538,716319,7355.0,22924,190.0,599385,6565.0,94010,863,14048,450.0,3164001,62048
2020-09-15,21:00:00,,8,Colombia,50994019,721892,5573.0,23123,199.0,606925,7540.0,91844,863,14156,453.0,3194202,62639
