Date,Scrap_time,Update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-10-17,23:01:00,19:58:00,,Wallis and Futuna,11179,1,,,,,,1,,89,,,
2020-10-18,22:05:00,19:03:00,,Wallis and Futuna,11179,1,0.0,,,,,1,,89,,,
2020-10-19,22:05:00,18:59:00,,Wallis and Futuna,11178,1,0.0,,,,,1,,89,,,
2020-10-20,22:05:00,19:04:00,,Wallis and Futuna,11178,1,0.0,,,,,1,,89,,,
2020-10-21,22:05:00,19:03:00,,Wallis and Futuna,11177,1,0.0,,,,,1,,89,,,
2020-10-22,22:05:00,19:04:00,,Wallis and Futuna,11177,1,0.0,,,,,1,,89,,,
2020-10-23,22:05:00,19:02:00,,Wallis and Futuna,11176,1,0.0,,,1.0,,0,,89,,48.0,4295.0
2020-10-24,23:41:00,20:40:00,,Wallis and Futuna,11175,1,0.0,,,1.0,0.0,0,,89,,48.0,4295.0
2020-10-25,23:00:00,20:58:00,,Wallis and Futuna,11175,1,0.0,,,1.0,0.0,0,,89,,48.0,4295.0
2020-10-26,23:00:00,20:56:00,,Wallis and Futuna,11174,1,0.0,,,1.0,0.0,0,,89,,48.0,4296.0
2020-10-27,23:00:00,20:58:00,,Wallis and Futuna,11174,1,0.0,,,1.0,0.0,0,,89,,48.0,4296.0
2020-10-28,23:00:00,20:58:00,,Wallis and Futuna,11173,1,0.0,,,1.0,0.0,0,,90,,48.0,4296.0
2020-10-29,23:00:00,20:57:00,,Wallis and Futuna,11173,1,0.0,,,1.0,0.0,0,,90,,48.0,4296.0
2020-10-30,23:00:00,20:58:00,,Wallis and Futuna,11172,1,0.0,,,1.0,0.0,0,,90,,1046.0,93627.0
2020-10-31,23:00:00,20:59:00,,Wallis and Futuna,11172,1,0.0,,,1.0,0.0,0,,90,,1046.0,93627.0
2020-11-01,23:00:00,20:59:00,,Wallis and Futuna,11171,1,0.0,,,1.0,0.0,0,,90,,1046.0,93635.0
2020-11-02,23:00:00,20:57:00,,Wallis and Futuna,11171,1,0.0,,,1.0,0.0,0,,90,,1046.0,93635.0
2020-11-03,23:00:00,20:59:00,,Wallis and Futuna,11170,1,0.0,,,1.0,0.0,0,,90,,1046.0,93644.0
2020-11-04,23:00:00,20:57:00,,Wallis and Futuna,11170,1,0.0,,,1.0,0.0,0,,90,,1046.0,93644.0
2020-11-05,23:00:00,20:59:00,,Wallis and Futuna,11169,1,0.0,,,1.0,0.0,0,,90,,1046.0,93652.0
2020-11-06,23:00:00,20:58:00,,Wallis and Futuna,11169,1,0.0,,,1.0,0.0,0,,90,,1046.0,93652.0
2020-11-07,23:00:00,20:57:00,,Wallis and Futuna,11168,1,0.0,,,1.0,0.0,0,,90,,1149.0,102883.0
2020-11-08,23:00:00,20:49:00,,Wallis and Futuna,11167,1,0.0,,,1.0,0.0,0,,90,,1149.0,102892.0
2020-11-09,23:00:00,20:59:00,,Wallis and Futuna,11167,1,0.0,,,1.0,0.0,0,,90,,1149.0,102892.0
2020-11-10,23:00:00,20:59:00,,Wallis and Futuna,11166,1,0.0,,,1.0,0.0,0,,90,,1149.0,102902.0
2020-11-11,23:00:00,20:56:00,,Wallis and Futuna,11166,1,0.0,,,1.0,0.0,0,,90,,1149.0,102902.0
2020-11-12,23:00:00,20:59:00,,Wallis and Futuna,11165,1,0.0,,,1.0,0.0,0,,90,,1149.0,102911.0
2020-11-13,23:00:00,20:58:00,,Wallis and Futuna,11165,1,0.0,,,1.0,0.0,0,,90,,1149.0,102911.0
2020-11-14,23:00:00,20:57:00,,Wallis and Futuna,11164,1,0.0,,,1.0,0.0,0,,90,,1149.0,102920.0
2020-11-15,23:00:00,20:53:00,,Wallis and Futuna,11164,1,0.0,,,1.0,0.0,0,,90,,1149.0,102920.0
2020-11-16,23:00:00,20:59:00,,Wallis and Futuna,11163,1,0.0,,,1.0,0.0,0,,90,,1149.0,102929.0
