scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,55,Switzerland,8660089,35550,,1981,,31300,,2269,25,4105,229.0,801742,92579
2020-08-08,20:00:00,,55,Switzerland,8661125,36451,901.0,1986,5.0,31900,600.0,2565,21,4209,229.0,835724,96491
2020-08-12,20:00:00,,55,Switzerland,8661816,36895,444.0,1990,4.0,32700,800.0,2205,22,4259,230.0,847325,97823
2020-08-16,20:00:00,,55,Switzerland,8662507,38124,1229.0,1991,1.0,33200,500.0,2933,26,4401,230.0,881683,101782
2020-08-17,20:00:00,,55,Switzerland,8662679,38252,128.0,1991,0.0,33300,100.0,2961,21,4416,230.0,884472,102101
2020-08-18,20:00:00,,55,Switzerland,8662852,38449,197.0,1992,1.0,33500,200.0,2957,15,4438,230.0,890289,102771
2020-08-19,20:00:00,,55,Switzerland,8663025,38760,311.0,1996,4.0,33500,0.0,3264,14,4474,230.0,901074,104014
2020-08-20,17:53:00,,55,Switzerland,8663197,39026,266.0,1998,2.0,33800,300.0,3228,15,4505,231.0,910283,105075
2020-08-23,21:09:00,,55,Switzerland,8663715,39903,877.0,2001,3.0,34100,300.0,3802,14,4606,231.0,937448,108204
2020-08-24,17:10:00,,55,Switzerland,8663888,40060,157.0,2001,0.0,34400,300.0,3659,16,4624,231.0,941798,108704
2020-08-25,23:00:00,,55,Switzerland,8664061,40262,202.0,2002,1.0,34400,0.0,3860,15,4647,231.0,948439,109468
2020-08-26,22:59:00,,55,Switzerland,8664233,40645,383.0,2003,1.0,34800,400.0,3842,18,4691,231.0,962895,111134
2020-08-27,23:00:00,,55,Switzerland,8664406,41006,361.0,2003,0.0,34800,0.0,4203,17,4733,231.0,975563,112594
2020-08-28,23:01:00,,55,Switzerland,8664579,41346,340.0,2004,1.0,34800,0.0,4542,18,4772,231.0,988383,114072
2020-08-29,12:29:00,,55,Switzerland,8664751,41346,0.0,2004,0.0,34800,0.0,4542,18,4772,231.0,988383,114069
2020-08-30,23:00:00,,55,Switzerland,8664924,42014,668.0,2005,1.0,35800,1000.0,4209,18,4849,231.0,1010948,116671
2020-08-31,18:58:00,,55,Switzerland,8665097,42177,163.0,2006,1.0,35800,0.0,4371,22,4867,232.0,1015686,117216
2020-09-01,23:00:00,,55,Switzerland,8665269,42393,216.0,2011,5.0,36300,500.0,4082,16,4892,232.0,1023203,118081
2020-09-02,23:01:00,,55,Switzerland,8665442,42763,370.0,2011,0.0,36300,0.0,4452,13,4935,232.0,1039741,119987
2020-09-03,23:01:00,,55,Switzerland,8665615,43127,364.0,2013,2.0,36500,200.0,4614,12,4977,232.0,1054652,121705
2020-09-04,07:01:00,,55,Switzerland,8665787,43127,0.0,2013,0.0,36500,0.0,4614,12,4977,232.0,1054652,121703
2020-09-05,23:31:00,,55,Switzerland,8665960,43957,830.0,2013,0.0,37100,600.0,4844,14,5072,232.0,1085932,125310
2020-09-06,18:30:00,,55,Switzerland,8666133,44401,444.0,2013,0.0,37100,0.0,5288,25,5124,232.0,1098540,126762
2020-09-07,23:39:00,,55,Switzerland,8666305,44592,191.0,2014,1.0,37700,600.0,4878,25,5145,232.0,1103149,127292
2020-09-08,22:10:00,,55,Switzerland,8666478,44837,245.0,2017,3.0,37700,0.0,5120,25,5174,233.0,1111984,128309
2020-09-09,22:01:00,,55,Switzerland,8666651,45306,469.0,2019,2.0,38100,400.0,5187,23,5228,233.0,1129549,130333
2020-09-10,22:01:00,,55,Switzerland,8666823,45711,405.0,2020,1.0,38100,0.0,5591,24,5274,233.0,1145949,132222
2020-09-11,22:00:00,,55,Switzerland,8666996,46239,528.0,2020,0.0,38100,0.0,6119,26,5335,233.0,1162236,134099
2020-09-12,22:22:00,,55,Switzerland,8667169,46704,465.0,2020,0.0,38500,400.0,6184,26,5389,233.0,1173798,135430
2020-09-13,22:01:00,,55,Switzerland,8667341,47179,475.0,2021,1.0,38900,400.0,6258,26,5443,233.0,1186824,136931
2020-09-14,22:04:00,,55,Switzerland,8667514,47436,257.0,2025,4.0,39600,700.0,5811,26,5473,234.0,1193180,137661
2020-09-15,21:00:00,,55,Switzerland,8667687,47751,315.0,2028,3.0,39600,0.0,6123,25,5509,234.0,1203997,138906
2020-09-16,21:01:00,,55,Switzerland,8667859,48265,514.0,2039,11.0,39900,300.0,6326,27,5568,235.0,1221858,140964
