Scrap_time,Update_time_GMT,Date,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02 20:00:00,,2020-08-02,196,Fiji,897006,27,,1,,18,,8,,30,1.0,6693,7461
2020-08-08 20:00:00,,2020-08-08,196,Fiji,897113,27,0.0,1,0.0,18,0.0,8,,30,1.0,6693,7461
2020-08-12 20:00:00,,2020-08-12,196,Fiji,897184,27,0.0,1,0.0,18,0.0,8,,30,1.0,6693,7460
2020-08-16 20:00:00,,2020-08-16,196,Fiji,897254,28,1.0,1,0.0,20,2.0,7,,31,1.0,6693,7459
2020-08-17 20:00:00,,2020-08-17,196,Fiji,897272,28,0.0,1,0.0,20,0.0,7,,31,1.0,6693,7459
2020-08-18 20:00:00,,2020-08-18,196,Fiji,897290,28,0.0,1,0.0,20,0.0,7,,31,1.0,6693,7459
2020-08-19 20:00:00,,2020-08-19,196,Fiji,897308,28,0.0,1,0.0,20,0.0,7,,31,1.0,6693,7459
2020-08-20 17:53:00,,2020-08-20,196,Fiji,897325,28,0.0,1,0.0,20,0.0,7,,31,1.0,6693,7459
2020-08-23 21:09:00,,2020-08-23,196,Fiji,897378,28,0.0,1,0.0,23,3.0,4,,31,1.0,6693,7458
2020-08-24 17:10:00,,2020-08-24,196,Fiji,897396,28,0.0,1,0.0,23,0.0,4,,31,1.0,6693,7458
2020-08-25 23:00:00,,2020-08-25,196,Fiji,897414,28,0.0,1,0.0,23,0.0,4,,31,1.0,6693,7458
2020-08-26 22:59:00,,2020-08-26,196,Fiji,897432,28,0.0,1,0.0,23,0.0,4,,31,1.0,6693,7458
2020-08-27 23:00:00,,2020-08-27,196,Fiji,897449,28,0.0,2,1.0,23,0.0,3,,31,2.0,6693,7458
2020-08-28 23:01:00,,2020-08-28,196,Fiji,897467,28,0.0,2,0.0,23,0.0,3,,31,2.0,6693,7458
2020-08-29 12:29:00,,2020-08-29,196,Fiji,897485,28,0.0,2,0.0,23,0.0,3,,31,2.0,6693,7458
2020-08-30 23:00:00,,2020-08-30,196,Fiji,897503,28,0.0,2,0.0,23,0.0,3,,31,2.0,6693,7457
2020-08-31 18:58:00,,2020-08-31,196,Fiji,897520,28,0.0,2,0.0,23,0.0,3,,31,2.0,6693,7457
2020-09-01 23:00:00,,2020-09-01,196,Fiji,897538,28,0.0,2,0.0,23,0.0,3,,31,2.0,6693,7457
2020-09-02 23:01:00,,2020-09-02,196,Fiji,897556,29,1.0,2,0.0,23,0.0,4,1.0,32,2.0,7986,8897
2020-09-03 23:01:00,,2020-09-03,196,Fiji,897573,29,0.0,2,0.0,23,0.0,4,1.0,32,2.0,7986,8897
2020-09-04 07:01:00,,2020-09-04,196,Fiji,897591,29,0.0,2,0.0,23,0.0,4,1.0,32,2.0,7986,8897
2020-09-05 23:31:00,,2020-09-05,196,Fiji,897609,31,2.0,2,0.0,24,1.0,5,1.0,35,2.0,8646,9632
2020-09-06 18:30:00,,2020-09-06,196,Fiji,897627,31,0.0,2,0.0,24,0.0,5,1.0,35,2.0,8646,9632
2020-09-07 23:39:00,,2020-09-07,196,Fiji,897644,31,0.0,2,0.0,24,0.0,5,1.0,35,2.0,8646,9632
2020-09-08 22:10:00,,2020-09-08,196,Fiji,897662,31,0.0,2,0.0,24,0.0,5,1.0,35,2.0,8646,9632
2020-09-10 22:01:00,,2020-09-10,196,Fiji,897697,32,1.0,2,0.0,24,0.0,6,1.0,36,2.0,9076,10110
2020-09-11 22:00:00,,2020-09-11,196,Fiji,897715,32,0.0,2,0.0,24,0.0,6,1.0,36,2.0,9076,10110
2020-09-12 22:22:00,,2020-09-12,196,Fiji,897733,32,0.0,2,0.0,24,0.0,6,1.0,36,2.0,9076,10110
2020-09-13 22:01:00,,2020-09-13,196,Fiji,897751,32,0.0,2,0.0,24,0.0,6,1.0,36,2.0,9076,10110
2020-09-14 22:04:00,,2020-09-14,196,Fiji,897768,32,0.0,2,0.0,24,0.0,6,1.0,36,2.0,9076,10110
2020-09-15 21:00:00,,2020-09-15,196,Fiji,897786,32,0.0,2,0.0,24,0.0,6,1.0,36,2.0,9076,10109
2020-09-16 21:01:00,,2020-09-16,196,Fiji,897804,32,0.0,2,0.0,24,0.0,6,1.0,36,2.0,9076,10109
2020-09-18 20:01:00,,2020-09-18,196,Fiji,897839,32,0.0,2,0.0,26,2.0,4,1.0,36,2.0,9570,10659
2020-09-19 21:00:00,,2020-09-19,196,Fiji,897857,32,0.0,2,0.0,26,0.0,4,1.0,36,2.0,9570,10659
2020-09-20 22:31:00,,2020-09-20,196,Fiji,897875,32,0.0,2,0.0,26,0.0,4,1.0,36,2.0,9570,10658
2020-09-21 21:01:00,,2020-09-21,196,Fiji,897892,32,0.0,2,0.0,26,0.0,4,1.0,36,2.0,9570,10658
2020-09-22 21:01:00,,2020-09-22,196,Fiji,897910,32,0.0,2,0.0,28,2.0,2,1.0,36,2.0,9912,11039
2020-09-23 19:58:00,,2020-09-23,196,Fiji,897928,32,0.0,2,0.0,28,0.0,2,1.0,36,2.0,9912,11039
2020-09-24 21:00:00,,2020-09-24,196,Fiji,897946,32,0.0,2,0.0,28,0.0,2,1.0,36,2.0,9912,11039
2020-09-25 21:00:00,,2020-09-25,196,Fiji,897963,32,0.0,2,0.0,28,0.0,2,1.0,36,2.0,9912,11038
2020-09-26 21:00:00,,2020-09-26,196,Fiji,897981,32,0.0,2,0.0,28,0.0,2,1.0,36,2.0,9912,11038
2020-09-27 22:45:00,,2020-09-27,196,Fiji,897999,32,0.0,2,0.0,28,0.0,2,1.0,36,2.0,9912,11038
2020-09-28 22:00:00,,2020-09-28,196,Fiji,898016,32,0.0,2,0.0,28,0.0,2,1.0,36,2.0,9912,11038
2020-09-29 21:35:00,,2020-09-29,196,Fiji,898034,32,0.0,2,0.0,28,0.0,2,1.0,36,2.0,9912,11037
2020-09-30 22:00:00,,2020-09-30,196,Fiji,898052,32,0.0,2,0.0,28,0.0,2,1.0,36,2.0,9912,11037
2020-10-01 21:31:00,,2020-10-01,196,Fiji,898070,32,0.0,2,0.0,28,0.0,2,1.0,36,2.0,9912,11037
2020-10-02 22:36:00,,2020-10-02,196,Fiji,898087,32,0.0,2,0.0,28,0.0,2,1.0,36,2.0,9912,11037
2020-10-03 22:24:00,,2020-10-03,196,Fiji,898105,32,0.0,2,0.0,28,0.0,2,1.0,36,2.0,10385,11563
2020-10-04 21:01:00,,2020-10-04,196,Fiji,898123,32,0.0,2,0.0,28,0.0,2,1.0,36,2.0,10385,11563
2020-10-05 22:13:00,,2020-10-05,196,Fiji,898141,32,0.0,2,0.0,28,0.0,2,1.0,36,2.0,10385,11563
2020-10-06 23:01:00,,2020-10-06,196,Fiji,898158,32,0.0,2,0.0,28,0.0,2,1.0,36,2.0,10385,11563
2020-10-07 23:01:00,,2020-10-07,196,Fiji,898176,32,0.0,2,0.0,28,0.0,2,1.0,36,2.0,10385,11562
