Scrap_time,Update_time_GMT,Date,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-10-03 22:24:00,,2020-10-03,,Solomon Islands,691056,1,,,,,,1,,1,,,
2020-10-04 21:01:00,,2020-10-04,,Solomon Islands,691102,1,0.0,,,,,1,,1,,,
2020-10-05 22:13:00,,2020-10-05,,Solomon Islands,691148,1,0.0,,,,,1,,1,,,
2020-10-06 23:01:00,,2020-10-06,,Solomon Islands,691194,1,0.0,,,,,1,,1,,,
2020-10-07 23:01:00,,2020-10-07,,Solomon Islands,691241,1,0.0,,,,,1,,1,,,
2020-10-08 23:59:00,,2020-10-08,,Solomon Islands,691287,1,0.0,,,,,1,,1,,,
2020-10-09 23:00:00,,2020-10-09,,Solomon Islands,691333,1,0.0,,,,,1,,1,,,
2020-10-10 23:00:00,,2020-10-10,,Solomon Islands,691379,1,0.0,,,,,1,,1,,,
2020-10-12 23:10:00,,2020-10-12,,Solomon Islands,691471,2,1.0,,,,,2,,3,,96.0,139.0
2020-10-13 23:01:00,,2020-10-13,,Solomon Islands,691518,2,0.0,,,,,2,,3,,96.0,139.0
2020-10-14 23:01:00,,2020-10-14,,Solomon Islands,691564,2,0.0,,,,,2,,3,,96.0,139.0
2020-10-15 14:09:00,11:06:00,2020-10-15,,Solomon Islands,691610,3,1.0,,,,,3,,4,,96.0,139.0
2020-10-16 22:08:00,19:06:00,2020-10-16,,Solomon Islands,691656,3,0.0,,,,,3,,4,,96.0,139.0
2020-10-17 23:01:00,19:58:00,2020-10-17,,Solomon Islands,691702,3,0.0,,,,,3,,4,,96.0,139.0
2020-10-18 22:05:00,19:03:00,2020-10-18,,Solomon Islands,691748,3,0.0,,,,,3,,4,,96.0,139.0
