Scrap_time,Update_time_GMT,Date,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02 20:00:00,,2020-08-02,110,Nicaragua,6631186,3672,,116,,2492,,1064,,554,17.0,,
2020-08-08 20:00:00,,2020-08-08,110,Nicaragua,6632478,3902,230.0,123,7.0,2913,421.0,866,,588,19.0,,
2020-08-12 20:00:00,,2020-08-12,110,Nicaragua,6633339,4115,213.0,128,5.0,2913,0.0,1074,,620,19.0,,
2020-08-16 20:00:00,,2020-08-16,110,Nicaragua,6634200,4115,0.0,128,0.0,2913,0.0,1074,,620,19.0,,
2020-08-17 20:00:00,,2020-08-17,110,Nicaragua,6634416,4115,0.0,128,0.0,2913,0.0,1074,,620,19.0,,
2020-08-18 20:00:00,,2020-08-18,110,Nicaragua,6634631,4115,0.0,128,0.0,2913,0.0,1074,,620,19.0,,
2020-08-19 20:00:00,,2020-08-19,110,Nicaragua,6634846,4311,196.0,133,5.0,2913,0.0,1265,,650,20.0,,
2020-08-20 17:53:00,,2020-08-20,110,Nicaragua,6635061,4311,0.0,133,0.0,2913,0.0,1265,,650,20.0,,
2020-08-23 21:09:00,,2020-08-23,110,Nicaragua,6635707,4311,0.0,133,0.0,2913,0.0,1265,,650,20.0,,
2020-08-24 17:10:00,,2020-08-24,110,Nicaragua,6635923,4311,0.0,133,0.0,2913,0.0,1265,,650,20.0,,
2020-08-25 23:00:00,,2020-08-25,110,Nicaragua,6636138,4311,0.0,133,0.0,2913,0.0,1265,,650,20.0,,
2020-08-26 22:59:00,,2020-08-26,110,Nicaragua,6636353,4494,183.0,137,4.0,2913,0.0,1444,,677,21.0,,
2020-08-27 23:00:00,,2020-08-27,110,Nicaragua,6636568,4494,0.0,137,0.0,2913,0.0,1444,,677,21.0,,
2020-08-28 23:01:00,,2020-08-28,110,Nicaragua,6636784,4494,0.0,137,0.0,2913,0.0,1444,,677,21.0,,
2020-08-29 12:29:00,,2020-08-29,110,Nicaragua,6636999,4494,0.0,137,0.0,2913,0.0,1444,,677,21.0,,
2020-08-30 23:00:00,,2020-08-30,110,Nicaragua,6637214,4494,0.0,137,0.0,2913,0.0,1444,,677,21.0,,
2020-08-31 18:58:00,,2020-08-31,110,Nicaragua,6637430,4494,0.0,137,0.0,2913,0.0,1444,,677,21.0,,
2020-09-01 23:00:00,,2020-09-01,110,Nicaragua,6637645,4494,0.0,137,0.0,2913,0.0,1444,,677,21.0,,
2020-09-02 23:01:00,,2020-09-02,110,Nicaragua,6637860,4668,174.0,141,4.0,2913,0.0,1614,,703,21.0,,
2020-09-03 23:01:00,,2020-09-03,110,Nicaragua,6638075,4668,0.0,141,0.0,2913,0.0,1614,,703,21.0,,
2020-09-04 07:01:00,,2020-09-04,110,Nicaragua,6638291,4668,0.0,141,0.0,2913,0.0,1614,,703,21.0,,
2020-09-05 23:31:00,,2020-09-05,110,Nicaragua,6638506,4668,0.0,141,0.0,2913,0.0,1614,,703,21.0,,
2020-09-06 18:30:00,,2020-09-06,110,Nicaragua,6638721,4668,0.0,141,0.0,2913,0.0,1614,,703,21.0,,
2020-09-07 23:39:00,,2020-09-07,110,Nicaragua,6638937,4668,0.0,141,0.0,2913,0.0,1614,,703,21.0,,
2020-09-08 22:10:00,,2020-09-08,110,Nicaragua,6639152,4668,0.0,141,0.0,2913,0.0,1614,,703,21.0,,
2020-09-09 22:01:00,,2020-09-09,110,Nicaragua,6639367,4818,150.0,144,3.0,2913,0.0,1761,,726,22.0,,
2020-09-10 22:01:00,,2020-09-10,110,Nicaragua,6639582,4818,0.0,144,0.0,2913,0.0,1761,,726,22.0,,
2020-09-11 22:00:00,,2020-09-11,110,Nicaragua,6639798,4818,0.0,144,0.0,2913,0.0,1761,,726,22.0,,
2020-09-12 22:22:00,,2020-09-12,110,Nicaragua,6640013,4818,0.0,144,0.0,2913,0.0,1761,,726,22.0,,
2020-09-13 22:01:00,,2020-09-13,110,Nicaragua,6640228,4818,0.0,144,0.0,2913,0.0,1761,,726,22.0,,
2020-09-14 22:04:00,,2020-09-14,110,Nicaragua,6640444,4818,0.0,144,0.0,2913,0.0,1761,,726,22.0,,
2020-09-15 21:00:00,,2020-09-15,110,Nicaragua,6640659,4818,0.0,144,0.0,2913,0.0,1761,,726,22.0,,
2020-09-16 21:01:00,,2020-09-16,110,Nicaragua,6640874,4961,143.0,147,3.0,2913,0.0,1901,,747,22.0,,
2020-09-18 20:01:00,,2020-09-18,110,Nicaragua,6641305,4961,0.0,147,0.0,2913,0.0,1901,,747,22.0,,
2020-09-19 21:00:00,,2020-09-19,110,Nicaragua,6641520,4961,0.0,147,0.0,2913,0.0,1901,,747,22.0,,
2020-09-20 22:31:00,,2020-09-20,110,Nicaragua,6641735,4961,0.0,147,0.0,2913,0.0,1901,,747,22.0,,
2020-09-21 21:01:00,,2020-09-21,110,Nicaragua,6641951,4961,0.0,147,0.0,2913,0.0,1901,,747,22.0,,
2020-09-22 21:01:00,,2020-09-22,110,Nicaragua,6642166,4961,0.0,147,0.0,2913,0.0,1901,,747,22.0,,
2020-09-23 19:58:00,,2020-09-23,110,Nicaragua,6642381,5073,112.0,149,2.0,2913,0.0,2011,,764,22.0,,
2020-09-24 21:00:00,,2020-09-24,110,Nicaragua,6642596,5073,0.0,149,0.0,2913,0.0,2011,,764,22.0,,
2020-09-25 21:00:00,,2020-09-25,110,Nicaragua,6642812,5073,0.0,149,0.0,2913,0.0,2011,,764,22.0,,
2020-09-26 21:00:00,,2020-09-26,110,Nicaragua,6643027,5073,0.0,149,0.0,2913,0.0,2011,,764,22.0,,
2020-09-27 22:45:00,,2020-09-27,110,Nicaragua,6643242,5073,0.0,149,0.0,2913,0.0,2011,,764,22.0,,
2020-09-28 22:00:00,,2020-09-28,110,Nicaragua,6643458,5073,0.0,149,0.0,2913,0.0,2011,,764,22.0,,
2020-09-29 21:35:00,,2020-09-29,110,Nicaragua,6643673,5073,0.0,149,0.0,2913,0.0,2011,,764,22.0,,
2020-09-30 22:00:00,,2020-09-30,110,Nicaragua,6643888,5170,97.0,151,2.0,2913,0.0,2106,,778,23.0,,
2020-10-01 21:31:00,,2020-10-01,110,Nicaragua,6644103,5170,0.0,151,0.0,2913,0.0,2106,,778,23.0,,
2020-10-02 22:36:00,,2020-10-02,110,Nicaragua,6644319,5170,0.0,151,0.0,2913,0.0,2106,,778,23.0,,
2020-10-03 22:24:00,,2020-10-03,110,Nicaragua,6644534,5170,0.0,151,0.0,2913,0.0,2106,,778,23.0,,
2020-10-04 21:01:00,,2020-10-04,110,Nicaragua,6644749,5170,0.0,151,0.0,2913,0.0,2106,,778,23.0,,
2020-10-05 22:13:00,,2020-10-05,110,Nicaragua,6644965,5170,0.0,151,0.0,2913,0.0,2106,,778,23.0,,
2020-10-06 23:01:00,,2020-10-06,110,Nicaragua,6645180,5170,0.0,151,0.0,2913,0.0,2106,,778,23.0,,
2020-10-07 23:01:00,,2020-10-07,110,Nicaragua,6645395,5264,94.0,151,0.0,4225,1312.0,888,,792,23.0,,
2020-10-08 23:59:00,,2020-10-08,110,Nicaragua,6645610,5264,0.0,153,2.0,4225,0.0,886,,792,23.0,,
2020-10-09 23:00:00,,2020-10-09,110,Nicaragua,6645826,5264,0.0,153,0.0,4225,0.0,886,,792,23.0,,
2020-10-10 23:00:00,,2020-10-10,110,Nicaragua,6646041,5264,0.0,153,0.0,4225,0.0,886,,792,23.0,,
2020-10-12 23:10:00,,2020-10-12,110,Nicaragua,6646472,5264,0.0,153,0.0,4225,0.0,886,,792,23.0,,
2020-10-13 23:01:00,,2020-10-13,110,Nicaragua,6646687,5264,0.0,153,0.0,4225,0.0,886,,792,23.0,,
2020-10-14 23:01:00,,2020-10-14,110,Nicaragua,6646902,5353,89.0,154,1.0,4225,0.0,974,,805,23.0,,
2020-10-15 14:09:00,11:06:00,2020-10-15,110,Nicaragua,6647117,5353,0.0,154,0.0,4225,0.0,974,,805,23.0,,
2020-10-16 22:08:00,19:06:00,2020-10-16,110,Nicaragua,6647333,5353,0.0,154,0.0,4225,0.0,974,,805,23.0,,
2020-10-17 23:01:00,19:58:00,2020-10-17,110,Nicaragua,6647548,5353,0.0,154,0.0,4225,0.0,974,,805,23.0,,
2020-10-18 22:05:00,19:03:00,2020-10-18,110,Nicaragua,6647763,5353,0.0,154,0.0,4225,0.0,974,,805,23.0,,
2020-10-19 22:05:00,18:59:00,2020-10-19,110,Nicaragua,6647979,5353,0.0,154,0.0,4225,0.0,974,,805,23.0,,
2020-10-20 22:05:00,19:04:00,2020-10-20,110,Nicaragua,6648194,5353,0.0,154,0.0,4225,0.0,974,,805,23.0,,
2020-10-21 22:05:00,19:03:00,2020-10-21,110,Nicaragua,6648409,5434,81.0,155,1.0,4225,0.0,1054,,817,23.0,,
2020-10-22 22:05:00,19:04:00,2020-10-22,110,Nicaragua,6648624,5434,0.0,155,0.0,4225,0.0,1054,,817,23.0,,
2020-10-23 22:05:00,19:02:00,2020-10-23,110,Nicaragua,6648840,5434,0.0,155,0.0,4225,0.0,1054,,817,23.0,,
2020-10-24 23:41:00,20:40:00,2020-10-24,110,Nicaragua,6649055,5434,0.0,155,0.0,4225,0.0,1054,,817,23.0,,
2020-10-25 23:00:00,20:58:00,2020-10-25,110,Nicaragua,6649270,5434,0.0,155,0.0,4225,0.0,1054,,817,23.0,,
2020-10-26 23:00:00,20:56:00,2020-10-26,110,Nicaragua,6649486,5434,0.0,155,0.0,4225,0.0,1054,,817,23.0,,
2020-10-27 23:00:00,20:58:00,2020-10-27,110,Nicaragua,6649701,5434,0.0,155,0.0,4225,0.0,1054,,817,23.0,,
2020-10-28 23:00:00,20:58:00,2020-10-28,110,Nicaragua,6649916,5514,80.0,156,1.0,4225,0.0,1133,,829,23.0,,
2020-10-29 23:00:00,20:57:00,2020-10-29,110,Nicaragua,6650131,5514,0.0,156,0.0,4225,0.0,1133,,829,23.0,,
2020-10-30 23:00:00,20:58:00,2020-10-30,110,Nicaragua,6650347,5514,0.0,156,0.0,4225,0.0,1133,,829,23.0,,
2020-10-31 23:00:00,20:59:00,2020-10-31,110,Nicaragua,6650562,5514,0.0,156,0.0,4225,0.0,1133,,829,23.0,,
2020-11-01 23:00:00,20:59:00,2020-11-01,110,Nicaragua,6650777,5514,0.0,156,0.0,4225,0.0,1133,,829,23.0,,
2020-11-02 23:00:00,20:57:00,2020-11-02,110,Nicaragua,6650993,5514,0.0,156,0.0,4225,0.0,1133,,829,23.0,,
