scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,41,UAE,9900447,60999,,351,,54615,,6033,,6161,35.0,5162080,521399
2020-08-08,20:00:00,,41,UAE,9902405,62300,1301.0,356,5.0,56245,1630.0,5699,,6291,36.0,5439157,549276
2020-08-12,20:00:00,,41,UAE,9903711,62966,666.0,358,2.0,56961,716.0,5647,,6358,36.0,5627515,568223
2020-08-16,20:00:00,,41,UAE,9905017,64312,1346.0,364,6.0,57694,733.0,6254,,6493,37.0,5990528,604797
2020-08-17,20:00:00,,41,UAE,9905343,64541,229.0,364,0.0,57794,100.0,6383,,6516,37.0,6061850,611978
2020-08-18,20:00:00,,41,UAE,9905669,64906,365.0,366,2.0,57909,115.0,6631,,6552,37.0,6121609,617990
2020-08-19,20:00:00,,41,UAE,9905996,65341,435.0,367,1.0,58022,113.0,6952,,6596,37.0,6193635,625241
2020-08-20,17:53:00,,41,UAE,9906322,65802,461.0,369,2.0,58153,131.0,7280,,6642,37.0,6265918,632517
2020-08-23,21:09:00,,41,UAE,9907302,67007,1205.0,375,6.0,58488,335.0,8144,,6763,38.0,6418188,647824
2020-08-24,17:10:00,,41,UAE,9907628,67282,275.0,376,1.0,58582,94.0,8324,,6791,38.0,6560686,662185
2020-08-25,23:00:00,,41,UAE,9907954,67621,339.0,377,1.0,58754,172.0,8490,,6825,38.0,6629995,669159
2020-08-26,22:59:00,,41,UAE,9908281,68020,399.0,378,1.0,59070,316.0,8572,,6865,38.0,6687414,674932
2020-08-27,23:00:00,,41,UAE,9908607,68511,491.0,378,0.0,59472,402.0,8661,,6914,38.0,6755457,681777
2020-08-28,23:01:00,,41,UAE,9908934,68901,390.0,379,1.0,59861,389.0,8661,,6953,38.0,6835137,689795
2020-08-29,12:29:00,,41,UAE,9909260,68901,0.0,379,0.0,59861,0.0,8661,,6953,38.0,6835137,689773
2020-08-30,23:00:00,,41,UAE,9909587,69690,789.0,382,3.0,60600,739.0,8708,,7033,39.0,7011895,707587
2020-08-31,18:58:00,,41,UAE,9909913,70231,541.0,384,2.0,60931,331.0,8916,,7087,39.0,7094658,715915
2020-09-01,23:00:00,,41,UAE,9910239,70805,574.0,384,0.0,61491,560.0,8930,,7145,39.0,7177430,724244
2020-09-02,23:01:00,,41,UAE,9910566,71540,735.0,387,3.0,62029,538.0,9124,,7219,39.0,7257053,732254
2020-09-03,23:01:00,,41,UAE,9910892,72154,614.0,387,0.0,62668,639.0,9099,,7280,39.0,7324874,739073
2020-09-04,07:01:00,,41,UAE,9911219,72154,0.0,387,0.0,62668,0.0,9099,,7280,39.0,7324874,739049
2020-09-05,23:31:00,,41,UAE,9911545,73471,1317.0,388,1.0,63652,984.0,9431,,7413,39.0,7488142,755497
2020-09-06,18:30:00,,41,UAE,9911872,73984,513.0,388,0.0,66095,2443.0,7501,,7464,39.0,7575478,764283
2020-09-07,23:39:00,,41,UAE,9912198,74454,470.0,390,2.0,66533,438.0,7531,,7511,39.0,7632984,770060
2020-09-08,22:10:00,,41,UAE,9912524,75098,644.0,391,1.0,66943,410.0,7764,,7576,39.0,7704318,777231
2020-09-09,22:01:00,,41,UAE,9912851,75981,883.0,393,2.0,67359,416.0,8229,,7665,40.0,7790235,785872
2020-09-10,22:01:00,,41,UAE,9913177,76911,930.0,398,5.0,67945,586.0,8568,,7758,40.0,7872311,794126
2020-09-11,22:00:00,,41,UAE,9913504,77842,931.0,398,0.0,68462,517.0,8982,,7852,40.0,7947488,801683
2020-09-12,22:22:00,,41,UAE,9913830,78849,1007.0,399,1.0,68983,521.0,9467,,7953,40.0,8042775,811268
2020-09-13,22:01:00,,41,UAE,9914157,79489,640.0,399,0.0,69451,468.0,9639,,8018,40.0,8127417,819779
2020-09-14,22:04:00,,41,UAE,9914483,80266,777.0,399,0.0,69981,530.0,9886,,8096,40.0,8191501,826216
2020-09-15,21:00:00,,41,UAE,9914809,80940,674.0,401,2.0,70635,654.0,9904,,8164,40.0,8278380,834951
2020-09-16,21:01:00,,41,UAE,9915136,81782,842.0,402,1.0,71456,821.0,9924,,8248,41.0,8372062,844372
2020-09-18,20:01:00,,41,UAE,9915789,83433,1651.0,403,1.0,72790,1334.0,10240,,8414,41.0,8562443,863516
2020-09-19,21:00:00,,41,UAE,9916115,84242,809.0,404,1.0,73512,722.0,10326,,8495,41.0,8665567,873887
