scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,173,Sint Maarten,42917,128,,15,,64,,49,,2983,350.0,857,19969
2020-08-08,20:00:00,,173,Sint Maarten,42925,177,49.0,17,2.0,86,22.0,74,3.0,4123,396.0,1272,29633
2020-08-12,20:00:00,,173,Sint Maarten,42930,219,42.0,17,0.0,102,16.0,100,3.0,5101,396.0,1502,34987
2020-08-16,20:00:00,,173,Sint Maarten,42936,300,81.0,17,0.0,107,5.0,176,3.0,6987,396.0,1672,38942
2020-08-17,20:00:00,,173,Sint Maarten,42937,317,17.0,17,0.0,107,0.0,193,3.0,7383,396.0,1826,42527
2020-08-18,20:00:00,,173,Sint Maarten,42938,326,9.0,17,0.0,107,0.0,202,3.0,7592,396.0,1917,44646
2020-08-19,20:00:00,,173,Sint Maarten,42940,333,7.0,17,0.0,107,0.0,209,3.0,7755,396.0,1948,45366
2020-08-20,17:53:00,,173,Sint Maarten,42941,348,15.0,17,0.0,133,26.0,198,3.0,8104,396.0,1983,46180
2020-08-23,21:09:00,,173,Sint Maarten,42945,368,20.0,17,0.0,147,14.0,204,3.0,8569,396.0,2113,49202
2020-08-24,17:10:00,,173,Sint Maarten,42946,396,28.0,17,0.0,147,0.0,232,8.0,9221,396.0,2113,49201
2020-08-25,23:00:00,,173,Sint Maarten,42948,408,12.0,17,0.0,147,0.0,244,8.0,9500,396.0,2184,50852
2020-08-26,22:59:00,,173,Sint Maarten,42949,418,10.0,17,0.0,148,1.0,253,8.0,9732,396.0,2205,51340
2020-08-27,23:00:00,,173,Sint Maarten,42950,442,24.0,17,0.0,179,31.0,246,8.0,10291,396.0,2263,52689
2020-08-28,23:01:00,,173,Sint Maarten,42952,444,2.0,17,0.0,179,0.0,248,8.0,10337,396.0,2281,53106
2020-08-29,12:29:00,,173,Sint Maarten,42953,444,0.0,17,0.0,179,0.0,248,8.0,10337,396.0,2281,53105
2020-08-30,23:00:00,,173,Sint Maarten,42954,460,16.0,17,0.0,179,0.0,264,8.0,10709,396.0,2281,53103
2020-08-31,18:58:00,,173,Sint Maarten,42956,463,3.0,17,0.0,179,0.0,267,8.0,10778,396.0,2281,53101
2020-09-01,23:00:00,,173,Sint Maarten,42957,476,13.0,17,0.0,200,21.0,259,8.0,11081,396.0,2281,53100
2020-09-02,23:01:00,,173,Sint Maarten,42958,482,6.0,19,2.0,241,41.0,222,8.0,11220,442.0,2281,53098
2020-09-03,23:01:00,,173,Sint Maarten,42960,495,13.0,19,0.0,302,61.0,174,8.0,11522,442.0,2281,53096
2020-09-04,07:01:00,,173,Sint Maarten,42961,504,9.0,19,0.0,302,0.0,183,7.0,11732,442.0,2450,57028
2020-09-05,23:31:00,,173,Sint Maarten,42962,511,7.0,19,0.0,302,0.0,190,7.0,11894,442.0,2450,57027
2020-09-06,18:30:00,,173,Sint Maarten,42964,511,0.0,19,0.0,302,0.0,190,7.0,11894,442.0,2450,57024
2020-09-07,23:39:00,,173,Sint Maarten,42965,511,0.0,19,0.0,302,0.0,190,7.0,11893,442.0,2450,57023
2020-09-08,22:10:00,,173,Sint Maarten,42966,516,5.0,19,0.0,321,19.0,176,7.0,12009,442.0,2450,57022
2020-09-10,22:01:00,,173,Sint Maarten,42969,530,14.0,19,0.0,333,12.0,178,6.0,12334,442.0,2450,57018
2020-09-11,22:00:00,,173,Sint Maarten,42970,530,0.0,19,0.0,333,0.0,178,6.0,12334,442.0,2450,57017
2020-09-12,22:22:00,,173,Sint Maarten,42972,531,1.0,19,0.0,387,54.0,125,6.0,12357,442.0,2450,57014
2020-09-13,22:01:00,,173,Sint Maarten,42973,533,2.0,19,0.0,430,43.0,84,6.0,12403,442.0,2720,63296
2020-09-14,22:04:00,,173,Sint Maarten,42974,549,16.0,19,0.0,430,0.0,100,6.0,12775,442.0,2720,63294
2020-09-15,21:00:00,,173,Sint Maarten,42976,549,0.0,19,0.0,430,0.0,100,6.0,12775,442.0,2720,63291
2020-09-16,21:01:00,,173,Sint Maarten,42977,549,0.0,19,0.0,468,38.0,62,6.0,12774,442.0,2720,63290
2020-09-18,20:01:00,,173,Sint Maarten,42980,565,16.0,19,0.0,477,9.0,69,6.0,13146,442.0,2720,63285
2020-09-19,21:00:00,,173,Sint Maarten,42981,574,9.0,20,1.0,488,11.0,66,6.0,13355,465.0,2720,63284
2020-09-20,22:31:00,,173,Sint Maarten,42982,584,10.0,20,0.0,488,0.0,76,6.0,13587,465.0,2720,63282
2020-09-21,21:01:00,,173,Sint Maarten,42984,584,0.0,20,0.0,488,0.0,76,6.0,13586,465.0,2720,63279
2020-09-22,21:01:00,,173,Sint Maarten,42985,591,7.0,20,0.0,505,17.0,66,6.0,13749,465.0,2720,63278
2020-09-23,19:58:00,,173,Sint Maarten,42986,594,3.0,20,0.0,512,7.0,62,6.0,13818,465.0,2720,63276
2020-09-24,21:00:00,,173,Sint Maarten,42988,616,22.0,21,1.0,517,5.0,78,6.0,14330,489.0,2720,63273
2020-09-25,21:00:00,,173,Sint Maarten,42989,618,2.0,22,1.0,517,0.0,79,6.0,14376,512.0,2720,63272
2020-09-26,21:00:00,,173,Sint Maarten,42990,627,9.0,22,0.0,532,15.0,73,6.0,14585,512.0,2720,63271
2020-09-27,22:45:00,,173,Sint Maarten,42992,633,6.0,22,0.0,532,0.0,79,6.0,14724,512.0,2986,69455
2020-09-28,22:00:00,,173,Sint Maarten,42993,644,11.0,22,0.0,532,0.0,90,6.0,14979,512.0,2986,69453
2020-09-29,21:35:00,,173,Sint Maarten,42994,645,1.0,22,0.0,549,17.0,74,6.0,15002,512.0,3720,86524
