Scrap_time,Update_time_GMT,Date,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02 20:00:00,,2020-08-02,43,Poland,37842866,46894,,1731,,34709,,10454,76,1239,46.0,2297427,60710
2020-08-08 20:00:00,,2020-08-08,43,Poland,37842189,51167,4273.0,1800,69.0,36403,1694.0,12964,72,1352,48.0,2199085,58112
2020-08-12 20:00:00,,2020-08-12,43,Poland,37841737,53676,2509.0,1830,30.0,37611,1208.0,14235,76,1418,48.0,2257525,59657
2020-08-16 20:00:00,,2020-08-16,43,Poland,37841286,56684,3008.0,1877,47.0,39130,1519.0,15677,81,1498,50.0,2307735,60985
2020-08-17 20:00:00,,2020-08-17,43,Poland,37841173,57279,595.0,1885,8.0,39359,229.0,16035,83,1514,50.0,2388864,63129
2020-08-18 20:00:00,,2020-08-18,43,Poland,37841061,57876,597.0,1896,11.0,39643,284.0,16337,82,1529,50.0,2409394,63671
2020-08-19 20:00:00,,2020-08-19,43,Poland,37840948,58611,735.0,1913,17.0,40099,456.0,16599,83,1549,51.0,2409394,63672
2020-08-20 17:53:00,,2020-08-20,43,Poland,37840835,59378,767.0,1925,12.0,40481,382.0,16972,85,1569,51.0,2409394,63672
2020-08-23 21:09:00,,2020-08-23,43,Poland,37840496,61762,2384.0,1955,30.0,42183,1702.0,17624,81,1632,52.0,2538761,67091
2020-08-24 17:10:00,,2020-08-24,43,Poland,37840384,62310,548.0,1960,5.0,42448,265.0,17902,83,1647,52.0,2555515,67534
2020-08-25 23:00:00,,2020-08-25,43,Poland,37840271,63073,763.0,1977,17.0,42784,336.0,18312,76,1667,52.0,2577726,68121
2020-08-26 22:59:00,,2020-08-26,43,Poland,37840158,63802,729.0,1994,17.0,43399,615.0,18409,79,1686,53.0,2577726,68121
2020-08-27 23:00:00,,2020-08-27,43,Poland,37840045,64689,887.0,2010,16.0,44097,698.0,18582,82,1710,53.0,2577726,68122
2020-08-28 23:01:00,,2020-08-28,43,Poland,37839932,65480,791.0,2018,8.0,44785,688.0,18677,89,1730,53.0,2660665,70314
2020-08-29 12:29:00,,2020-08-29,43,Poland,37839819,66239,759.0,2032,14.0,45536,751.0,18671,87,1751,54.0,2660665,70314
2020-08-30 23:00:00,,2020-08-30,43,Poland,37839707,66870,631.0,2033,1.0,46192,656.0,18645,85,1767,54.0,2701553,71395
2020-08-31 18:58:00,,2020-08-31,43,Poland,37839594,67372,502.0,2039,6.0,46638,446.0,18695,83,1780,54.0,2714027,71725
2020-09-01 23:00:00,,2020-09-01,43,Poland,37839481,67922,550.0,2058,19.0,47030,392.0,18834,86,1795,54.0,2743434,72502
2020-09-02 23:01:00,,2020-09-02,43,Poland,37839368,68517,595.0,2078,20.0,47865,835.0,18574,83,1811,55.0,2777601,73405
2020-09-03 23:01:00,,2020-09-03,43,Poland,37839255,69129,612.0,2092,14.0,48593,728.0,18444,81,1827,55.0,2777601,73405
2020-09-04 07:01:00,,2020-09-04,43,Poland,37839143,69129,0.0,2092,0.0,48593,0.0,18444,81,1827,55.0,2777601,73405
2020-09-05 23:31:00,,2020-09-05,43,Poland,37839030,70387,1258.0,2113,21.0,52346,3753.0,15928,77,1860,56.0,2841344,75090
2020-09-06 18:30:00,,2020-09-06,43,Poland,37838917,70824,437.0,2120,7.0,54256,1910.0,14448,79,1872,56.0,2841344,75091
2020-09-07 23:39:00,,2020-09-07,43,Poland,37838804,71126,302.0,2124,4.0,55113,857.0,13889,81,1880,56.0,2841344,75091
2020-09-08 22:10:00,,2020-09-08,43,Poland,37838691,71526,400.0,2136,12.0,55910,797.0,13480,81,1890,56.0,2841344,75091
2020-09-09 22:01:00,,2020-09-09,43,Poland,37838578,71947,421.0,2147,11.0,57135,1225.0,12665,81,1901,57.0,2912411,76969
2020-09-10 22:01:00,,2020-09-10,43,Poland,37838466,72453,506.0,2159,12.0,58069,934.0,12225,84,1915,57.0,2912411,76970
2020-09-11 22:00:00,,2020-09-11,43,Poland,37838353,73047,594.0,2169,10.0,58848,779.0,12030,82,1931,57.0,2949734,77956
2020-09-12 22:22:00,,2020-09-12,43,Poland,37838240,73650,603.0,2182,13.0,59725,877.0,11743,85,1946,58.0,2970888,78515
2020-09-13 22:01:00,,2020-09-13,43,Poland,37838127,74152,502.0,2188,6.0,60659,934.0,11305,86,1960,58.0,2970888,78516
2020-09-14 22:04:00,,2020-09-14,43,Poland,37838014,74529,377.0,2203,15.0,61097,438.0,11229,87,1970,58.0,2998021,79233
2020-09-15 21:00:00,,2020-09-15,43,Poland,37837902,75134,605.0,2227,24.0,61548,451.0,11359,92,1986,59.0,3016740,79728
2020-09-16 21:01:00,,2020-09-16,43,Poland,37837789,75734,600.0,2237,10.0,62110,562.0,11387,86,2002,59.0,3038652,80307
2020-09-18 20:01:00,,2020-09-18,43,Poland,37837563,77328,1594.0,2270,33.0,63312,1202.0,11746,83,2044,60.0,3081867,81450
2020-09-19 21:00:00,,2020-09-19,43,Poland,37837450,78330,1002.0,2282,12.0,63861,549.0,12187,83,2070,60.0,3081867,81450
2020-09-20 22:31:00,,2020-09-20,43,Poland,37837337,79240,910.0,2293,11.0,64302,441.0,12645,86,2094,61.0,3120895,82482
2020-09-21 21:01:00,,2020-09-21,43,Poland,37837225,79988,748.0,2298,5.0,64604,302.0,13086,83,2114,61.0,3133119,82805
2020-09-22 21:01:00,,2020-09-22,43,Poland,37837112,80699,711.0,2316,18.0,64972,368.0,13411,85,2133,61.0,3155718,83403
2020-09-23 19:58:00,,2020-09-23,43,Poland,37836999,81673,974.0,2344,28.0,65561,589.0,13768,89,2159,62.0,3177776,83986
2020-09-24 21:00:00,,2020-09-24,43,Poland,37836886,82809,1136.0,2369,25.0,66158,597.0,14282,91,2189,63.0,3201501,84613
2020-09-25 21:00:00,,2020-09-25,43,Poland,37836773,84396,1587.0,2392,23.0,66740,582.0,15264,96,2231,63.0,3201501,84613
2020-09-26 21:00:00,,2020-09-26,43,Poland,37836661,85980,1584.0,2424,32.0,67326,586.0,16230,110,2272,64.0,3201501,84614
2020-09-27 22:45:00,,2020-09-27,43,Poland,37836548,87330,1350.0,2432,8.0,67904,578.0,16994,124,2308,64.0,3267844,86367
2020-09-28 22:00:00,,2020-09-28,43,Poland,37836435,88636,1306.0,2447,15.0,68420,516.0,17769,130,2343,65.0,3267844,86368
2020-09-29 21:35:00,,2020-09-29,43,Poland,37836322,89962,1326.0,2483,36.0,68955,535.0,18524,141,2378,66.0,3267844,86368
2020-09-30 22:00:00,,2020-09-30,43,Poland,37836209,91514,1552.0,2513,30.0,69695,740.0,19306,152,2419,66.0,3332451,88076
2020-10-01 21:31:00,,2020-10-01,43,Poland,37836096,93481,1967.0,2543,30.0,70401,706.0,20537,159,2471,67.0,3362066,88859
2020-10-02 22:36:00,,2020-10-02,43,Poland,37835984,95773,2292.0,2570,27.0,71353,952.0,21850,166,2531,68.0,3390790,89618
2020-10-03 22:24:00,,2020-10-03,43,Poland,37835871,98140,2367.0,2604,34.0,72209,856.0,23327,179,2594,69.0,3390790,89618
2020-10-04 21:01:00,,2020-10-04,43,Poland,37835758,100074,1934.0,2630,26.0,73003,794.0,24441,191,2645,70.0,3447281,91112
2020-10-05 22:13:00,,2020-10-05,43,Poland,37835645,102080,2006.0,2659,29.0,73552,549.0,25869,219,2698,70.0,3465605,91596
2020-10-06 23:01:00,,2020-10-06,43,Poland,37835532,104316,2236.0,2717,58.0,74158,606.0,27441,263,2757,72.0,3489641,92232
2020-10-07 23:01:00,,2020-10-07,43,Poland,37835420,107319,3003.0,2792,75.0,75346,1188.0,29181,283,2836,74.0,3533697,93397
2020-10-08 23:59:00,,2020-10-08,43,Poland,37835307,111599,4280.0,2867,75.0,76490,1144.0,32242,296,2950,76.0,3577810,94563
2020-10-09 23:00:00,,2020-10-09,43,Poland,37835194,116338,4739.0,2919,52.0,77875,1385.0,35544,320,3075,77.0,3577810,94563
2020-10-10 23:00:00,,2020-10-10,43,Poland,37835081,121638,5300.0,2972,53.0,78982,1107.0,39684,346,3215,79.0,3608622,95378
