Date,Scrap_time,Update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,14,Saudi Arabia,34858507,278835,,2917,,240081,,35837,2011,7999,84.0,3432354,98465
2020-08-08,20:00:00,,14,Saudi Arabia,34867401,287262,8427.0,3130,213.0,250440,10359.0,33692,1828,8239,90.0,3754850,107689
2020-08-12,20:00:00,,14,Saudi Arabia,34873330,291468,4206.0,3233,103.0,255118,4678.0,33117,1821,8358,93.0,3933427,112792
2020-08-16,20:00:00,,14,Saudi Arabia,34879260,297315,5847.0,3369,136.0,264487,9369.0,29459,1766,8524,97.0,4202076,120475
2020-08-17,20:00:00,,14,Saudi Arabia,34880742,299914,2599.0,3436,67.0,268385,3898.0,28093,1758,8598,99.0,4317705,123785
2020-08-18,20:00:00,,14,Saudi Arabia,34882225,301323,1409.0,3470,34.0,272911,4526.0,24942,1716,8638,99.0,4378417,125520
2020-08-19,20:00:00,,14,Saudi Arabia,34883707,301323,0.0,3470,0.0,272911,0.0,24942,1716,8638,99.0,4378417,125515
2020-08-20,17:53:00,,14,Saudi Arabia,34885189,303973,2650.0,3548,78.0,275476,2565.0,24949,1682,8714,102.0,4501104,129026
2020-08-23,21:09:00,,14,Saudi Arabia,34889636,307479,3506.0,3649,101.0,280143,4667.0,23687,1644,8813,105.0,4501104,129010
2020-08-24,17:10:00,,14,Saudi Arabia,34891119,308654,1175.0,3691,42.0,282888,2745.0,22075,1635,8846,106.0,4733485,135664
2020-08-25,23:00:00,,14,Saudi Arabia,34892601,309768,1114.0,3722,31.0,283932,1044.0,22114,1639,8878,107.0,4792192,137341
2020-08-26,22:59:00,,14,Saudi Arabia,34894083,310836,1068.0,3755,33.0,284945,1013.0,22136,1601,8908,108.0,4792192,137335
2020-08-27,23:00:00,,14,Saudi Arabia,34895566,311855,1019.0,3785,30.0,286255,1310.0,21815,1582,8937,108.0,4792192,137330
2020-08-28,23:01:00,,14,Saudi Arabia,34897048,312924,1069.0,3813,28.0,287403,1148.0,21708,1576,8967,109.0,4792192,137324
2020-08-29,12:29:00,,14,Saudi Arabia,34898530,312924,0.0,3813,0.0,287403,0.0,21708,1576,8967,109.0,4792192,137318
