Date,Scrap_time,Update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,33,Sweden,10104737,80422,,5743,,,,,40,7959,568.0,810356,80196
2020-08-08,20:00:00,,33,Sweden,10105768,82323,1901.0,5763,20.0,,,,34,8146,570.0,863315,85428
2020-08-12,20:00:00,,33,Sweden,10106455,83126,803.0,5770,7.0,,,,35,8225,571.0,863315,85422
2020-08-16,20:00:00,,33,Sweden,10107142,84294,1168.0,5783,13.0,,,,31,8340,572.0,917036,90731
2020-08-17,20:00:00,,33,Sweden,10107314,85045,751.0,5787,4.0,,,,30,8414,573.0,917036,90730
2020-08-18,20:00:00,,33,Sweden,10107485,85219,174.0,5790,3.0,,,,27,8431,573.0,917036,90728
2020-08-19,20:00:00,,33,Sweden,10107657,85219,0.0,5790,0.0,,,,29,8431,573.0,973523,96315
2020-08-20,17:53:00,,33,Sweden,10107829,85810,591.0,5805,15.0,,,,27,8489,574.0,1030010,101902
2020-08-23,21:09:00,,33,Sweden,10108344,86068,258.0,5810,5.0,,,,26,8515,575.0,1030010,101897
2020-08-24,17:10:00,,33,Sweden,10108516,86721,653.0,5813,3.0,,,,22,8579,575.0,1030010,101895
2020-08-25,23:00:00,,33,Sweden,10108688,86891,170.0,5814,1.0,,,,22,8596,575.0,1030010,101894
2020-08-26,22:59:00,,33,Sweden,10108859,87072,181.0,5817,3.0,,,,21,8613,575.0,1094856,108307
2020-08-27,23:00:00,,33,Sweden,10109031,83898,-3174.0,5820,3.0,,,,21,8299,576.0,1094856,108305
2020-08-28,23:01:00,,33,Sweden,10109203,83958,60.0,5821,1.0,,,,21,8305,576.0,1094856,108303
2020-08-29,12:29:00,,33,Sweden,10109375,83958,0.0,5821,0.0,,,,21,8305,576.0,1094856,108301
2020-08-30,23:00:00,,33,Sweden,10109546,83958,0.0,5821,0.0,,,,21,8305,576.0,1094856,108299
2020-08-31,18:58:00,,33,Sweden,10109718,84379,421.0,5808,-13.0,,,,19,8346,574.0,1094856,108297
2020-09-01,23:00:00,,33,Sweden,10109890,84521,142.0,5813,5.0,,,,19,8360,575.0,1094856,108296
2020-09-02,23:01:00,,33,Sweden,10110062,84532,11.0,5820,7.0,,,,14,8361,576.0,1094856,108294
2020-09-03,23:01:00,,33,Sweden,10110233,84729,197.0,5832,12.0,,,,14,8381,577.0,1094856,108292
2020-09-04,07:01:00,,33,Sweden,10110405,84729,0.0,5832,0.0,,,,14,8380,577.0,1094856,108290
2020-09-05,23:31:00,,33,Sweden,10110577,84985,256.0,5835,3.0,,,,16,8406,577.0,1124269,111197
2020-09-06,18:30:00,,33,Sweden,10110749,84985,0.0,5835,0.0,,,,16,8405,577.0,1124269,111195
2020-09-07,23:39:00,,33,Sweden,10110920,85558,573.0,5837,2.0,,,,13,8462,577.0,1124269,111194
2020-09-08,22:10:00,,33,Sweden,10111092,85707,149.0,5838,1.0,,,,13,8477,577.0,1124269,111192
2020-09-09,22:01:00,,33,Sweden,10111264,85880,173.0,5842,4.0,,,,13,8493,578.0,1250488,123673
2020-09-10,22:01:00,,33,Sweden,10111436,86194,314.0,5843,1.0,,,,13,8524,578.0,1250488,123671
2020-09-11,22:00:00,,33,Sweden,10111607,86505,311.0,5846,3.0,,,,13,8555,578.0,1250488,123669
2020-09-12,22:22:00,,33,Sweden,10111779,86505,0.0,5846,0.0,,,,13,8555,578.0,1250488,123666
2020-09-13,22:01:00,,33,Sweden,10111951,86505,0.0,5846,0.0,,,,13,8555,578.0,1250488,123664
2020-09-14,22:04:00,,33,Sweden,10112123,86505,0.0,5846,0.0,,,,13,8555,578.0,1250488,123662
2020-09-15,21:00:00,,33,Sweden,10112294,87345,840.0,5851,5.0,,,,17,8638,579.0,1250488,123660
2020-09-16,21:01:00,,33,Sweden,10112466,87575,230.0,5860,9.0,,,,15,8660,579.0,1393161,137767
2020-09-18,20:01:00,,33,Sweden,10112810,88237,662.0,5865,5.0,,,,15,8725,580.0,1393161,137762
2020-09-19,21:00:00,,33,Sweden,10112981,88237,0.0,5865,0.0,,,,15,8725,580.0,1393161,137760
2020-09-20,22:31:00,,33,Sweden,10113153,88237,0.0,5865,0.0,,,,15,8725,580.0,1393161,137757
2020-09-21,21:01:00,,33,Sweden,10113325,88237,0.0,5865,0.0,,,,15,8725,580.0,1393161,137755
2020-09-22,21:01:00,,33,Sweden,10113497,89436,1199.0,5870,5.0,,,,15,8843,580.0,1532632,151543
2020-09-23,19:58:00,,33,Sweden,10113668,89756,320.0,5876,6.0,,,,15,8875,581.0,1532632,151541
2020-09-24,21:00:00,,33,Sweden,10113840,90289,533.0,5878,2.0,,,,15,8927,581.0,1532632,151538
2020-09-25,21:00:00,,33,Sweden,10114012,90923,634.0,5880,2.0,,,,15,8990,581.0,1532632,151536
2020-09-26,21:00:00,,33,Sweden,10114184,90923,0.0,5880,0.0,,,,15,8990,581.0,1532632,151533
2020-09-27,22:45:00,,33,Sweden,10114355,90923,0.0,5880,0.0,,,,15,8990,581.0,1532632,151530
2020-09-28,22:00:00,,33,Sweden,10114527,90923,0.0,5880,0.0,,,,15,8989,581.0,1532632,151528
2020-09-29,21:35:00,,33,Sweden,10114699,92466,1543.0,5890,10.0,,,,20,9142,582.0,1661484,164264
2020-09-30,22:00:00,,33,Sweden,10114871,92863,397.0,5893,3.0,,,,20,9181,583.0,1661484,164262
2020-10-01,21:31:00,,33,Sweden,10115042,93615,752.0,5893,0.0,,,,20,9255,583.0,1661484,164259
2020-10-02,22:36:00,,33,Sweden,10115214,94283,668.0,5895,2.0,,,,20,9321,583.0,1661484,164256
2020-10-03,22:24:00,,33,Sweden,10115386,94283,0.0,5895,0.0,,,,20,9321,583.0,1661484,164253
2020-10-04,21:01:00,,33,Sweden,10115558,94283,0.0,5895,0.0,,,,20,9321,583.0,1661484,164250
2020-10-05,22:13:00,,33,Sweden,10115730,94283,0.0,5895,0.0,,,,20,9320,583.0,1661484,164248
2020-10-06,23:01:00,,33,Sweden,10115901,96145,1862.0,5883,-12.0,,,,23,9504,582.0,1661484,164245
2020-10-07,23:01:00,,33,Sweden,10116073,96677,532.0,5892,9.0,,,,23,9557,582.0,1661484,164242
2020-10-08,23:59:00,,33,Sweden,10116245,97532,855.0,5892,0.0,,,,25,9641,582.0,1661484,164239
2020-10-09,23:00:00,,33,Sweden,10116417,98451,919.0,5894,2.0,,,,26,9732,583.0,1789328,176874
2020-10-10,23:00:00,,33,Sweden,10116588,98451,0.0,5894,0.0,,,,26,9732,583.0,1789328,176871
2020-10-12,23:10:00,,33,Sweden,10116932,98451,0.0,5894,0.0,,,,25,9731,583.0,1789328,176865
2020-10-13,23:01:00,,33,Sweden,10117104,100654,2203.0,5899,5.0,,,,25,9949,583.0,1789328,176862
2020-10-14,23:01:00,,33,Sweden,10117275,101332,678.0,5907,8.0,,,,25,10016,584.0,1789328,176859
2020-10-15,14:09:00,11:06:00,33,Sweden,10117447,101332,0.0,5907,0.0,,,,25,10016,584.0,1789328,176856
2020-10-16,22:08:00,19:06:00,33,Sweden,10117619,103200,1868.0,5918,11.0,,,,30,10200,585.0,1925218,190284
2020-10-17,23:01:00,19:58:00,33,Sweden,10117791,103200,0.0,5918,0.0,,,,30,10200,585.0,1925218,190280
2020-10-18,22:05:00,19:03:00,33,Sweden,10117962,103200,0.0,5918,0.0,,,,30,10200,585.0,1925218,190277
2020-10-19,22:05:00,18:59:00,33,Sweden,10118134,103200,0.0,5918,0.0,,,,30,10200,585.0,1925218,190274
2020-10-20,22:05:00,19:04:00,33,Sweden,10118306,106380,3180.0,5922,4.0,,,,30,10514,585.0,1925218,190271
2020-10-21,22:05:00,19:03:00,33,Sweden,10118478,107355,975.0,5929,7.0,,,,30,10610,586.0,1925218,190268
2020-10-22,22:05:00,19:04:00,33,Sweden,10118649,108969,1614.0,5930,1.0,,,,39,10769,586.0,1925218,190264
