Date,Scrap_time,Update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,122,Rwanda,12977147,2042,,5,,1119,,918,,157,0.4,269261,20749
2020-08-08,20:00:00,,122,Rwanda,12982426,2128,86.0,5,0.0,1297,178.0,826,,164,0.4,289153,22273
2020-08-12,20:00:00,,122,Rwanda,12985946,2171,43.0,7,2.0,1478,181.0,686,,167,0.5,309653,23845
2020-08-16,20:00:00,,122,Rwanda,12989465,2352,181.0,8,1.0,1631,153.0,713,,181,0.6,329474,25365
2020-08-17,20:00:00,,122,Rwanda,12990345,2453,101.0,8,0.0,1648,17.0,797,,189,0.6,334270,25732
2020-08-18,20:00:00,,122,Rwanda,12991225,2540,87.0,8,0.0,1661,13.0,871,,196,0.6,338288,26040
2020-08-19,20:00:00,,122,Rwanda,12992105,2577,37.0,10,2.0,1683,22.0,884,,198,0.8,342614,26371
2020-08-20,17:53:00,,122,Rwanda,12992985,2644,67.0,10,0.0,1698,15.0,936,,203,0.8,345920,26624
2020-08-23,21:09:00,,122,Rwanda,12995624,2889,245.0,11,1.0,1754,56.0,1124,,222,0.8,361842,27843
2020-08-24,17:10:00,,122,Rwanda,12996504,3089,200.0,12,1.0,1755,1.0,1322,,238,0.9,368244,28334
2020-08-25,23:00:00,,122,Rwanda,12997384,3306,217.0,14,2.0,1785,30.0,1507,,254,1.0,371886,28612
2020-08-26,22:59:00,,122,Rwanda,12998264,3537,231.0,15,1.0,1806,21.0,1716,,272,1.0,378014,29082
2020-08-27,23:00:00,,122,Rwanda,12999144,3625,88.0,15,0.0,1810,4.0,1800,,279,1.0,383481,29500
2020-08-28,23:01:00,,122,Rwanda,13000024,3672,47.0,15,0.0,1863,53.0,1794,,282,1.0,388078,29852
2020-08-29,12:29:00,,122,Rwanda,13000904,3742,70.0,16,1.0,1866,3.0,1860,,288,1.0,393237,30247
2020-08-30,23:00:00,,122,Rwanda,13001784,4020,278.0,16,0.0,1918,52.0,2086,,309,1.0,404944,31145
2020-08-31,18:58:00,,122,Rwanda,13002664,4020,0.0,16,0.0,1918,0.0,2086,,309,1.0,404944,31143
2020-09-01,23:00:00,,122,Rwanda,13003544,4063,43.0,16,0.0,2013,95.0,2034,,312,1.0,409707,31507
2020-09-02,23:01:00,,122,Rwanda,13004423,4142,79.0,16,0.0,2044,31.0,2082,,319,1.0,415329,31938
2020-09-03,23:01:00,,122,Rwanda,13005303,4218,76.0,17,1.0,2071,27.0,2130,,324,1.0,421121,32381
2020-09-04,07:01:00,,122,Rwanda,13006183,4255,37.0,18,1.0,2163,92.0,2074,,327,1.0,426200,32769
2020-09-05,23:31:00,,122,Rwanda,13007063,4304,49.0,18,0.0,2191,28.0,2095,,331,1.0,431992,33212
2020-09-06,18:30:00,,122,Rwanda,13007943,4349,45.0,18,0.0,2199,8.0,2132,,334,1.0,436412,33550
2020-09-07,23:39:00,,122,Rwanda,13008823,4374,25.0,19,1.0,2235,36.0,2120,,336,1.0,439893,33815
2020-09-08,22:10:00,,122,Rwanda,13009703,4409,35.0,19,0.0,2271,36.0,2119,,339,1.0,444350,34155
2020-09-10,22:01:00,,122,Rwanda,13011463,4460,51.0,21,2.0,2325,54.0,2114,,343,2.0,451408,34693
2020-09-11,22:00:00,,122,Rwanda,13012342,4479,19.0,22,1.0,2352,27.0,2105,,344,2.0,454246,34909
2020-09-12,22:22:00,,122,Rwanda,13013222,4534,55.0,22,0.0,2450,98.0,2062,,348,2.0,457273,35139
2020-09-13,22:01:00,,122,Rwanda,13014102,4565,31.0,22,0.0,2544,94.0,1999,,351,2.0,460174,35360
2020-09-14,22:04:00,,122,Rwanda,13014982,4591,26.0,22,0.0,2556,12.0,2013,,353,2.0,462896,35566
2020-09-15,21:00:00,,122,Rwanda,13015862,4602,11.0,22,0.0,2736,180.0,1844,,354,2.0,464583,35694
2020-09-16,21:01:00,,122,Rwanda,13016742,4624,22.0,22,0.0,2767,31.0,1835,,355,2.0,466518,35840
2020-09-18,20:01:00,,122,Rwanda,13018502,4653,29.0,23,1.0,2817,50.0,1813,,357,2.0,470218,36119
2020-09-19,21:00:00,,122,Rwanda,13019382,4671,18.0,25,2.0,2845,28.0,1801,,359,2.0,471767,36236
2020-09-20,22:31:00,,122,Rwanda,13020261,4689,18.0,26,1.0,2910,65.0,1753,,360,2.0,474039,36408
2020-09-21,21:01:00,,122,Rwanda,13021141,4711,22.0,26,0.0,2961,51.0,1724,,362,2.0,475931,36551
2020-09-22,21:01:00,,122,Rwanda,13022021,4722,11.0,27,1.0,2973,12.0,1722,,363,2.0,477379,36659
