Scrap_time,Update_time_GMT,Date,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02 20:00:00,,2020-08-02,88,Malaysia,32400707,8999,,125,,8664,,210,2,278,4.0,979178,30221.0
2020-08-08 20:00:00,,2020-08-08,88,Malaysia,32407505,9070,71.0,125,0.0,8775,111.0,170,2,280,4.0,1036339,31978.0
2020-08-12 20:00:00,,2020-08-12,88,Malaysia,32412037,9114,44.0,125,0.0,8817,42.0,172,1,281,4.0,1074020,33136.0
2020-08-16 20:00:00,,2020-08-16,88,Malaysia,32416569,9200,86.0,125,0.0,8859,42.0,216,7,284,4.0,1114246,34373.0
2020-08-17 20:00:00,,2020-08-17,88,Malaysia,32417702,9212,12.0,125,0.0,8876,17.0,211,8,284,4.0,1114246,34372.0
2020-08-18 20:00:00,,2020-08-18,88,Malaysia,32418835,9219,7.0,125,0.0,8902,26.0,192,8,284,4.0,1114246,34370.0
2020-08-19 20:00:00,,2020-08-19,88,Malaysia,32419968,9235,16.0,125,0.0,8925,23.0,185,7,285,4.0,1114246,34369.0
2020-08-20 17:53:00,,2020-08-20,88,Malaysia,32421101,9240,5.0,125,0.0,8932,7.0,183,7,285,4.0,1152140,35537.0
2020-08-23 21:09:00,,2020-08-23,88,Malaysia,32424500,9267,27.0,125,0.0,8959,27.0,183,9,286,4.0,1176416,36282.0
2020-08-24 17:10:00,,2020-08-24,88,Malaysia,32425633,9274,7.0,125,0.0,8965,6.0,184,8,286,4.0,1182845,36479.0
2020-08-25 23:00:00,,2020-08-25,88,Malaysia,32426766,9285,11.0,125,0.0,8971,6.0,189,8,286,4.0,1182845,36477.0
2020-08-26 22:59:00,,2020-08-26,88,Malaysia,32427899,9291,6.0,125,0.0,8978,7.0,188,9,287,4.0,1191500,36743.0
