scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,67,Austria,9010877,21304,,718,,18984,,1602,20,2364,80.0,905314,100469
2020-08-08,20:00:00,,67,Austria,9011717,21919,615.0,721,3.0,19812,828.0,1386,24,2432,80.0,955239,106000
2020-08-12,20:00:00,,67,Austria,9012278,22439,520.0,724,3.0,20268,456.0,1447,25,2490,80.0,983018,109075
2020-08-16,20:00:00,,67,Austria,9012838,23370,931.0,728,4.0,20681,413.0,1961,19,2593,81.0,1018490,113004
2020-08-17,20:00:00,,67,Austria,9012979,23534,164.0,729,1.0,20765,84.0,2040,23,2611,81.0,1024067,113621
2020-08-18,20:00:00,,67,Austria,9013119,23829,295.0,729,0.0,20870,105.0,2230,19,2644,81.0,1037888,115153
2020-08-19,20:00:00,,67,Austria,9013259,24084,255.0,729,0.0,20958,88.0,2397,20,2672,81.0,1048216,116297
2020-08-20,17:53:00,,67,Austria,9013399,24431,347.0,729,0.0,21093,135.0,2609,21,2711,81.0,1061437,117762
2020-08-23,21:09:00,,67,Austria,9013819,25253,822.0,732,3.0,21558,465.0,2963,23,2802,81.0,1094987,121479
2020-08-24,17:10:00,,67,Austria,9013960,25495,242.0,733,1.0,21657,99.0,3105,23,2828,81.0,1101206,122167
2020-08-25,23:00:00,,67,Austria,9014100,25706,211.0,733,0.0,21888,231.0,3085,23,2852,81.0,1110089,123150
2020-08-26,22:59:00,,67,Austria,9014240,26033,327.0,733,0.0,22145,257.0,3155,23,2888,81.0,1110089,123148
2020-08-27,23:00:00,,67,Austria,9014380,26361,328.0,733,0.0,22317,172.0,3311,24,2924,81.0,1133243,125715
2020-08-28,23:01:00,,67,Austria,9014520,26590,229.0,733,0.0,22594,277.0,3263,27,2950,81.0,1147944,127344
2020-08-29,12:29:00,,67,Austria,9014660,26985,395.0,733,0.0,22866,272.0,3386,30,2993,81.0,1160743,128762
2020-08-30,23:00:00,,67,Austria,9014800,27166,181.0,733,0.0,23070,204.0,3363,30,3013,81.0,1172092,130019
2020-08-31,18:58:00,,67,Austria,9014941,27438,272.0,733,0.0,23226,156.0,3479,31,3044,81.0,1180711,130973
2020-09-01,23:00:00,,67,Austria,9015081,27642,204.0,734,1.0,23565,339.0,3343,30,3066,81.0,1193127,132348
2020-09-02,23:01:00,,67,Austria,9015221,27969,327.0,734,0.0,23820,255.0,3415,30,3102,81.0,1210568,134280
2020-09-03,23:01:00,,67,Austria,9015361,28372,403.0,735,1.0,24171,351.0,3466,29,3147,82.0,1222257,135575
2020-09-04,07:01:00,,67,Austria,9015501,28372,0.0,735,0.0,24171,0.0,3466,29,3147,82.0,1222257,135573
2020-09-05,23:31:00,,67,Austria,9015641,29087,715.0,735,0.0,24828,657.0,3524,28,3226,82.0,1247807,138405
2020-09-06,18:30:00,,67,Austria,9015781,29271,184.0,736,1.0,25043,215.0,3492,28,3247,82.0,1255825,139292
2020-09-07,23:39:00,,67,Austria,9015922,29561,290.0,746,10.0,25300,257.0,3515,29,3279,83.0,1266223,140443
2020-09-08,22:10:00,,67,Austria,9016062,30081,520.0,747,1.0,25629,329.0,3705,28,3336,83.0,1266223,140441
2020-09-09,22:01:00,,67,Austria,9016202,30583,502.0,747,0.0,25764,135.0,4072,36,3392,83.0,1288059,142860
2020-09-10,22:01:00,,67,Austria,9016342,31247,664.0,748,1.0,26043,279.0,4456,39,3466,83.0,1303030,144519
2020-09-11,22:00:00,,67,Austria,9016482,31827,580.0,750,2.0,26257,214.0,4820,41,3530,83.0,1316819,146046
2020-09-12,22:22:00,,67,Austria,9016622,32696,869.0,754,4.0,26579,322.0,5363,42,3626,84.0,1331493,147671
2020-09-13,22:01:00,,67,Austria,9016762,33159,463.0,756,2.0,26760,181.0,5643,44,3677,84.0,1342066,148841
2020-09-14,22:04:00,,67,Austria,9016902,33541,382.0,757,1.0,27010,250.0,5774,47,3720,84.0,1351408,149875
2020-09-15,21:00:00,,67,Austria,9017043,34305,764.0,757,0.0,27354,344.0,6194,49,3804,84.0,1364508,151325
2020-09-16,21:01:00,,67,Austria,9017183,35073,768.0,758,1.0,27655,301.0,6660,54,3890,84.0,1379839,153023
2020-09-18,20:01:00,,67,Austria,9017463,36661,1588.0,763,5.0,28451,796.0,7447,62,4066,85.0,1413965,156803
2020-09-19,21:00:00,,67,Austria,9017603,37474,813.0,765,2.0,28961,510.0,7748,84,4156,85.0,1432099,158811
2020-09-20,22:31:00,,67,Austria,9017743,38095,621.0,766,1.0,29229,268.0,8100,68,4224,85.0,1444683,160204
2020-09-21,21:01:00,,67,Austria,9017883,38658,563.0,767,1.0,29516,287.0,8375,67,4287,85.0,1458095,161689
2020-09-22,21:01:00,,67,Austria,9018024,39303,645.0,771,4.0,30312,796.0,8220,75,4358,85.0,1472647,163300
2020-09-23,19:58:00,,67,Austria,9018164,39984,681.0,777,6.0,30949,637.0,8258,77,4434,86.0,1489264,165140
2020-09-24,21:00:00,,67,Austria,9018304,40816,832.0,783,6.0,31661,712.0,8372,78,4526,87.0,1507782,167191
2020-09-25,21:00:00,,67,Austria,9018444,41500,684.0,786,3.0,32301,640.0,8413,78,4602,87.0,1528191,169452
2020-09-26,21:00:00,,67,Austria,9018584,42214,714.0,787,1.0,33154,853.0,8273,80,4681,87.0,1545634,171383
2020-09-27,22:45:00,,67,Austria,9018724,42876,662.0,787,0.0,33589,435.0,8500,84,4754,87.0,1555499,172474
2020-09-28,22:00:00,,67,Austria,9018864,43432,556.0,790,3.0,34052,463.0,8590,88,4816,88.0,1569992,174079
2020-09-29,21:35:00,,67,Austria,9019005,44041,609.0,796,6.0,34916,864.0,8329,90,4883,88.0,1586578,175915
