scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,186,Barbados,287406,122,,7,,98,,17,,424,24.0,11288,39275
2020-08-08,20:00:00,,186,Barbados,287412,138,16.0,7,0.0,100,2.0,31,,480,24.0,12570,43735
2020-08-12,20:00:00,,186,Barbados,287416,143,5.0,7,0.0,112,12.0,24,,498,24.0,13313,46320
2020-08-16,20:00:00,,186,Barbados,287420,150,7.0,7,0.0,121,9.0,22,,522,24.0,14217,49464
2020-08-17,20:00:00,,186,Barbados,287421,152,2.0,7,0.0,122,1.0,23,,529,24.0,14542,50595
2020-08-18,20:00:00,,186,Barbados,287422,152,0.0,7,0.0,122,0.0,23,,529,24.0,14542,50595
2020-08-19,20:00:00,,186,Barbados,287423,153,1.0,7,0.0,122,0.0,24,,532,24.0,14674,51054
2020-08-20,17:53:00,,186,Barbados,287424,155,2.0,7,0.0,123,1.0,25,,539,24.0,14879,51767
2020-08-23,21:09:00,,186,Barbados,287427,158,3.0,7,0.0,126,3.0,25,,550,24.0,15503,53937
2020-08-24,17:10:00,,186,Barbados,287427,161,3.0,7,0.0,132,6.0,22,,560,24.0,15717,54682
2020-08-25,23:00:00,,186,Barbados,287428,161,0.0,7,0.0,132,0.0,22,,560,24.0,15717,54682
2020-08-26,22:59:00,,186,Barbados,287429,164,3.0,7,0.0,132,0.0,25,,571,24.0,15990,55631
2020-08-27,23:00:00,,186,Barbados,287430,165,1.0,7,0.0,139,7.0,19,,574,24.0,16162,56229
2020-08-28,23:01:00,,186,Barbados,287431,165,0.0,7,0.0,140,1.0,18,,574,24.0,16356,56904
2020-08-29,12:29:00,,186,Barbados,287432,166,1.0,7,0.0,141,1.0,18,,578,24.0,16538,57537
2020-08-30,23:00:00,,186,Barbados,287433,170,4.0,7,0.0,141,0.0,22,,591,24.0,16780,58379
2020-08-31,18:58:00,,186,Barbados,287434,173,3.0,7,0.0,145,4.0,21,,602,24.0,17057,59342
2020-09-01,23:00:00,,186,Barbados,287435,174,1.0,7,0.0,146,1.0,21,,605,24.0,17180,59770
2020-09-02,23:01:00,,186,Barbados,287436,176,2.0,7,0.0,146,0.0,23,,612,24.0,17332,60299
2020-09-03,23:01:00,,186,Barbados,287437,176,0.0,7,0.0,149,3.0,20,,612,24.0,17492,60855
2020-09-04,07:01:00,,186,Barbados,287438,177,1.0,7,0.0,150,1.0,20,,616,24.0,17677,61498
2020-09-05,23:31:00,,186,Barbados,287439,178,1.0,7,0.0,153,3.0,18,,619,24.0,17979,62549
2020-09-06,18:30:00,,186,Barbados,287440,178,0.0,7,0.0,154,1.0,17,,619,24.0,18205,63335
2020-09-07,23:39:00,,186,Barbados,287441,179,1.0,7,0.0,154,0.0,18,,623,24.0,18464,64236
2020-09-08,22:10:00,,186,Barbados,287442,179,0.0,7,0.0,154,0.0,18,,623,24.0,18464,64236
2020-09-10,22:01:00,,186,Barbados,287444,180,1.0,7,0.0,156,2.0,17,,626,24.0,18762,65272
2020-09-11,22:00:00,,186,Barbados,287445,180,0.0,7,0.0,157,1.0,16,,626,24.0,19140,66587
2020-09-12,22:22:00,,186,Barbados,287446,180,0.0,7,0.0,158,1.0,15,,626,24.0,19444,67644
2020-09-13,22:01:00,,186,Barbados,287447,180,0.0,7,0.0,158,0.0,15,,626,24.0,19444,67644
2020-09-14,22:04:00,,186,Barbados,287448,181,1.0,7,0.0,164,6.0,10,,630,24.0,19790,68847
2020-09-15,21:00:00,,186,Barbados,287449,183,2.0,7,0.0,165,1.0,11,,637,24.0,20121,69999
2020-09-16,21:01:00,,186,Barbados,287450,184,1.0,7,0.0,169,4.0,8,,640,24.0,20322,70698
2020-09-18,20:01:00,,186,Barbados,287451,185,1.0,7,0.0,171,2.0,7,,644,24.0,20768,72249
2020-09-19,21:00:00,,186,Barbados,287452,185,0.0,7,0.0,172,1.0,6,,644,24.0,21069,73296
2020-09-20,22:31:00,,186,Barbados,287453,185,0.0,7,0.0,172,0.0,6,,644,24.0,21069,73295
2020-09-21,21:01:00,,186,Barbados,287454,189,4.0,7,0.0,173,1.0,9,,657,24.0,21475,74708
2020-09-22,21:01:00,,186,Barbados,287455,189,0.0,7,0.0,173,0.0,9,,657,24.0,21578,75066
2020-09-23,19:58:00,,186,Barbados,287456,189,0.0,7,0.0,173,0.0,9,,657,24.0,21735,75612
2020-09-24,21:00:00,,186,Barbados,287457,189,0.0,7,0.0,174,1.0,8,,657,24.0,21972,76436
2020-09-25,21:00:00,,186,Barbados,287458,189,0.0,7,0.0,174,0.0,8,,657,24.0,22212,77270
2020-09-26,21:00:00,,186,Barbados,287459,190,1.0,7,0.0,175,1.0,8,,661,24.0,22536,78397
2020-09-27,22:45:00,,186,Barbados,287460,190,0.0,7,0.0,178,3.0,5,,661,24.0,22780,79246
2020-09-28,22:00:00,,186,Barbados,287461,190,0.0,7,0.0,178,0.0,5,,661,24.0,22963,79882
2020-09-29,21:35:00,,186,Barbados,287462,190,0.0,7,0.0,178,0.0,5,,661,24.0,23032,80122
2020-09-30,22:00:00,,186,Barbados,287463,190,0.0,7,0.0,179,1.0,4,,661,24.0,23468,81638
2020-10-01,21:31:00,,186,Barbados,287464,190,0.0,7,0.0,179,0.0,4,,661,24.0,23468,81638
2020-10-02,22:36:00,,186,Barbados,287465,193,3.0,7,0.0,179,0.0,7,,671,24.0,23750,82619
2020-10-03,22:24:00,,186,Barbados,287466,193,0.0,7,0.0,179,0.0,7,,671,24.0,23750,82618
2020-10-04,21:01:00,,186,Barbados,287467,196,3.0,7,0.0,182,3.0,7,,682,24.0,24360,84740
2020-10-05,22:13:00,,186,Barbados,287468,199,3.0,7,0.0,182,0.0,10,,692,24.0,24628,85672
2020-10-06,23:01:00,,186,Barbados,287469,200,1.0,7,0.0,182,0.0,11,,696,24.0,24849,86441
2020-10-07,23:01:00,,186,Barbados,287470,200,0.0,7,0.0,182,0.0,11,,696,24.0,24849,86440
2020-10-08,23:59:00,,186,Barbados,287471,203,3.0,7,0.0,182,0.0,14,,706,24.0,25393,88332
2020-10-09,23:00:00,,186,Barbados,287472,204,1.0,7,0.0,182,0.0,15,,710,24.0,26443,91985
2020-10-10,23:00:00,,186,Barbados,287473,204,0.0,7,0.0,182,0.0,15,,710,24.0,26443,91984
2020-10-12,23:10:00,,186,Barbados,287474,208,4.0,7,0.0,186,4.0,15,,724,24.0,27773,96610
2020-10-13,23:01:00,,186,Barbados,287475,208,0.0,7,0.0,186,0.0,15,,724,24.0,28156,97942
2020-10-14,23:01:00,,186,Barbados,287476,210,2.0,7,0.0,187,1.0,16,,730,24.0,28591,99455
2020-10-15,14:09:00,11:06:00,186,Barbados,287477,215,5.0,7,0.0,192,5.0,16,,748,24.0,29017,100937
2020-10-16,22:08:00,19:06:00,186,Barbados,287478,218,3.0,7,0.0,195,3.0,16,,758,24.0,29397,102258
2020-10-17,23:01:00,19:58:00,186,Barbados,287479,219,1.0,7,0.0,195,0.0,17,,762,24.0,29854,103848
2020-10-18,22:05:00,19:03:00,186,Barbados,287480,219,0.0,7,0.0,195,0.0,17,,762,24.0,29854,103847
2020-10-19,22:05:00,18:59:00,186,Barbados,287481,222,3.0,7,0.0,203,8.0,12,,772,24.0,30602,106449
2020-10-20,22:05:00,19:04:00,186,Barbados,287482,222,0.0,7,0.0,203,0.0,12,,772,24.0,30602,106448
2020-10-21,22:05:00,19:03:00,186,Barbados,287483,222,0.0,7,0.0,205,2.0,10,,772,24.0,31534,109690
2020-10-22,22:05:00,19:04:00,186,Barbados,287484,222,0.0,7,0.0,205,0.0,10,,772,24.0,31534,109690
2020-10-23,22:05:00,19:02:00,186,Barbados,287485,224,2.0,7,0.0,207,2.0,10,,779,24.0,31982,111248
2020-10-24,23:41:00,20:40:00,186,Barbados,287486,226,2.0,7,0.0,207,0.0,12,,786,24.0,32374,112611
2020-10-25,23:00:00,20:58:00,186,Barbados,287487,227,1.0,7,0.0,208,1.0,12,,790,24.0,32740,113883
2020-10-26,23:00:00,20:56:00,186,Barbados,287488,233,6.0,7,0.0,210,2.0,16,,810,24.0,33467,116412
2020-10-27,23:00:00,20:58:00,186,Barbados,287489,233,0.0,7,0.0,210,0.0,16,,810,24.0,33467,116411
2020-10-28,23:00:00,20:58:00,186,Barbados,287490,233,0.0,7,0.0,217,7.0,9,,810,24.0,33795,117552
2020-10-29,23:00:00,20:57:00,186,Barbados,287491,234,1.0,7,0.0,217,0.0,10,,814,24.0,34310,119343
2020-10-30,23:00:00,20:58:00,186,Barbados,287492,236,2.0,7,0.0,218,1.0,11,,821,24.0,34998,121736
2020-10-31,23:00:00,20:59:00,186,Barbados,287493,236,0.0,7,0.0,218,0.0,11,,821,24.0,34998,121735
2020-11-01,23:00:00,20:59:00,186,Barbados,287494,237,1.0,7,0.0,221,3.0,9,,824,24.0,35518,123543
2020-11-02,23:00:00,20:57:00,186,Barbados,287495,237,0.0,7,0.0,221,0.0,9,,824,24.0,35518,123543
2020-11-03,23:00:00,20:59:00,186,Barbados,287496,238,1.0,7,0.0,222,1.0,9,,828,24.0,36364,126485
2020-11-04,23:00:00,20:57:00,186,Barbados,287496,238,0.0,7,0.0,224,2.0,7,,828,24.0,37082,128983
2020-11-05,23:00:00,20:59:00,186,Barbados,287497,239,1.0,7,0.0,224,0.0,8,,831,24.0,37546,130596
2020-11-06,23:00:00,20:58:00,186,Barbados,287498,239,0.0,7,0.0,224,0.0,8,,831,24.0,37546,130596
2020-11-07,23:00:00,20:57:00,186,Barbados,287499,242,3.0,7,0.0,228,4.0,7,,842,24.0,38521,133987
2020-11-08,23:00:00,20:49:00,186,Barbados,287500,242,0.0,7,0.0,228,0.0,7,,842,24.0,38521,133986
2020-11-09,23:00:00,20:59:00,186,Barbados,287501,242,0.0,7,0.0,228,0.0,7,,842,24.0,38521,133986
2020-11-10,23:00:00,20:59:00,186,Barbados,287502,243,1.0,7,0.0,231,3.0,5,,845,24.0,39722,138163
