Date,Scrap_time,Update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,190,Seychelles,98400,114,,,,39,,75,,1159,,,
2020-08-08,20:00:00,,190,Seychelles,98410,126,12.0,,,125,86.0,1,,1280,,,
2020-08-12,20:00:00,,190,Seychelles,98417,127,1.0,,,126,1.0,1,,1290,,,
2020-08-16,20:00:00,,190,Seychelles,98423,127,0.0,,,126,0.0,1,,1290,,,
2020-08-17,20:00:00,,190,Seychelles,98425,127,0.0,,,126,0.0,1,,1290,,,
2020-08-18,20:00:00,,190,Seychelles,98426,127,0.0,,,126,0.0,1,,1290,,,
2020-08-19,20:00:00,,190,Seychelles,98428,127,0.0,,,126,0.0,1,,1290,,,
2020-08-20,17:53:00,,190,Seychelles,98430,132,5.0,,,126,0.0,6,,1341,,,
2020-08-23,21:09:00,,190,Seychelles,98435,132,0.0,,,126,0.0,6,,1341,,,
2020-08-24,17:10:00,,190,Seychelles,98436,132,0.0,,,126,0.0,6,,1341,,,
2020-08-25,23:00:00,,190,Seychelles,98438,136,4.0,,,127,1.0,9,,1382,,,
2020-08-26,22:59:00,,190,Seychelles,98440,136,0.0,,,127,0.0,9,,1382,,,
2020-08-27,23:00:00,,190,Seychelles,98441,136,0.0,,,127,0.0,9,,1382,,,
2020-08-28,23:01:00,,190,Seychelles,98443,136,0.0,,,127,0.0,9,,1382,,,
2020-08-29,12:29:00,,190,Seychelles,98445,136,0.0,,,127,0.0,9,,1381,,,
2020-08-30,23:00:00,,190,Seychelles,98446,136,0.0,,,127,0.0,9,,1381,,,
2020-08-31,18:58:00,,190,Seychelles,98448,136,0.0,,,127,0.0,9,,1381,,,
2020-09-01,23:00:00,,190,Seychelles,98450,136,0.0,,,127,0.0,9,,1381,,,
2020-09-02,23:01:00,,190,Seychelles,98451,136,0.0,,,127,0.0,9,,1381,,,
2020-09-03,23:01:00,,190,Seychelles,98453,136,0.0,,,127,0.0,9,,1381,,,
2020-09-04,07:01:00,,190,Seychelles,98455,136,0.0,,,127,0.0,9,,1381,,,
2020-09-05,23:31:00,,190,Seychelles,98456,136,0.0,,,127,0.0,9,,1381,,5200.0,52815.0
2020-09-06,18:30:00,,190,Seychelles,98458,136,0.0,,,127,0.0,9,,1381,,5200.0,52814.0
2020-09-07,23:39:00,,190,Seychelles,98460,137,1.0,,,127,0.0,10,,1391,,5200.0,52813.0
2020-09-08,22:10:00,,190,Seychelles,98461,137,0.0,,,127,0.0,10,,1391,,5200.0,52813.0
2020-09-10,22:01:00,,190,Seychelles,98465,137,0.0,,,127,0.0,10,,1391,,5200.0,52811.0
2020-09-11,22:00:00,,190,Seychelles,98466,138,1.0,,,136,9.0,2,,1401,,5200.0,52810.0
2020-09-12,22:22:00,,190,Seychelles,98468,139,1.0,,,136,0.0,3,,1412,,5200.0,52809.0
2020-09-13,22:01:00,,190,Seychelles,98470,139,0.0,,,136,0.0,3,,1412,,5200.0,52808.0
2020-09-14,22:04:00,,190,Seychelles,98471,140,1.0,,,136,0.0,4,,1422,,5200.0,52807.0
2020-09-15,21:00:00,,190,Seychelles,98473,140,0.0,,,136,0.0,4,,1422,,5200.0,52806.0
2020-09-16,21:01:00,,190,Seychelles,98475,140,0.0,,,136,0.0,4,,1422,,5200.0,52805.0
2020-09-18,20:01:00,,190,Seychelles,98478,141,1.0,,,136,0.0,5,,1432,,5200.0,52804.0
2020-09-19,21:00:00,,190,Seychelles,98480,141,0.0,,,136,0.0,5,,1432,,5200.0,52803.0
2020-09-20,22:31:00,,190,Seychelles,98481,141,0.0,,,136,0.0,5,,1432,,5200.0,52802.0
2020-09-21,21:01:00,,190,Seychelles,98483,143,2.0,,,136,0.0,7,,1452,,5200.0,52801.0
2020-09-22,21:01:00,,190,Seychelles,98485,143,0.0,,,136,0.0,7,,1452,,5200.0,52800.0
2020-09-23,19:58:00,,190,Seychelles,98486,143,0.0,,,136,0.0,7,,1452,,5200.0,52799.0
2020-09-24,21:00:00,,190,Seychelles,98488,143,0.0,,,136,0.0,7,,1452,,5200.0,52798.0
2020-09-25,21:00:00,,190,Seychelles,98490,143,0.0,,,140,4.0,3,,1452,,5200.0,52797.0
2020-09-26,21:00:00,,190,Seychelles,98491,143,0.0,,,140,0.0,3,,1452,,5200.0,52797.0
2020-09-27,22:45:00,,190,Seychelles,98493,143,0.0,,,140,0.0,3,,1452,,5200.0,52796.0
2020-09-28,22:00:00,,190,Seychelles,98495,143,0.0,,,140,0.0,3,,1452,,5200.0,52795.0
2020-09-29,21:35:00,,190,Seychelles,98496,143,0.0,,,140,0.0,3,,1452,,5200.0,52794.0
2020-09-30,22:00:00,,190,Seychelles,98498,143,0.0,,,140,0.0,3,,1452,,5200.0,52793.0
2020-10-01,21:31:00,,190,Seychelles,98500,144,1.0,,,143,3.0,1,,1462,,5200.0,52792.0
2020-10-02,22:36:00,,190,Seychelles,98501,144,0.0,,,143,0.0,1,,1462,,5200.0,52791.0
2020-10-03,22:24:00,,190,Seychelles,98503,145,1.0,,,143,0.0,2,,1472,,5200.0,52790.0
2020-10-04,21:01:00,,190,Seychelles,98505,146,1.0,,,143,0.0,3,,1482,,5200.0,52789.0
2020-10-05,22:13:00,,190,Seychelles,98506,146,0.0,,,143,0.0,3,,1482,,5200.0,52789.0
2020-10-06,23:01:00,,190,Seychelles,98508,146,0.0,,,143,0.0,3,,1482,,5200.0,52788.0
2020-10-07,23:01:00,,190,Seychelles,98510,148,2.0,,,143,0.0,5,,1502,,5200.0,52787.0
2020-10-08,23:59:00,,190,Seychelles,98511,148,0.0,,,143,0.0,5,,1502,,5200.0,52786.0
2020-10-09,23:00:00,,190,Seychelles,98513,148,0.0,,,143,0.0,5,,1502,,5200.0,52785.0
2020-10-10,23:00:00,,190,Seychelles,98515,148,0.0,,,144,1.0,4,,1502,,5200.0,52784.0
2020-10-12,23:10:00,,190,Seychelles,98518,148,0.0,,,144,0.0,4,,1502,,5200.0,52782.0
2020-10-13,23:01:00,,190,Seychelles,98519,148,0.0,,,144,0.0,4,,1502,,5200.0,52782.0
2020-10-14,23:01:00,,190,Seychelles,98521,148,0.0,,,144,0.0,4,,1502,,5200.0,52781.0
2020-10-15,14:09:00,11:06:00,190,Seychelles,98523,148,0.0,,,144,0.0,4,,1502,,5200.0,52780.0
2020-10-16,22:08:00,19:06:00,190,Seychelles,98524,149,1.0,,,148,4.0,1,,1512,,5200.0,52779.0
2020-10-17,23:01:00,19:58:00,190,Seychelles,98526,149,0.0,,,148,0.0,1,,1512,,5200.0,52778.0
2020-10-18,22:05:00,19:03:00,190,Seychelles,98528,149,0.0,,,148,0.0,1,,1512,,5200.0,52777.0
2020-10-19,22:05:00,18:59:00,190,Seychelles,98529,149,0.0,,,148,0.0,1,,1512,,5200.0,52776.0
2020-10-20,22:05:00,19:04:00,190,Seychelles,98531,149,0.0,,,148,0.0,1,,1512,,5200.0,52775.0
2020-10-21,22:05:00,19:03:00,190,Seychelles,98533,149,0.0,,,148,0.0,1,,1512,,5200.0,52774.0
2020-10-22,22:05:00,19:04:00,190,Seychelles,98534,151,2.0,,,148,0.0,3,,1532,,5200.0,52774.0
2020-10-23,22:05:00,19:02:00,190,Seychelles,98536,153,2.0,,,149,1.0,4,,1553,,5200.0,52773.0
2020-10-24,23:41:00,20:40:00,190,Seychelles,98538,153,0.0,,,149,0.0,4,,1553,,5200.0,52772.0
2020-10-25,23:00:00,20:58:00,190,Seychelles,98539,153,0.0,,,149,0.0,4,,1553,,5200.0,52771.0
2020-10-26,23:00:00,20:56:00,190,Seychelles,98541,153,0.0,,,149,0.0,4,,1553,,5200.0,52770.0
2020-10-27,23:00:00,20:58:00,190,Seychelles,98543,153,0.0,,,149,0.0,4,,1553,,5200.0,52769.0
2020-10-28,23:00:00,20:58:00,190,Seychelles,98544,153,0.0,,,149,0.0,4,,1553,,5200.0,52768.0
2020-10-29,23:00:00,20:57:00,190,Seychelles,98546,153,0.0,,,149,0.0,4,,1553,,5200.0,52767.0
2020-10-30,23:00:00,20:58:00,190,Seychelles,98548,153,0.0,,,149,0.0,4,,1553,,5200.0,52766.0
2020-10-31,23:00:00,20:59:00,190,Seychelles,98549,153,0.0,,,149,0.0,4,,1553,,5200.0,52766.0
2020-11-01,23:00:00,20:59:00,190,Seychelles,98551,153,0.0,,,149,0.0,4,,1552,,5200.0,52765.0
2020-11-02,23:00:00,20:57:00,190,Seychelles,98553,153,0.0,,,149,0.0,4,,1552,,5200.0,52763.0
2020-11-03,23:00:00,20:59:00,190,Seychelles,98554,153,0.0,,,149,0.0,4,,1552,,5200.0,52763.0
2020-11-04,23:00:00,20:57:00,190,Seychelles,98556,157,4.0,,,151,2.0,6,,1593,,5200.0,52762.0
2020-11-05,23:00:00,20:59:00,190,Seychelles,98558,157,0.0,,,151,0.0,6,,1593,,5200.0,52761.0
2020-11-06,23:00:00,20:58:00,190,Seychelles,98559,158,1.0,,,155,4.0,3,,1603,,5200.0,52760.0
2020-11-07,23:00:00,20:57:00,190,Seychelles,98561,158,0.0,,,155,0.0,3,,1603,,5200.0,52759.0
2020-11-08,23:00:00,20:49:00,190,Seychelles,98563,158,0.0,,,155,0.0,3,,1603,,5200.0,52758.0
2020-11-09,23:00:00,20:59:00,190,Seychelles,98564,158,0.0,,,155,0.0,3,,1603,,5200.0,52758.0
