scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,58,Uzbekistan,33509398,25336,,151,,15833,,9352,185,756,5.0,1377915,41120
2020-08-08,20:00:00,,58,Uzbekistan,33517353,29652,4316.0,187,36.0,21006,5173.0,8459,228,885,6.0,1377915,41110
2020-08-12,20:00:00,,58,Uzbekistan,33522656,32215,2563.0,208,21.0,24090,3084.0,7917,428,961,6.0,1377915,41104
2020-08-16,20:00:00,,58,Uzbekistan,33527959,34701,2486.0,226,18.0,30043,5953.0,4432,410,1035,7.0,1377915,41097
2020-08-17,20:00:00,,58,Uzbekistan,33529285,35702,1001.0,236,10.0,30973,930.0,4493,410,1065,7.0,1377915,41096
2020-08-18,20:00:00,,58,Uzbekistan,33530611,36352,650.0,242,6.0,32062,1089.0,4048,410,1084,7.0,1377915,41094
2020-08-19,20:00:00,,58,Uzbekistan,33531937,36518,166.0,243,1.0,32223,161.0,4052,410,1089,7.0,1377915,41093
2020-08-20,17:53:00,,58,Uzbekistan,33533263,37547,1029.0,252,9.0,33261,1038.0,4034,410,1120,8.0,1377915,41091
2020-08-23,21:09:00,,58,Uzbekistan,33537240,38870,1323.0,271,19.0,34894,1633.0,3705,259,1159,8.0,1377915,41086
2020-08-24,17:10:00,,58,Uzbekistan,33538566,39156,286.0,277,6.0,35283,389.0,3596,249,1167,8.0,1377915,41084
2020-08-25,23:00:00,,58,Uzbekistan,33539892,39641,485.0,284,7.0,35869,586.0,3488,249,1182,8.0,1377915,41083
2020-08-26,22:59:00,,58,Uzbekistan,33541218,39964,323.0,291,7.0,36402,533.0,3271,249,1191,9.0,1377915,41081
2020-08-27,23:00:00,,58,Uzbekistan,33542544,40338,374.0,297,6.0,37116,714.0,2925,139,1203,9.0,1377915,41080
2020-08-28,23:01:00,,58,Uzbekistan,33543869,40720,382.0,302,5.0,37873,757.0,2545,133,1214,9.0,1377915,41078
2020-08-29,12:29:00,,58,Uzbekistan,33545195,40953,233.0,305,3.0,37947,74.0,2701,133,1221,9.0,1377915,41076
2020-08-30,23:00:00,,58,Uzbekistan,33546521,41424,471.0,313,8.0,38655,708.0,2456,133,1235,9.0,1377915,41075
2020-08-31,18:58:00,,58,Uzbekistan,33547847,41787,363.0,319,6.0,39068,413.0,2400,133,1246,10.0,1377915,41073
2020-09-01,23:00:00,,58,Uzbekistan,33549173,42127,340.0,323,4.0,39538,470.0,2266,147,1256,10.0,1377915,41072
2020-09-02,23:01:00,,58,Uzbekistan,33550499,42437,310.0,327,4.0,39664,126.0,2446,147,1265,10.0,1377915,41070
2020-09-03,23:01:00,,58,Uzbekistan,33551824,42688,251.0,331,4.0,40081,417.0,2276,147,1272,10.0,1377915,41068
2020-09-04,07:01:00,,58,Uzbekistan,33553150,42688,0.0,331,0.0,40081,0.0,2276,147,1272,10.0,1377915,41067
2020-09-05,23:31:00,,58,Uzbekistan,33554476,43293,605.0,343,12.0,40774,693.0,2176,181,1290,10.0,1377915,41065
2020-09-06,18:30:00,,58,Uzbekistan,33555802,43476,183.0,345,2.0,40880,106.0,2251,181,1296,10.0,1377915,41063
2020-09-07,23:39:00,,58,Uzbekistan,33557128,43893,417.0,352,7.0,41531,651.0,2010,219,1308,10.0,1377915,41062
2020-09-08,22:10:00,,58,Uzbekistan,33558454,44281,388.0,358,6.0,41594,63.0,2329,224,1320,11.0,1377915,41060
2020-09-09,22:01:00,,58,Uzbekistan,33559779,44781,500.0,364,6.0,42162,568.0,2255,226,1334,11.0,1377915,41059
2020-09-10,22:01:00,,58,Uzbekistan,33561105,45473,692.0,370,6.0,42509,347.0,2594,224,1355,11.0,1377915,41057
2020-09-11,22:00:00,,58,Uzbekistan,33562431,46160,687.0,377,7.0,42857,348.0,2926,224,1375,11.0,1377915,41055
2020-09-12,22:22:00,,58,Uzbekistan,33563757,46721,561.0,384,7.0,43359,502.0,2978,224,1392,11.0,1377915,41054
2020-09-13,22:01:00,,58,Uzbekistan,33565083,47042,321.0,388,4.0,43511,152.0,3143,224,1402,12.0,1377915,41052
2020-09-14,22:04:00,,58,Uzbekistan,33566409,47836,794.0,396,8.0,44375,864.0,3065,246,1425,12.0,1377915,41050
2020-09-15,21:00:00,,58,Uzbekistan,33567734,48429,593.0,402,6.0,44942,567.0,3085,243,1443,12.0,1377915,41049
2020-09-16,21:01:00,,58,Uzbekistan,33569060,49015,586.0,407,5.0,45422,480.0,3186,243,1460,12.0,1377915,41047
2020-09-18,20:01:00,,58,Uzbekistan,33571712,50253,1238.0,419,12.0,46527,1105.0,3307,243,1497,12.0,1377915,41044
2020-09-19,21:00:00,,58,Uzbekistan,33573038,50872,619.0,425,6.0,47121,594.0,3326,243,1515,13.0,1377915,41042
2020-09-20,22:31:00,,58,Uzbekistan,33574364,51640,768.0,433,8.0,47932,811.0,3275,267,1538,13.0,1377915,41041
2020-09-21,21:01:00,,58,Uzbekistan,33575689,52070,430.0,437,4.0,48369,437.0,3264,245,1551,13.0,1377915,41039
2020-09-22,21:01:00,,58,Uzbekistan,33577015,52685,615.0,442,5.0,49067,698.0,3176,283,1569,13.0,1377915,41037
2020-09-23,19:58:00,,58,Uzbekistan,33578341,53275,590.0,444,2.0,49649,582.0,3182,283,1587,13.0,1377915,41036
2020-09-24,21:00:00,,58,Uzbekistan,33579667,53834,559.0,446,2.0,50230,581.0,3158,283,1603,13.0,1377915,41034
2020-09-25,21:00:00,,58,Uzbekistan,33580993,54392,558.0,449,3.0,50879,649.0,3064,283,1620,13.0,1377915,41033
2020-09-26,21:00:00,,58,Uzbekistan,33582319,54462,70.0,450,1.0,50954,75.0,3058,283,1622,13.0,1377915,41031
2020-09-27,22:45:00,,58,Uzbekistan,33583644,55320,858.0,458,8.0,51829,875.0,3033,283,1647,14.0,1377915,41029
2020-09-28,22:00:00,,58,Uzbekistan,33584970,55776,456.0,460,2.0,52324,495.0,2992,283,1661,14.0,1377915,41028
2020-09-29,21:35:00,,58,Uzbekistan,33586296,56252,476.0,465,5.0,52859,535.0,2928,283,1675,14.0,1377915,41026
2020-09-30,22:00:00,,58,Uzbekistan,33587622,56717,465.0,470,5.0,53366,507.0,2881,283,1689,14.0,1377915,41024
2020-10-01,21:31:00,,58,Uzbekistan,33588948,56997,280.0,471,1.0,53457,91.0,3069,283,1697,14.0,1377915,41023
2020-10-02,22:36:00,,58,Uzbekistan,33590274,57454,457.0,472,1.0,53955,498.0,3027,283,1710,14.0,1377915,41021
2020-10-03,22:24:00,,58,Uzbekistan,33591599,57924,470.0,476,4.0,54456,501.0,2992,283,1724,14.0,1377915,41020
2020-10-04,21:01:00,,58,Uzbekistan,33592925,58421,497.0,479,3.0,54854,398.0,3088,252,1739,14.0,1377915,41018
2020-10-05,22:13:00,,58,Uzbekistan,33594251,58946,525.0,485,6.0,55633,779.0,2828,252,1755,14.0,1377915,41016
2020-10-06,23:01:00,,58,Uzbekistan,33595577,59343,397.0,489,4.0,56058,425.0,2796,252,1766,15.0,1377915,41015
2020-10-07,23:01:00,,58,Uzbekistan,33596903,59579,236.0,491,2.0,56165,107.0,2923,252,1773,15.0,1377915,41013
2020-10-08,23:59:00,,58,Uzbekistan,33598229,60026,447.0,496,5.0,56837,672.0,2693,252,1787,15.0,1377915,41012
2020-10-09,23:00:00,,58,Uzbekistan,33599554,60342,316.0,498,2.0,57221,384.0,2623,252,1796,15.0,1377915,41010
2020-10-10,23:00:00,,58,Uzbekistan,33600880,60776,434.0,502,4.0,57704,483.0,2570,252,1809,15.0,1377915,41008
2020-10-12,23:10:00,,58,Uzbekistan,33603532,61319,543.0,509,7.0,58306,602.0,2504,252,1825,15.0,1377915,41005
2020-10-13,23:01:00,,58,Uzbekistan,33604858,61642,323.0,511,2.0,58613,307.0,2518,252,1834,15.0,1377915,41003
2020-10-14,23:01:00,,58,Uzbekistan,33606184,61859,217.0,512,1.0,58763,150.0,2584,252,1841,15.0,1377915,41002
2020-10-15,14:09:00,11:06:00,58,Uzbekistan,33607509,62175,316.0,516,4.0,59095,332.0,2564,252,1850,15.0,1377915,41000
2020-10-16,22:08:00,19:06:00,58,Uzbekistan,33608835,62588,413.0,520,4.0,59624,529.0,2444,252,1862,15.0,1377915,40999
2020-10-17,23:01:00,19:58:00,58,Uzbekistan,33610161,62809,221.0,522,2.0,59756,132.0,2531,252,1869,16.0,1377915,40997
2020-10-18,22:05:00,19:03:00,58,Uzbekistan,33611487,63124,315.0,525,3.0,60080,324.0,2519,252,1878,16.0,1377915,40995
2020-10-19,22:05:00,18:59:00,58,Uzbekistan,33612813,63523,399.0,531,6.0,60604,524.0,2388,252,1890,16.0,1377915,40994
2020-10-20,22:05:00,19:04:00,58,Uzbekistan,33614139,63831,308.0,534,3.0,60910,306.0,2387,252,1899,16.0,1377915,40992
2020-10-21,22:05:00,19:03:00,58,Uzbekistan,33615464,64010,179.0,534,0.0,61068,158.0,2408,252,1904,16.0,1377915,40991
2020-10-22,22:05:00,19:04:00,58,Uzbekistan,33616790,64439,429.0,540,6.0,61658,590.0,2241,252,1917,16.0,1377915,40989
