Scrap_time,Update_time_GMT,Date,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02 20:00:00,,2020-08-02,206,Greenland,56779,14,,,,13,,1,,247,,5856,103137
2020-08-08 20:00:00,,2020-08-08,206,Greenland,56780,14,0.0,,,14,1.0,0,,247,,6026,106129
2020-08-12 20:00:00,,2020-08-12,206,Greenland,56781,14,0.0,,,14,0.0,0,,247,,6137,108082
2020-08-16 20:00:00,,2020-08-16,206,Greenland,56783,14,0.0,,,14,0.0,0,,247,,6296,110878
2020-08-17 20:00:00,,2020-08-17,206,Greenland,56783,14,0.0,,,14,0.0,0,,247,,6340,111653
2020-08-18 20:00:00,,2020-08-18,206,Greenland,56783,14,0.0,,,14,0.0,0,,247,,6340,111653
2020-08-19 20:00:00,,2020-08-19,206,Greenland,56783,14,0.0,,,14,0.0,0,,247,,6384,112428
2020-08-20 17:53:00,,2020-08-20,206,Greenland,56784,14,0.0,,,14,0.0,0,,247,,6417,113007
2020-08-23 21:09:00,,2020-08-23,206,Greenland,56784,14,0.0,,,14,0.0,0,,247,,6464,113835
2020-08-24 17:10:00,,2020-08-24,206,Greenland,56785,14,0.0,,,14,0.0,0,,247,,6464,113833
2020-08-25 23:00:00,,2020-08-25,206,Greenland,56785,14,0.0,,,14,0.0,0,,247,,6591,116069
2020-08-26 22:59:00,,2020-08-26,206,Greenland,56785,14,0.0,,,14,0.0,0,,247,,6591,116069
2020-08-27 23:00:00,,2020-08-27,206,Greenland,56785,14,0.0,,,14,0.0,0,,247,,6662,117320
2020-08-28 23:01:00,,2020-08-28,206,Greenland,56786,14,0.0,,,14,0.0,0,,247,,6662,117318
2020-08-29 12:29:00,,2020-08-29,206,Greenland,56786,14,0.0,,,14,0.0,0,,247,,6662,117318
2020-08-30 23:00:00,,2020-08-30,206,Greenland,56786,14,0.0,,,14,0.0,0,,247,,6727,118462
2020-08-31 18:58:00,,2020-08-31,206,Greenland,56787,14,0.0,,,14,0.0,0,,247,,6727,118460
2020-09-01 23:00:00,,2020-09-01,206,Greenland,56787,14,0.0,,,14,0.0,0,,247,,6727,118460
2020-09-02 23:01:00,,2020-09-02,206,Greenland,56787,14,0.0,,,14,0.0,0,,247,,6727,118460
2020-09-03 23:01:00,,2020-09-03,206,Greenland,56787,14,0.0,,,14,0.0,0,,247,,6946,122317
2020-09-04 07:01:00,,2020-09-04,206,Greenland,56788,14,0.0,,,14,0.0,0,,247,,6946,122315
2020-09-05 23:31:00,,2020-09-05,206,Greenland,56788,14,0.0,,,14,0.0,0,,247,,6946,122315
2020-09-06 18:30:00,,2020-09-06,206,Greenland,56788,14,0.0,,,14,0.0,0,,247,,6946,122315
