scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,156,Lesotho,2143711,718,,19,,173,,526,,335,9.0,8630,4026
2020-08-08,20:00:00,,156,Lesotho,2143989,742,24.0,23,4.0,175,2.0,544,,346,11.0,8771,4091
2020-08-12,20:00:00,,156,Lesotho,2144174,781,39.0,24,1.0,175,0.0,582,,364,11.0,8771,4091
2020-08-16,20:00:00,,156,Lesotho,2144360,903,122.0,25,1.0,271,96.0,607,,421,12.0,11097,5175
2020-08-17,20:00:00,,156,Lesotho,2144406,946,43.0,25,0.0,271,0.0,650,,441,12.0,11097,5175
2020-08-18,20:00:00,,156,Lesotho,2144452,946,0.0,30,5.0,271,0.0,645,,441,14.0,11097,5175
2020-08-19,20:00:00,,156,Lesotho,2144499,946,0.0,30,0.0,271,0.0,645,,441,14.0,11097,5175
2020-08-20,17:53:00,,156,Lesotho,2144545,946,0.0,30,0.0,423,152.0,493,,441,14.0,12033,5611
2020-08-23,21:09:00,,156,Lesotho,2144684,1015,69.0,30,0.0,472,49.0,513,,473,14.0,13330,6215
2020-08-24,17:10:00,,156,Lesotho,2144730,1015,0.0,30,0.0,472,0.0,513,,473,14.0,13330,6215
2020-08-25,23:00:00,,156,Lesotho,2144777,1049,34.0,30,0.0,472,0.0,547,,489,14.0,13330,6215
2020-08-26,22:59:00,,156,Lesotho,2144823,1049,0.0,30,0.0,472,0.0,547,,489,14.0,13330,6215
2020-08-27,23:00:00,,156,Lesotho,2144869,1051,2.0,31,1.0,526,54.0,494,,490,14.0,15023,7004
2020-08-28,23:01:00,,156,Lesotho,2144916,1051,0.0,31,0.0,526,0.0,494,,490,14.0,15023,7004
2020-08-29,12:29:00,,156,Lesotho,2144962,1051,0.0,31,0.0,526,0.0,494,,490,14.0,15023,7004
2020-08-30,23:00:00,,156,Lesotho,2145008,1085,34.0,31,0.0,528,2.0,526,,506,14.0,15632,7288
2020-08-31,18:58:00,,156,Lesotho,2145055,1085,0.0,31,0.0,528,0.0,526,,506,14.0,15632,7287
2020-09-01,23:00:00,,156,Lesotho,2145101,1085,0.0,31,0.0,528,0.0,526,,506,14.0,15632,7287
2020-09-02,23:01:00,,156,Lesotho,2145147,1085,0.0,31,0.0,528,0.0,526,,506,14.0,15632,7287
2020-09-03,23:01:00,,156,Lesotho,2145194,1085,0.0,31,0.0,528,0.0,526,,506,14.0,15632,7287
2020-09-04,07:01:00,,156,Lesotho,2145240,1085,0.0,31,0.0,528,0.0,526,,506,14.0,15632,7287
2020-09-05,23:31:00,,156,Lesotho,2145286,1148,63.0,31,0.0,528,0.0,589,,535,14.0,15632,7287
2020-09-06,18:30:00,,156,Lesotho,2145333,1148,0.0,31,0.0,528,0.0,589,,535,14.0,15632,7287
2020-09-07,23:39:00,,156,Lesotho,2145379,1148,0.0,31,0.0,528,0.0,589,,535,14.0,15632,7286
2020-09-08,22:10:00,,156,Lesotho,2145425,1148,0.0,31,0.0,528,0.0,589,,535,14.0,15632,7286
2020-09-10,22:01:00,,156,Lesotho,2145518,1164,16.0,31,0.0,528,0.0,605,,543,14.0,15632,7286
2020-09-11,22:00:00,,156,Lesotho,2145564,1164,0.0,31,0.0,528,0.0,605,,543,14.0,15632,7286
2020-09-12,22:22:00,,156,Lesotho,2145611,1245,81.0,33,2.0,528,0.0,684,,580,15.0,15632,7286
2020-09-13,22:01:00,,156,Lesotho,2145657,1245,0.0,33,0.0,528,0.0,684,,580,15.0,15632,7285
2020-09-14,22:04:00,,156,Lesotho,2145703,1245,0.0,33,0.0,528,0.0,684,,580,15.0,15632,7285
2020-09-15,21:00:00,,156,Lesotho,2145750,1245,0.0,33,0.0,528,0.0,684,,580,15.0,15632,7285
2020-09-16,21:01:00,,156,Lesotho,2145796,1327,82.0,33,0.0,687,159.0,607,,618,15.0,17261,8044
2020-09-18,20:01:00,,156,Lesotho,2145889,1327,0.0,33,0.0,687,0.0,607,,618,15.0,17261,8044
2020-09-19,21:00:00,,156,Lesotho,2145935,1390,63.0,33,0.0,754,67.0,603,,648,15.0,17631,8216
2020-09-20,22:31:00,,156,Lesotho,2145981,1390,0.0,33,0.0,754,0.0,603,,648,15.0,17631,8216
2020-09-21,21:01:00,,156,Lesotho,2146028,1424,34.0,33,0.0,754,0.0,637,,664,15.0,17865,8325
2020-09-22,21:01:00,,156,Lesotho,2146074,1424,0.0,33,0.0,754,0.0,637,,664,15.0,17865,8325
2020-09-23,19:58:00,,156,Lesotho,2146121,1424,0.0,33,0.0,754,0.0,637,,664,15.0,17865,8324
2020-09-24,21:00:00,,156,Lesotho,2146167,1554,130.0,35,2.0,782,28.0,737,,724,16.0,18216,8488
2020-09-25,21:00:00,,156,Lesotho,2146213,1558,4.0,35,0.0,797,15.0,726,,726,16.0,18322,8537
2020-09-26,21:00:00,,156,Lesotho,2146260,1558,0.0,35,0.0,797,0.0,726,,726,16.0,18322,8537
2020-09-27,22:45:00,,156,Lesotho,2146306,1558,0.0,35,0.0,797,0.0,726,,726,16.0,18322,8537
2020-09-28,22:00:00,,156,Lesotho,2146352,1565,7.0,35,0.0,822,25.0,708,,729,16.0,18506,8622
2020-09-29,21:35:00,,156,Lesotho,2146399,1565,0.0,35,0.0,822,0.0,708,,729,16.0,18506,8622
2020-09-30,22:00:00,,156,Lesotho,2146445,1595,30.0,36,1.0,873,51.0,686,,743,17.0,18610,8670
2020-10-01,21:31:00,,156,Lesotho,2146491,1639,44.0,38,2.0,874,1.0,727,,764,18.0,18900,8805
2020-10-02,22:36:00,,156,Lesotho,2146538,1680,41.0,39,1.0,926,52.0,715,,783,18.0,19169,8930
2020-10-03,22:24:00,,156,Lesotho,2146584,1680,0.0,39,0.0,926,0.0,715,,783,18.0,19169,8930
2020-10-04,21:01:00,,156,Lesotho,2146630,1683,3.0,39,0.0,926,0.0,718,,784,18.0,19428,9050
2020-10-05,22:13:00,,156,Lesotho,2146677,1683,0.0,39,0.0,926,0.0,718,,784,18.0,19428,9050
2020-10-06,23:01:00,,156,Lesotho,2146723,1683,0.0,39,0.0,926,0.0,718,,784,18.0,19428,9050
2020-10-07,23:01:00,,156,Lesotho,2146769,1767,84.0,40,1.0,926,0.0,801,,823,19.0,19952,9294
2020-10-08,23:59:00,,156,Lesotho,2146816,1786,19.0,41,1.0,926,0.0,819,,832,19.0,20246,9431
2020-10-09,23:00:00,,156,Lesotho,2146862,1800,14.0,42,1.0,926,0.0,832,,838,20.0,20692,9638
2020-10-10,23:00:00,,156,Lesotho,2146908,1800,0.0,42,0.0,926,0.0,832,,838,20.0,20692,9638
2020-10-12,23:10:00,,156,Lesotho,2147001,1805,5.0,42,0.0,961,35.0,802,,841,20.0,20909,9739
2020-10-13,23:01:00,,156,Lesotho,2147047,1822,17.0,42,0.0,961,0.0,819,,849,20.0,21103,9829
2020-10-14,23:01:00,,156,Lesotho,2147094,1833,11.0,42,0.0,961,0.0,830,,854,20.0,21291,9916
2020-10-15,14:09:00,11:06:00,156,Lesotho,2147140,1833,0.0,42,0.0,961,0.0,830,,854,20.0,21291,9916
2020-10-16,22:08:00,19:06:00,156,Lesotho,2147186,1833,0.0,42,0.0,961,0.0,830,,854,20.0,21291,9916
2020-10-17,23:01:00,19:58:00,156,Lesotho,2147233,1833,0.0,42,0.0,961,0.0,830,,854,20.0,21291,9916
2020-10-18,22:05:00,19:03:00,156,Lesotho,2147279,1833,0.0,42,0.0,961,0.0,830,,854,20.0,21291,9915
2020-10-19,22:05:00,18:59:00,156,Lesotho,2147325,1833,0.0,42,0.0,961,0.0,830,,854,20.0,21291,9915
2020-10-20,22:05:00,19:04:00,156,Lesotho,2147372,1918,85.0,43,1.0,961,0.0,914,,893,20.0,21954,10224
2020-10-21,22:05:00,19:03:00,156,Lesotho,2147418,1918,0.0,43,0.0,961,0.0,914,,893,20.0,21954,10223
2020-10-22,22:05:00,19:04:00,156,Lesotho,2147464,1923,5.0,43,0.0,961,0.0,919,,895,20.0,22105,10294
2020-10-23,22:05:00,19:02:00,156,Lesotho,2147511,1934,11.0,43,0.0,961,0.0,930,,901,20.0,22200,10338
2020-10-24,23:41:00,20:40:00,156,Lesotho,2147557,1940,6.0,43,0.0,970,9.0,927,,903,20.0,22264,10367
2020-10-25,23:00:00,20:58:00,156,Lesotho,2147603,1940,0.0,43,0.0,970,0.0,927,,903,20.0,22264,10367
2020-10-26,23:00:00,20:56:00,156,Lesotho,2147650,1943,3.0,43,0.0,975,5.0,925,,905,20.0,22340,10402
2020-10-27,23:00:00,20:58:00,156,Lesotho,2147696,1947,4.0,43,0.0,975,0.0,929,,907,20.0,22451,10454
2020-10-28,23:00:00,20:58:00,156,Lesotho,2147742,1947,0.0,43,0.0,975,0.0,929,,907,20.0,22451,10453
2020-10-29,23:00:00,20:57:00,156,Lesotho,2147789,1947,0.0,43,0.0,975,0.0,929,,907,20.0,22451,10453
2020-10-30,23:00:00,20:58:00,156,Lesotho,2147835,1953,6.0,44,1.0,975,0.0,934,,909,20.0,22645,10543
2020-10-31,23:00:00,20:59:00,156,Lesotho,2147881,1953,0.0,44,0.0,975,0.0,934,,909,20.0,22645,10543
