Scrap_time,Update_time_GMT,Date,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02 20:00:00,,2020-08-02,127,South Sudan,11204779,2352,,46,,1175,,1131,,210,4.0,12044,1075
2020-08-08 20:00:00,,2020-08-08,127,South Sudan,11206930,2463,111.0,47,1.0,1175,0.0,1241,,220,4.0,12044,1075
2020-08-12 20:00:00,,2020-08-12,127,South Sudan,11208364,2472,9.0,47,0.0,1175,0.0,1250,,221,4.0,12044,1075
2020-08-16 20:00:00,,2020-08-16,127,South Sudan,11209798,2488,16.0,47,0.0,1175,0.0,1266,,222,4.0,12044,1074
2020-08-17 20:00:00,,2020-08-17,127,South Sudan,11210156,2489,1.0,47,0.0,1175,0.0,1267,,222,4.0,12044,1074
2020-08-18 20:00:00,,2020-08-18,127,South Sudan,11210515,2490,1.0,47,0.0,1175,0.0,1268,,222,4.0,12044,1074
2020-08-19 20:00:00,,2020-08-19,127,South Sudan,11210873,2490,0.0,47,0.0,1175,0.0,1268,,222,4.0,12044,1074
2020-08-20 17:53:00,,2020-08-20,127,South Sudan,11211232,2494,4.0,47,0.0,1290,115.0,1157,,222,4.0,12044,1074
2020-08-23 21:09:00,,2020-08-23,127,South Sudan,11212307,2499,5.0,47,0.0,1290,0.0,1162,,223,4.0,12044,1074
2020-08-24 17:10:00,,2020-08-24,127,South Sudan,11212666,2499,0.0,47,0.0,1290,0.0,1162,,223,4.0,12044,1074
2020-08-25 23:00:00,,2020-08-25,127,South Sudan,11213024,2507,8.0,47,0.0,1290,0.0,1170,,224,4.0,12044,1074
2020-08-26 22:59:00,,2020-08-26,127,South Sudan,11213382,2510,3.0,47,0.0,1290,0.0,1173,,224,4.0,12044,1074
2020-08-27 23:00:00,,2020-08-27,127,South Sudan,11213741,2514,4.0,47,0.0,1290,0.0,1177,,224,4.0,12044,1074
2020-08-28 23:01:00,,2020-08-28,127,South Sudan,11214099,2518,4.0,47,0.0,1290,0.0,1181,,225,4.0,12044,1074
2020-08-29 12:29:00,,2020-08-29,127,South Sudan,11214458,2518,0.0,47,0.0,1290,0.0,1181,,225,4.0,12044,1074
2020-08-30 23:00:00,,2020-08-30,127,South Sudan,11214816,2519,1.0,47,0.0,1290,0.0,1182,,225,4.0,12044,1074
2020-08-31 18:58:00,,2020-08-31,127,South Sudan,11215175,2519,0.0,47,0.0,1290,0.0,1182,,225,4.0,12044,1074
2020-09-01 23:00:00,,2020-09-01,127,South Sudan,11215533,2527,8.0,47,0.0,1290,0.0,1190,,225,4.0,12044,1074
2020-09-02 23:01:00,,2020-09-02,127,South Sudan,11215892,2532,5.0,47,0.0,1290,0.0,1195,,226,4.0,12044,1074
2020-09-03 23:01:00,,2020-09-03,127,South Sudan,11216250,2533,1.0,47,0.0,1290,0.0,1196,,226,4.0,12044,1074
2020-09-04 07:01:00,,2020-09-04,127,South Sudan,11216609,2533,0.0,47,0.0,1290,0.0,1196,,226,4.0,12044,1074
2020-09-05 23:31:00,,2020-09-05,127,South Sudan,11216967,2544,11.0,48,1.0,1290,0.0,1206,,227,4.0,12044,1074
2020-09-06 18:30:00,,2020-09-06,127,South Sudan,11217326,2544,0.0,48,0.0,1290,0.0,1206,,227,4.0,12044,1074
2020-09-07 23:39:00,,2020-09-07,127,South Sudan,11217684,2545,1.0,48,0.0,1290,0.0,1207,,227,4.0,12044,1074
2020-09-08 22:10:00,,2020-09-08,127,South Sudan,11218042,2552,7.0,49,1.0,1290,0.0,1213,,227,4.0,12044,1074
2020-09-10 22:01:00,,2020-09-10,127,South Sudan,11218759,2555,3.0,49,0.0,1290,0.0,1216,,228,4.0,12044,1074
2020-09-11 22:00:00,,2020-09-11,127,South Sudan,11219118,2555,0.0,49,0.0,1290,0.0,1216,,228,4.0,12044,1074
2020-09-12 22:22:00,,2020-09-12,127,South Sudan,11219476,2578,23.0,49,0.0,1290,0.0,1239,,230,4.0,12044,1073
2020-09-13 22:01:00,,2020-09-13,127,South Sudan,11219835,2578,0.0,49,0.0,1290,0.0,1239,,230,4.0,12044,1073
2020-09-14 22:04:00,,2020-09-14,127,South Sudan,11220193,2587,9.0,49,0.0,1290,0.0,1248,,231,4.0,12044,1073
2020-09-15 21:00:00,,2020-09-15,127,South Sudan,11220552,2592,5.0,49,0.0,1290,0.0,1253,,231,4.0,12044,1073
2020-09-16 21:01:00,,2020-09-16,127,South Sudan,11220910,2594,2.0,49,0.0,1290,0.0,1255,,231,4.0,12044,1073
2020-09-18 20:01:00,,2020-09-18,127,South Sudan,11221627,2599,5.0,49,0.0,1290,0.0,1260,,232,4.0,12044,1073
2020-09-19 21:00:00,,2020-09-19,127,South Sudan,11221985,2642,43.0,49,0.0,1290,0.0,1303,,235,4.0,12044,1073
2020-09-20 22:31:00,,2020-09-20,127,South Sudan,11222344,2642,0.0,49,0.0,1290,0.0,1303,,235,4.0,12044,1073
2020-09-21 21:01:00,,2020-09-21,127,South Sudan,11222702,2649,7.0,49,0.0,1290,0.0,1310,,236,4.0,12044,1073
2020-09-22 21:01:00,,2020-09-22,127,South Sudan,11223061,2649,0.0,49,0.0,1290,0.0,1310,,236,4.0,12044,1073
2020-09-23 19:58:00,,2020-09-23,127,South Sudan,11223419,2660,11.0,49,0.0,1290,0.0,1321,,237,4.0,12044,1073
2020-09-24 21:00:00,,2020-09-24,127,South Sudan,11223778,2664,4.0,49,0.0,1290,0.0,1325,,237,4.0,12044,1073
2020-09-25 21:00:00,,2020-09-25,127,South Sudan,11224136,2669,5.0,49,0.0,1290,0.0,1330,,238,4.0,12044,1073
2020-09-26 21:00:00,,2020-09-26,127,South Sudan,11224495,2676,7.0,49,0.0,1290,0.0,1337,,238,4.0,12044,1073
