Scrap_time,Update_time_GMT,Date,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02 20:00:00,,2020-08-02,96,Finland,5541487,7453,,329,,6950,,174,,1345,59.0,366171,66078.0
2020-08-08 20:00:00,,2020-08-08,96,Finland,5541628,7568,115.0,331,2.0,6980,30.0,257,,1366,60.0,407984,73622.0
2020-08-12 20:00:00,,2020-08-12,96,Finland,5541722,7642,74.0,333,2.0,6980,0.0,329,1.0,1379,60.0,431318,77831.0
2020-08-16 20:00:00,,2020-08-16,96,Finland,5541815,7731,89.0,333,0.0,7050,70.0,348,,1395,60.0,467080,84283.0
2020-08-17 20:00:00,,2020-08-17,96,Finland,5541839,7752,21.0,334,1.0,7050,0.0,368,,1399,60.0,470300,84864.0
2020-08-18 20:00:00,,2020-08-18,96,Finland,5541862,7776,24.0,334,0.0,7050,0.0,392,,1403,60.0,500021,90226.0
2020-08-19 20:00:00,,2020-08-19,96,Finland,5541886,7805,29.0,334,0.0,7050,0.0,421,,1408,60.0,510428,92104.0
2020-08-20 17:53:00,,2020-08-20,96,Finland,5541909,7842,37.0,334,0.0,7100,50.0,408,,1415,60.0,517936,93458.0
2020-08-23 21:09:00,,2020-08-23,96,Finland,5541979,7920,78.0,334,0.0,7100,0.0,486,,1429,60.0,549303,99117.0
2020-08-24 17:10:00,,2020-08-24,96,Finland,5542003,7938,18.0,335,1.0,7100,0.0,503,1.0,1432,60.0,551715,99552.0
2020-08-25 23:00:00,,2020-08-25,96,Finland,5542026,7981,43.0,335,0.0,7100,0.0,546,1.0,1440,60.0,574141,103598.0
2020-08-26 22:59:00,,2020-08-26,96,Finland,5542050,8002,21.0,335,0.0,7200,100.0,467,1.0,1444,60.0,596091,107558.0
2020-08-27 23:00:00,,2020-08-27,96,Finland,5542073,8019,17.0,335,0.0,7200,0.0,484,1.0,1447,60.0,605929,109333.0
2020-08-28 23:01:00,,2020-08-28,96,Finland,5542097,8042,23.0,335,0.0,7200,0.0,507,1.0,1451,60.0,615789,111111.0
2020-08-29 12:29:00,,2020-08-29,96,Finland,5542120,8042,0.0,335,0.0,7200,0.0,507,1.0,1451,60.0,615789,111111.0
