scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,157,Chad,16461500,936,,75,,813,,48,,57,5.0,,
2020-08-08,20:00:00,,157,Chad,16469258,942,6.0,76,1.0,838,25.0,28,,57,5.0,,
2020-08-12,20:00:00,,157,Chad,16474431,946,4.0,76,0.0,859,21.0,11,,57,5.0,,
2020-08-16,20:00:00,,157,Chad,16479603,952,6.0,76,0.0,864,5.0,12,,58,5.0,,
2020-08-17,20:00:00,,157,Chad,16480896,956,4.0,76,0.0,865,1.0,15,,58,5.0,,
2020-08-18,20:00:00,,157,Chad,16482189,959,3.0,76,0.0,865,0.0,18,,58,5.0,,
2020-08-19,20:00:00,,157,Chad,16483482,970,11.0,76,0.0,865,0.0,29,,59,5.0,,
2020-08-20,17:53:00,,157,Chad,16484775,971,1.0,76,0.0,868,3.0,27,,59,5.0,,
2020-08-23,21:09:00,,157,Chad,16488654,986,15.0,76,0.0,870,2.0,40,,60,5.0,,
2020-08-24,17:10:00,,157,Chad,16489947,986,0.0,76,0.0,870,0.0,40,,60,5.0,,
2020-08-25,23:00:00,,157,Chad,16491240,995,9.0,77,1.0,871,1.0,47,,60,5.0,,
2020-08-26,22:59:00,,157,Chad,16492533,995,0.0,77,0.0,871,0.0,47,,60,5.0,,
2020-08-27,23:00:00,,157,Chad,16493826,998,3.0,77,0.0,873,2.0,48,,61,5.0,,
2020-08-28,23:01:00,,157,Chad,16495119,1004,6.0,77,0.0,875,2.0,52,,61,5.0,,
2020-08-29,12:29:00,,157,Chad,16496412,1008,4.0,77,0.0,878,3.0,53,,61,5.0,,
2020-08-30,23:00:00,,157,Chad,16497705,1012,4.0,77,0.0,878,0.0,57,,61,5.0,,
2020-08-31,18:58:00,,157,Chad,16498998,1012,0.0,77,0.0,878,0.0,57,,61,5.0,,
2020-09-01,23:00:00,,157,Chad,16500291,1013,1.0,77,0.0,880,2.0,56,,61,5.0,,
2020-09-02,23:01:00,,157,Chad,16501584,1017,4.0,77,0.0,884,4.0,56,,62,5.0,,
2020-09-03,23:01:00,,157,Chad,16502877,1017,0.0,77,0.0,904,20.0,36,,62,5.0,,
2020-09-04,07:01:00,,157,Chad,16504170,1018,1.0,77,0.0,908,4.0,33,,62,5.0,,
2020-09-05,23:31:00,,157,Chad,16505463,1034,16.0,77,0.0,914,6.0,43,,63,5.0,,
