scrap_date,scrap_time,update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,68,Australia,25524823,17923,,208,,10420,,7295,46.0,702,8.0,4359636,170800
2020-08-08,20:00:00,,68,Australia,25529672,20698,2775.0,278,70.0,11320,900.0,9100,53.0,811,11.0,4764223,186615
2020-08-12,20:00:00,,68,Australia,25532905,22127,1429.0,352,74.0,12393,1073.0,9382,51.0,867,14.0,5030086,197004
2020-08-16,20:00:00,,68,Australia,25536137,23287,1160.0,396,44.0,13634,1241.0,9257,47.0,912,16.0,5292922,207272
2020-08-17,20:00:00,,68,Australia,25536945,23559,272.0,421,25.0,14539,905.0,8599,51.0,923,16.0,5335526,208934
2020-08-18,20:00:00,,68,Australia,25537753,23773,214.0,438,17.0,14929,390.0,8406,52.0,931,17.0,5380816,210700
2020-08-19,20:00:00,,68,Australia,25538561,23993,220.0,450,12.0,15246,317.0,8297,52.0,939,18.0,5439315,212984
2020-08-20,17:53:00,,68,Australia,25539369,24236,243.0,463,13.0,17854,2608.0,5919,51.0,949,18.0,5507605,215652
2020-08-23,21:09:00,,68,Australia,25541794,24812,576.0,502,39.0,19233,1379.0,5077,39.0,971,20.0,5706078,223402
2020-08-24,17:10:00,,68,Australia,25542602,24916,104.0,517,15.0,19603,370.0,4796,38.0,975,20.0,5757173,225395
2020-08-25,23:00:00,,68,Australia,25543410,25053,137.0,525,8.0,19603,0.0,4925,42.0,981,21.0,5789846,226667
2020-08-26,22:59:00,,68,Australia,25544218,25204,151.0,549,24.0,20100,497.0,4555,46.0,987,21.0,5886412,230440
2020-08-27,23:00:00,,68,Australia,25545026,25322,118.0,572,23.0,20366,266.0,4384,35.0,991,22.0,5972680,233810
2020-08-28,23:01:00,,68,Australia,25545834,25448,126.0,583,11.0,20633,267.0,4232,35.0,996,23.0,6052236,236917
2020-08-29,12:29:00,,68,Australia,25546642,25547,99.0,600,17.0,20856,223.0,4091,32.0,1000,23.0,6114456,239345
2020-08-30,23:00:00,,68,Australia,25547450,25670,123.0,611,11.0,21116,260.0,3943,31.0,1005,24.0,6167592,241417
2020-08-31,18:58:00,,68,Australia,25548259,25746,76.0,652,41.0,21350,234.0,3744,27.0,1008,26.0,6214006,243226
2020-09-01,23:00:00,,68,Australia,25549067,25819,73.0,657,5.0,21503,153.0,3659,26.0,1011,26.0,6255408,244839
2020-09-02,23:01:00,,68,Australia,25549875,25923,104.0,663,6.0,21690,187.0,3570,23.0,1015,26.0,6319795,247351
2020-09-03,23:01:00,,68,Australia,25550683,26049,126.0,678,15.0,21912,222.0,3459,26.0,1020,27.0,6445984,252282
2020-09-04,07:01:00,,68,Australia,25551491,26138,89.0,737,59.0,21914,2.0,3487,27.0,1023,29.0,6493286,254126
2020-09-05,23:31:00,,68,Australia,25552299,26207,69.0,748,11.0,22330,416.0,3129,27.0,1026,29.0,6590788,257933
2020-09-06,18:30:00,,68,Australia,25553107,26278,71.0,753,5.0,22462,132.0,3063,26.0,1028,29.0,6654070,260402
2020-09-07,23:39:00,,68,Australia,25553915,26322,44.0,762,9.0,22603,141.0,2957,32.0,1030,30.0,6691350,261852
2020-09-08,22:10:00,,68,Australia,25554723,26374,52.0,770,8.0,22724,121.0,2880,29.0,1032,30.0,6725558,263183
2020-09-09,22:01:00,,68,Australia,25555531,26465,91.0,781,11.0,22863,139.0,2821,26.0,1036,31.0,6788377,265632
2020-09-10,22:01:00,,68,Australia,25556340,26513,48.0,788,7.0,23036,173.0,2689,23.0,1037,31.0,6849431,268013
2020-09-11,22:00:00,,68,Australia,25557148,26565,52.0,797,9.0,23217,181.0,2551,18.0,1039,31.0,6927498,271059
2020-09-12,22:22:00,,68,Australia,25557956,26607,42.0,803,6.0,23329,112.0,2475,15.0,1041,31.0,6970482,272732
2020-09-13,22:01:00,,68,Australia,25558764,26651,44.0,810,7.0,23462,133.0,2379,17.0,1043,32.0,7015645,274491
2020-09-14,22:04:00,,68,Australia,25559572,26692,41.0,816,6.0,23578,116.0,2298,18.0,1044,32.0,7037277,275328
2020-09-15,21:00:00,,68,Australia,25560380,26739,47.0,816,0.0,23652,74.0,2271,17.0,1046,32.0,7069607,276585
2020-09-16,21:01:00,,68,Australia,25561188,26779,40.0,824,8.0,23726,74.0,2229,16.0,1048,32.0,7120024,278548
2020-09-18,20:01:00,,68,Australia,25562804,26861,82.0,837,13.0,23855,129.0,2169,15.0,1051,33.0,7224163,282604
2020-09-19,21:00:00,,68,Australia,25563612,26885,24.0,844,7.0,23962,107.0,2079,12.0,1052,33.0,7261973,284075
2020-09-20,22:31:00,,68,Australia,25564421,26898,13.0,849,5.0,24062,100.0,1987,10.0,1052,33.0,7295727,285386
2020-09-21,21:01:00,,68,Australia,25565229,26912,14.0,851,2.0,24063,1.0,1998,8.0,1053,33.0,7313889,286087
2020-09-22,21:01:00,,68,Australia,25566037,26942,30.0,854,3.0,24218,155.0,1870,11.0,1054,33.0,7351283,287541
2020-09-23,19:58:00,,68,Australia,25566845,26974,32.0,859,5.0,24416,198.0,1699,11.0,1055,34.0,7394818,289235
2020-09-24,21:00:00,,68,Australia,25567653,26980,6.0,861,2.0,24448,32.0,1671,10.0,1055,34.0,7438033,290916
2020-09-25,21:00:00,,68,Australia,25568461,27000,20.0,869,8.0,24523,75.0,1608,10.0,1056,34.0,7479815,292541
2020-09-26,21:00:00,,68,Australia,25569269,27016,16.0,870,1.0,24571,48.0,1575,12.0,1057,34.0,7516817,293979
2020-09-27,22:45:00,,68,Australia,25570077,27040,24.0,872,2.0,24573,2.0,1595,12.0,1057,34.0,7543756,295023
2020-09-28,22:00:00,,68,Australia,25570885,27044,4.0,875,3.0,24676,103.0,1493,11.0,1058,34.0,7562779,295757
2020-09-29,21:35:00,,68,Australia,25571694,27055,11.0,882,7.0,24676,0.0,1497,8.0,1058,34.0,7577929,296341
2020-09-30,22:00:00,,68,Australia,25572502,27078,23.0,886,4.0,24754,78.0,1438,9.0,1059,35.0,7627633,298275
2020-10-01,21:31:00,,68,Australia,25573310,27096,18.0,888,2.0,24784,30.0,1424,9.0,1060,35.0,7678498,300254
2020-10-02,22:36:00,,68,Australia,25574118,27109,13.0,890,2.0,24788,4.0,1431,6.0,1060,35.0,7696270,300940
2020-10-03,22:24:00,,68,Australia,25574926,27121,12.0,893,3.0,24850,62.0,1378,6.0,1060,35.0,7743200,302765
2020-10-04,21:01:00,,68,Australia,25575734,27136,15.0,894,1.0,24866,16.0,1376,6.0,1061,35.0,7772438,303899
2020-10-05,22:13:00,,68,Australia,25576542,27149,13.0,894,0.0,24892,26.0,1363,6.0,1061,35.0,7794939,304769
2020-10-06,23:01:00,,68,Australia,25577350,27173,24.0,895,1.0,24892,0.0,1386,4.0,1062,35.0,7812955,305464
2020-10-07,23:01:00,,68,Australia,25578158,27182,9.0,897,2.0,24937,45.0,1348,6.0,1063,35.0,7851776,306972
2020-10-08,23:59:00,,68,Australia,25578966,27204,22.0,897,0.0,24939,2.0,1368,3.0,1064,35.0,7887217,308348
2020-10-09,23:00:00,,68,Australia,25579775,27229,25.0,897,0.0,24972,33.0,1360,4.0,1064,35.0,7935463,310224
2020-10-10,23:00:00,,68,Australia,25580583,27244,15.0,897,0.0,24987,15.0,1360,2.0,1065,35.0,7973062,311684
2020-10-12,23:10:00,,68,Australia,25582199,27285,41.0,898,1.0,24998,11.0,1389,1.0,1067,35.0,8015502,313323
2020-10-13,23:01:00,,68,Australia,25583007,27316,31.0,899,1.0,25037,39.0,1380,1.0,1068,35.0,8061952,315129
2020-10-14,23:01:00,,68,Australia,25583815,27337,21.0,904,5.0,25041,4.0,1392,1.0,1069,35.0,8100695,316634
2020-10-15,14:09:00,11:06:00,68,Australia,25584623,27357,20.0,904,0.0,25047,6.0,1406,1.0,1069,35.0,8146653,318420
2020-10-16,22:08:00,19:06:00,68,Australia,25585431,27371,14.0,904,0.0,25062,15.0,1405,1.0,1070,35.0,8190626,320129
2020-10-17,23:01:00,19:58:00,68,Australia,25586239,27383,12.0,904,0.0,25098,36.0,1381,,1070,35.0,8238372,321984
2020-10-18,22:05:00,19:03:00,68,Australia,25587048,27391,8.0,904,0.0,25108,10.0,1379,1.0,1071,35.0,8275624,323430
2020-10-19,22:05:00,18:59:00,68,Australia,25587856,27399,8.0,905,1.0,25108,0.0,1386,1.0,1071,35.0,8295738,324206
2020-10-20,22:05:00,19:04:00,68,Australia,25588664,27429,30.0,905,0.0,25126,18.0,1398,1.0,1072,35.0,8332247,325623
2020-10-21,22:05:00,19:03:00,68,Australia,25589472,27444,15.0,905,0.0,25147,21.0,1392,1.0,1072,35.0,8376928,327358
2020-10-22,22:05:00,19:04:00,68,Australia,25590280,27466,22.0,905,0.0,25159,12.0,1402,,1073,35.0,8420326,329044
2020-10-23,22:05:00,19:02:00,68,Australia,25591088,27484,18.0,905,0.0,25169,10.0,1410,,1074,35.0,8466557,330840
2020-10-24,23:41:00,20:40:00,68,Australia,25591896,27499,15.0,905,0.0,25181,12.0,1413,,1075,35.0,8504425,332309
2020-10-25,23:00:00,20:58:00,68,Australia,25592704,27513,14.0,905,0.0,25181,0.0,1427,,1075,35.0,8505211,332330
2020-10-26,23:00:00,20:56:00,68,Australia,25593512,27528,15.0,905,0.0,25199,18.0,1424,,1076,35.0,8566579,334717
2020-10-27,23:00:00,20:58:00,68,Australia,25594320,27541,13.0,905,0.0,25213,14.0,1423,1.0,1076,35.0,8597763,335925
2020-10-28,23:00:00,20:58:00,68,Australia,25595129,27554,13.0,907,2.0,25225,12.0,1422,1.0,1077,35.0,8649001,337916
2020-10-29,23:00:00,20:57:00,68,Australia,25595937,27567,13.0,907,0.0,25236,11.0,1424,1.0,1077,35.0,8699951,339896
2020-10-30,23:00:00,20:58:00,68,Australia,25596745,27580,13.0,907,0.0,25240,4.0,1433,1.0,1077,35.0,8742009,341528
2020-10-31,23:00:00,20:59:00,68,Australia,25597553,27590,10.0,907,0.0,25324,84.0,1359,1.0,1078,35.0,8788422,343331
2020-11-01,23:00:00,20:59:00,68,Australia,25598361,27595,5.0,907,0.0,25336,12.0,1352,1.0,1078,35.0,8823000,344671
2020-11-02,23:00:00,20:57:00,68,Australia,25599169,27601,6.0,907,0.0,25350,14.0,1344,1.0,1078,35.0,8847285,345608
2020-11-03,23:00:00,20:59:00,68,Australia,25599977,27608,7.0,907,0.0,25356,6.0,1345,1.0,1078,35.0,8880755,346905
2020-11-04,23:00:00,20:57:00,68,Australia,25600785,27620,12.0,907,0.0,25394,38.0,1319,1.0,1079,35.0,8927332,348713
2020-11-05,23:00:00,20:59:00,68,Australia,25601593,27634,14.0,907,0.0,25420,26.0,1307,1.0,1079,35.0,8977142,350648
2020-11-06,23:00:00,20:58:00,68,Australia,25602402,27645,11.0,907,0.0,25428,8.0,1310,1.0,1080,35.0,9022562,352411
2020-11-07,23:00:00,20:57:00,68,Australia,25603210,27652,7.0,907,0.0,25440,12.0,1305,1.0,1080,35.0,9062355,353954
2020-11-08,23:00:00,20:49:00,68,Australia,25604018,27658,6.0,907,0.0,25451,11.0,1300,1.0,1080,35.0,9097329,355309
2020-11-09,23:00:00,20:59:00,68,Australia,25604826,27668,10.0,907,0.0,25454,3.0,1307,1.0,1081,35.0,9126840,356450
2020-11-10,23:00:00,20:59:00,68,Australia,25605634,27678,10.0,907,0.0,25457,3.0,1314,,1081,35.0,9160213,357742
2020-11-11,23:00:00,20:56:00,68,Australia,25606442,27686,8.0,907,0.0,25459,2.0,1320,,1081,35.0,9211706,359742
