Date,Scrap_time,Update_time_GMT,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1Mpop,Deaths_1Mpop,TotalTests,Tests_1Mpop
2020-08-02,20:00:00,,84,Zambia,18423068,6347,,170,,4493,,1684,,345,9.0,85560,4644
2020-08-08,20:00:00,,84,Zambia,18431541,7903,1556.0,203,33.0,6431,1938.0,1269,,429,11.0,92341,5010
2020-08-12,20:00:00,,84,Zambia,18437189,8275,372.0,241,38.0,7004,573.0,1030,,449,13.0,94811,5142
2020-08-16,20:00:00,,84,Zambia,18442838,9186,911.0,260,19.0,8065,1061.0,861,,498,14.0,98766,5355
2020-08-17,20:00:00,,84,Zambia,18444250,9839,653.0,264,4.0,8575,510.0,1000,,533,14.0,99835,5413
2020-08-18,20:00:00,,84,Zambia,18445662,9981,142.0,264,0.0,8776,201.0,941,,541,14.0,102178,5539
2020-08-19,20:00:00,,84,Zambia,18447074,9981,0.0,264,0.0,8776,0.0,941,,541,14.0,102178,5539
2020-08-20,17:53:00,,84,Zambia,18448487,10372,391.0,274,10.0,9126,350.0,972,,562,15.0,103023,5584
2020-08-23,21:09:00,,84,Zambia,18452723,11082,710.0,280,6.0,9942,816.0,860,,601,15.0,106449,5769
2020-08-24,17:10:00,,84,Zambia,18454135,11082,0.0,280,0.0,9942,0.0,860,,601,15.0,106449,5768
2020-08-25,23:00:00,,84,Zambia,18455547,11148,66.0,280,0.0,10208,266.0,660,,604,15.0,106795,5787
2020-08-26,22:59:00,,84,Zambia,18456959,11376,228.0,282,2.0,10693,485.0,401,,616,15.0,107446,5821
2020-08-27,23:00:00,,84,Zambia,18458372,11376,0.0,282,0.0,10693,0.0,401,,616,15.0,107446,5821
2020-08-28,23:01:00,,84,Zambia,18459784,11779,403.0,283,1.0,10945,252.0,551,,638,15.0,112184,6077
2020-08-29,12:29:00,,84,Zambia,18461196,11779,0.0,283,0.0,10945,0.0,551,,638,15.0,112184,6077
2020-08-30,23:00:00,,84,Zambia,18462608,12025,246.0,287,4.0,11454,509.0,284,,651,16.0,114401,6196
2020-08-31,18:58:00,,84,Zambia,18464020,12097,72.0,288,1.0,11469,15.0,340,,655,16.0,115570,6259
2020-09-01,23:00:00,,84,Zambia,18465432,12097,0.0,288,0.0,11469,0.0,340,,655,16.0,115570,6259
2020-09-02,23:01:00,,84,Zambia,18466845,12415,318.0,292,4.0,11494,25.0,629,,672,16.0,118490,6416
2020-09-03,23:01:00,,84,Zambia,18468257,12523,108.0,292,0.0,11562,68.0,669,,678,16.0,119567,6474
2020-09-04,07:01:00,,84,Zambia,18469669,12523,0.0,292,0.0,11562,0.0,669,,678,16.0,119567,6474
2020-09-05,23:31:00,,84,Zambia,18471081,12709,186.0,292,0.0,11668,106.0,749,,688,16.0,122234,6618
2020-09-06,18:30:00,,84,Zambia,18472493,12776,67.0,295,3.0,11674,6.0,807,,692,16.0,123346,6677
2020-09-07,23:39:00,,84,Zambia,18473905,12776,0.0,295,0.0,11674,0.0,807,,692,16.0,123346,6677
2020-09-08,22:10:00,,84,Zambia,18475317,12836,60.0,295,0.0,11748,74.0,793,,695,16.0,123346,6676
2020-09-09,22:01:00,,84,Zambia,18476730,13112,276.0,300,5.0,11839,91.0,973,,710,16.0,126138,6827
2020-09-10,22:01:00,,84,Zambia,18478142,13214,102.0,300,0.0,11899,60.0,1015,,715,16.0,127529,6902
2020-09-11,22:00:00,,84,Zambia,18479554,13323,109.0,306,6.0,11899,0.0,1118,,721,17.0,128662,6962
2020-09-12,22:22:00,,84,Zambia,18480966,13466,143.0,312,6.0,12007,108.0,1147,,729,17.0,130052,7037
2020-09-13,22:01:00,,84,Zambia,18482378,13539,73.0,312,0.0,12260,253.0,967,,733,17.0,131034,7090
2020-09-14,22:04:00,,84,Zambia,18483790,13720,181.0,320,8.0,12380,120.0,1020,,742,17.0,132642,7176
2020-09-15,21:00:00,,84,Zambia,18485203,13819,99.0,324,4.0,12590,210.0,905,,748,18.0,133389,7216
2020-09-16,21:01:00,,84,Zambia,18486615,13887,68.0,326,2.0,12869,279.0,692,,751,18.0,134236,7261
2020-09-18,20:01:00,,84,Zambia,18489439,13928,41.0,326,0.0,13029,160.0,573,,753,18.0,135021,7303
2020-09-19,21:00:00,,84,Zambia,18490851,14022,94.0,329,3.0,13207,178.0,486,,758,18.0,137017,7410
2020-09-20,22:31:00,,84,Zambia,18492263,14131,109.0,330,1.0,13365,158.0,436,,764,18.0,139948,7568
2020-09-21,21:01:00,,84,Zambia,18493676,14175,44.0,330,0.0,13365,0.0,480,,766,18.0,141492,7651
2020-09-22,21:01:00,,84,Zambia,18495088,14389,214.0,331,1.0,13629,264.0,429,,778,18.0,143184,7742
2020-09-23,19:58:00,,84,Zambia,18496500,14389,0.0,331,0.0,13629,0.0,429,,778,18.0,143184,7741
2020-09-24,21:00:00,,84,Zambia,18497912,14491,102.0,332,1.0,13643,14.0,516,,783,18.0,146329,7911
2020-09-25,21:00:00,,84,Zambia,18499324,14515,24.0,332,0.0,13643,0.0,540,,785,18.0,148066,8004
2020-09-26,21:00:00,,84,Zambia,18500736,14515,0.0,332,0.0,13643,0.0,540,,785,18.0,148066,8003
2020-09-27,22:45:00,,84,Zambia,18502148,14612,97.0,332,0.0,13727,84.0,553,,790,18.0,149728,8092
2020-09-28,22:00:00,,84,Zambia,18503561,14660,48.0,332,0.0,13821,94.0,507,,792,18.0,152555,8245
2020-09-29,21:35:00,,84,Zambia,18504973,14715,55.0,332,0.0,13937,116.0,446,,795,18.0,154214,8334
2020-09-30,22:00:00,,84,Zambia,18506385,14759,44.0,332,0.0,13959,22.0,468,,798,18.0,155551,8405
2020-10-01,21:31:00,,84,Zambia,18507797,14802,43.0,333,1.0,13961,2.0,508,,800,18.0,157173,8492
2020-10-02,22:36:00,,84,Zambia,18509209,14830,28.0,333,0.0,13980,19.0,517,,801,18.0,158496,8563
2020-10-03,22:24:00,,84,Zambia,18510621,14830,0.0,333,0.0,13980,0.0,517,,801,18.0,158496,8562
2020-10-04,21:01:00,,84,Zambia,18512034,14974,144.0,333,0.0,14094,114.0,547,,809,18.0,160387,8664
2020-10-05,22:13:00,,84,Zambia,18513446,15089,115.0,334,1.0,14306,212.0,449,,815,18.0,164951,8910
2020-10-06,23:01:00,,84,Zambia,18514858,15170,81.0,335,1.0,14313,7.0,522,,819,18.0,167185,9030
2020-10-07,23:01:00,,84,Zambia,18516270,15224,54.0,335,0.0,14342,29.0,547,,822,18.0,172435,9313
2020-10-08,23:59:00,,84,Zambia,18517682,15224,0.0,335,0.0,14342,0.0,547,,822,18.0,172435,9312
2020-10-09,23:00:00,,84,Zambia,18519094,15301,77.0,335,0.0,14365,23.0,601,,826,18.0,175435,9473
2020-10-10,23:00:00,,84,Zambia,18520506,15415,114.0,337,2.0,14541,176.0,537,,832,18.0,183146,9889
2020-10-12,23:10:00,,84,Zambia,18523331,15549,134.0,345,8.0,14682,141.0,522,,839,19.0,188804,10193
2020-10-13,23:01:00,,84,Zambia,18524743,15549,0.0,345,0.0,14682,0.0,522,,839,19.0,188804,10192
2020-10-14,23:01:00,,84,Zambia,18526155,15616,67.0,345,0.0,14850,168.0,421,,843,19.0,195873,10573
2020-10-15,14:09:00,11:06:00,84,Zambia,18527567,15616,0.0,345,0.0,14850,0.0,421,,843,19.0,195873,10572
2020-10-16,22:08:00,19:06:00,84,Zambia,18528979,15659,43.0,346,1.0,14899,49.0,414,,845,19.0,198402,10708
2020-10-17,23:01:00,19:58:00,84,Zambia,18530392,15789,130.0,346,0.0,14927,28.0,516,,852,19.0,205568,11094
2020-10-18,22:05:00,19:03:00,84,Zambia,18531804,15853,64.0,346,0.0,15005,78.0,502,,855,19.0,210107,11338
2020-10-19,22:05:00,18:59:00,84,Zambia,18533216,15897,44.0,346,0.0,15031,26.0,520,,858,19.0,212699,11477
2020-10-20,22:05:00,19:04:00,84,Zambia,18534628,15982,85.0,346,0.0,15038,7.0,598,,862,19.0,214749,11586
2020-10-21,22:05:00,19:03:00,84,Zambia,18536040,16000,18.0,346,0.0,15168,130.0,486,,863,19.0,218231,11773
2020-10-22,22:05:00,19:04:00,84,Zambia,18537452,16000,0.0,346,0.0,15168,0.0,486,,863,19.0,218231,11772
2020-10-23,22:05:00,19:02:00,84,Zambia,18538864,16095,95.0,346,0.0,15179,11.0,570,,868,19.0,225645,12171
